# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 07:43:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8cb7ce97f.json
# init = 2 (Default)
# random
#   seed = 68347175
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605110943-1-3ac80e.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605110943-1-53e47a.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-20.396348,0.94656663,1,1,1,0,20.404528,0.33929914,-1.5444075,-1.5258466,-2.5025093,-1.7073024,-1.795304,-1.821223,-1.9370927,-1.4534419,-1.5927192,-1.5258466,5,3,3,4,6,8,7,1,4,3,5,8,2,7,6,7,8,2,3,4,0.29643224,0.78439977
-20.396348,0,13.053677,0,1,1,20.734108,0.33929914,-1.5444075,-1.5258466,-2.5025093,-1.7073024,-1.795304,-1.821223,-1.9370927,-1.4534419,-1.5927192,-1.5258466,4,7,1,4,8,8,7,2,3,6,8,6,3,4,7,5,6,3,6,5,0.29643224,0.74737258
-20.396348,0.0057638224,2.143474,1,1,0,20.513573,0.33929914,-1.5444075,-1.5258466,-2.5025093,-1.7073024,-1.795304,-1.821223,-1.9370927,-1.4534419,-1.5927192,-1.5258466,5,6,6,1,8,4,6,1,7,3,3,4,2,6,4,4,6,1,7,5,0.29643224,0.3933855
-20.448302,0.99872529,0.21118714,1,3,0,20.47457,0.3244523,-1.5490494,-1.5252288,-2.541465,-1.6987037,-1.7776526,-1.8045888,-1.9609156,-1.4313676,-1.5984057,-1.5252288,8,8,8,2,5,3,8,2,5,4,3,5,3,3,6,8,8,1,6,6,0.27391122,0.17798705
-20.525325,0.99824552,0.28200596,2,3,0,20.532663,0.30602049,-1.5555136,-1.5247536,-2.5901502,-1.6883282,-1.7567109,-1.7846567,-1.9917581,-1.404064,-1.6058043,-1.5247536,4,3,4,3,7,5,7,2,7,4,5,4,7,7,8,3,8,2,2,4,0.24234341,0.42935774
-20.497453,1,0.43605219,2,3,0,20.533594,0.31230785,-1.5532207,-1.5248794,-2.5735025,-1.6918303,-1.763735,-1.7913669,-1.9810753,-1.4133652,-1.6032381,-1.5248794,5,6,5,5,6,7,8,2,4,5,5,3,6,3,7,6,7,1,6,6,0.25357959,0.1879608
-20.361464,0.97347383,0.73923662,1,3,0,20.733755,0.50706511,-1.5257106,-1.5476947,-2.0775909,-1.8197959,-2.0490238,-2.0470996,-1.7210089,-1.7080759,-1.5447807,-1.5476947,7,5,4,6,7,4,7,2,3,6,6,3,3,1,5,7,8,3,5,2,0.40526543,0.022165673
-20.261623,1,1.2148516,1,1,0,20.289234,0.41222156,-1.5287706,-1.5319554,-2.3144456,-1.7526989,-1.8927166,-1.9106275,-1.8320661,-1.562933,-1.5682551,-1.5319554,7,8,3,2,5,5,7,4,6,3,5,5,2,3,7,4,8,4,3,8,0.37415996,0.5027543
-20.261623,0.13190303,2.2318077,1,1,0,20.30595,0.41222156,-1.5287706,-1.5319554,-2.3144456,-1.7526989,-1.8927166,-1.9106275,-1.8320661,-1.562933,-1.5682551,-1.5319554,8,3,4,2,3,5,5,2,7,3,7,4,5,2,4,6,7,4,6,3,0.37415996,0.20626282
-20.343941,0.99189767,0.26868358,2,7,0,20.649105,0.35768359,-1.5393504,-1.5269035,-2.4545886,-1.7182498,-1.8181546,-1.8425455,-1.9087944,-1.4808772,-1.586012,-1.5269035,2,4,1,7,7,7,6,4,6,4,5,6,6,6,5,7,8,3,5,5,0.32097871,0.72610455
-20.257516,0.99440261,0.49046223,2,5,0,20.425947,0.42446448,-1.5272913,-1.5334869,-2.2833903,-1.7608423,-1.9109149,-1.9269272,-1.8162194,-1.5814925,-1.5647021,-1.5334869,2,7,2,1,6,6,6,4,3,2,5,5,7,2,7,5,7,6,4,4,0.38237818,0.73894365
-21.098147,0.76010297,0.90943743,1,3,0,21.161648,0.21977135,-1.5963846,-1.5267862,-2.8228884,-1.6441321,-1.6722565,-1.7016935,-2.1572449,-1.2777586,-1.645544,-1.5267862,4,6,2,6,8,7,7,2,3,4,6,6,2,2,6,2,8,1,4,2,0.02842362,0.43309825
-20.737454,1,0.80786838,1,1,0,21.074971,0.26704918,-1.5717816,-1.5248069,-2.6942908,-1.6674747,-1.715858,-1.7450918,-2.0619436,-1.3466985,-1.6227028,-1.5248069,5,7,2,3,8,2,8,4,3,5,5,5,3,5,7,7,6,2,7,4,0.16076035,0.76898879
-20.737454,0.11321508,1.5293125,1,1,0,20.978622,0.26704918,-1.5717816,-1.5248069,-2.6942908,-1.6674747,-1.715858,-1.7450918,-2.0619436,-1.3466985,-1.6227028,-1.5248069,6,7,5,4,7,8,6,2,5,2,3,7,4,4,8,3,8,3,5,7,0.16076035,0.69983231
-20.716043,1,0.18153622,1,1,0,20.73737,0.27045953,-1.5702152,-1.5247451,-2.6851113,-1.6692411,-1.7192518,-1.7484159,-2.0555165,-1.351699,-1.6211552,-1.5247451,4,7,3,2,8,5,8,5,6,3,3,5,5,3,6,7,7,4,6,5,0.16878623,0.49438112
