# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 07:43:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c71e70670.json
# init = 2 (Default)
# random
#   seed = 825820302
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605110943-1-5453c6.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605110943-1-0c75a4.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-24.600388,0.77230234,1,1,1,0,24.669165,0.18592438,-2.1139892,-1.617388,-1.5945535,-1.6025245,-0.66677169,-1.6139256,-1.5294833,-5.4615005,-2.0065764,-2.6174404,4,7,4,6,3,1,8,5,6,6,4,6,7,4,8,4,2,5,6,7,-0.096357782,0.71026716
-24.600388,0,9.5088763,0,1,1,25.446601,0.18592438,-2.1139892,-1.617388,-1.5945535,-1.6025245,-0.66677169,-1.6139256,-1.5294833,-5.4615005,-2.0065764,-2.6174404,4,7,2,4,8,7,5,7,5,5,7,5,4,5,8,4,4,7,3,7,-0.096357782,0.23967437
-23.21491,1,1.4214578,1,1,0,23.843296,0.39085425,-1.8757755,-1.5321348,-1.7225773,-1.7095034,-1.0868423,-1.4822148,-1.5296329,-4.6610454,-1.7391325,-3.0058149,6,6,4,6,5,2,7,3,3,8,2,7,5,6,4,5,4,8,7,6,0.3566412,0.65307205
-23.21491,0.0079120117,1.8775415,1,1,0,23.891293,0.39085425,-1.8757755,-1.5321348,-1.7225773,-1.7095034,-1.0868423,-1.4822148,-1.5296329,-4.6610454,-1.7391325,-3.0058149,3,1,4,7,5,1,6,8,3,8,5,3,5,7,6,4,4,5,6,8,0.3566412,0.82665911
-23.153918,0.99731848,0.1730897,4,15,0,23.691375,0.42687539,-1.8371692,-1.5270383,-1.7488657,-1.733674,-1.1634655,-1.4681029,-1.5338058,-4.5410015,-1.7007443,-3.0842198,2,6,3,4,7,3,6,6,6,5,4,5,4,4,6,1,3,8,5,6,0.38384422,0.30918492
-23.419942,0.98331498,0.26129433,2,5,0,23.964209,0.58757715,-1.6769133,-1.5379964,-1.8800237,-1.863462,-1.5163848,-1.4411849,-1.5681954,-4.0597621,-1.5605535,-3.4805583,5,4,6,3,7,3,6,5,2,8,3,5,4,4,4,2,6,8,3,8,0.37430563,0.79935786
-23.220942,0.99395298,0.41513326,2,3,0,23.557181,0.52871732,-1.7333234,-1.5276846,-1.8293384,-1.8115716,-1.3849553,-1.4439241,-1.5525526,-4.2266634,-1.6059832,-3.325748,2,6,5,5,8,6,5,8,7,7,2,7,4,8,7,2,6,8,2,6,0.40216092,0.16957531
-23.220942,0.87139978,0.72020235,1,3,0,23.717169,0.52871732,-1.7333234,-1.5276846,-1.8293384,-1.8115716,-1.3849553,-1.4439241,-1.5525526,-4.2266634,-1.6059832,-3.325748,2,4,2,7,6,4,3,8,3,5,7,2,8,5,7,6,8,7,6,6,0.40216092,0.2481365
-23.147482,0.97744722,0.87877015,2,3,0,23.292224,0.43366154,-1.8300054,-1.5263935,-1.7539451,-1.7384196,-1.1779992,-1.4657614,-1.5347341,-4.5189405,-1.6937971,-3.0993778,4,5,3,4,8,2,8,7,5,6,5,6,6,7,7,2,6,7,5,6,0.38770517,0.24773672
-23.147482,0.019280106,1.5209993,1,3,0,26.27015,0.43366154,-1.8300054,-1.5263935,-1.7539451,-1.7384196,-1.1779992,-1.4657614,-1.5347341,-4.5189405,-1.6937971,-3.0993778,3,4,4,8,7,3,7,4,6,8,3,4,4,3,4,2,6,7,2,7,0.38770517,0.658863
