# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 07:43:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c681b76d.json
# init = 2 (Default)
# random
#   seed = 1861544561
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605110943-2-08a88d.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605110943-2-64dbdb.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-23.872675,0.012862,2,2,3,0,24.182198,0.66493939,-1.6068616,-1.5624742,-1.9513624,-1.9400006,-1.6931537,-1.4512416,-1.5943179,-3.8546054,-1.5114508,-3.7042002,4,5,8,4,7,5,7,7,3,7,6,4,4,7,8,4,6,6,3,7,0.29025625,0.38441564
-23.164345,0.66666747,2.3903148,2,3,0,23.164753,0.41828183,-1.8462908,-1.5279977,-1.7424912,-1.7277525,-1.145106,-1.4712132,-1.5326952,-4.5691853,-1.7096714,-3.0652036,2,5,2,5,8,1,5,7,5,8,6,6,5,7,8,4,5,8,3,7,0.37839044,0.37416794
-24.255464,0.56238101,1.1422674,1,1,0,24.269051,0.21607964,-2.0769481,-1.598536,-1.6110877,-1.6151762,-0.72696689,-1.5892242,-1.5270287,-5.3284347,-1.9618895,-2.6690596,2,1,6,8,6,1,6,8,2,8,3,8,4,6,7,4,6,8,5,6,0.016203386,0.76137828
-23.309595,0.99076449,0.45686443,2,5,0,24.717195,0.5593643,-1.7036194,-1.5321542,-1.8553447,-1.8379326,-1.4530656,-1.4414241,-1.5602492,-4.1385229,-1.5814684,-3.4048316,4,6,5,6,6,1,4,8,5,8,7,3,6,4,5,1,3,5,7,5,0.39126833,0.64178751
-23.514805,0.96111514,0.63052611,1,1,0,23.51736,0.60747224,-1.6584512,-1.5431085,-1.8978546,-1.8822135,-1.5613994,-1.4422411,-1.5743015,-4.00553,-1.5467646,-3.5357472,4,7,4,5,7,3,6,8,8,4,3,5,4,6,8,2,7,8,5,8,0.35816265,0.18643046
-23.137658,0.84508938,0.90387119,2,3,0,23.920024,0.46260637,-1.7998403,-1.5247548,-1.7760625,-1.7593595,-1.2403448,-1.4569236,-1.5392035,-4.4267152,-1.6651787,-3.1654691,6,5,8,5,4,5,5,7,1,8,4,3,4,5,6,5,5,8,4,7,0.39985627,0.73840688
-23.188598,0.84069528,0.9725235,2,3,0,23.451025,0.40334014,-1.862283,-1.5300477,-1.7315613,-1.7176891,-1.1133031,-1.4770048,-1.5309361,-4.618861,-1.7255379,-3.0326075,4,5,5,5,4,2,7,7,6,7,5,7,3,5,6,6,7,6,5,8,0.36737634,0.65798776
-23.472229,0.90144294,1.0620006,2,3,0,23.472441,0.32038392,-1.9541249,-1.5504092,-1.6744188,-1.6670196,-0.93941758,-1.5178149,-1.5250961,-4.9115799,-1.8216168,-2.8618058,3,5,8,8,8,3,4,8,5,5,6,5,5,5,7,2,4,8,6,7,0.26729698,0.30383173
-26.047655,0.32286967,1.4294809,1,1,0,26.192428,0.10158262,-2.2212725,-1.6827056,-1.5525771,-1.5724502,-0.50120299,-1.6925228,-1.540817,-5.8724258,-2.1417344,-2.4819396,5,6,4,7,2,2,4,6,7,8,6,5,6,6,6,2,6,8,4,7,-0.60224384,0.85555304
-25.995018,1,0.31385531,1,1,0,26.081137,0.10384013,-2.2183298,-1.6807059,-1.5536182,-1.5731555,-0.50558224,-1.6902372,-1.5404282,-5.8605611,-2.1379174,-2.4854039,4,3,5,6,5,2,6,7,5,5,5,6,5,8,8,5,5,6,6,6,-0.58277977,0.39774123
-26.528501,0.99600676,0.58791562,1,1,0,26.551911,0.082989854,-2.2456584,-1.6997227,-1.5441766,-1.5668467,-0.46524291,-1.7117264,-1.5441976,-5.9722519,-2.1735964,-2.4537343,2,5,7,7,8,1,5,7,4,7,2,7,3,3,8,7,4,8,6,8,-0.78391419,0.70193988
-26.796224,0.99889315,1.0954525,1,1,0,27.373553,0.074060174,-2.2574656,-1.7082467,-1.5402525,-1.5642846,-0.44803978,-1.7211904,-1.5459342,-6.0216004,-2.1891707,-2.4403925,5,8,4,6,8,5,4,7,6,4,2,5,1,2,8,6,2,8,5,5,-0.88806391,0.054304484
-24.823845,0.16081341,2.0630271,2,7,0,24.943404,0.76345951,-1.5245505,-1.6116103,-2.0501304,-2.0525499,-1.9252692,-1.4890629,-1.637144,-3.6139109,-1.4669686,-4.0295862,7,5,4,6,8,2,6,3,3,8,2,6,6,8,6,1,6,8,2,8,0.080228401,0.87703207
-25.431753,0.99285895,0.28002805,2,3,0,25.45031,0.80777768,-1.4901222,-1.640344,-2.0975203,-2.1092522,-2.0323842,-1.5163662,-1.6600686,-3.5123697,-1.4538525,-4.1943309,1,6,4,7,5,4,5,8,2,8,1,7,7,7,6,1,6,6,2,8,-0.070811614,0.62088774
-25.138569,1,0.52105949,1,1,0,25.493031,0.78763953,-1.5055626,-1.6267724,-2.0757553,-2.0829919,-1.983497,-1.5031082,-1.6493621,-3.5580212,-1.4592662,-4.117862,4,3,4,7,5,3,8,8,3,6,3,3,6,7,8,2,3,7,6,7,0.0035745946,0.59210201
-24.577787,1,0.98650785,1,1,0,25.41859,0.74229585,-1.5415671,-1.5993485,-2.0281537,-2.02685,-1.8747203,-1.4783798,-1.6270119,-3.6638208,-1.4747686,-3.9552658,3,7,4,7,7,2,6,8,4,5,3,2,5,7,6,4,6,7,3,7,0.137809,0.22309978
-24.577787,0.056326873,1.8549273,2,3,0,24.697391,0.74229585,-1.5415671,-1.5993485,-2.0281537,-2.02685,-1.8747203,-1.4783798,-1.6270119,-3.6638208,-1.4747686,-3.9552658,4,6,3,5,8,6,3,8,2,5,1,7,5,8,4,4,4,7,7,8,0.137809,0.28360584
-24.309355,0.99990087,0.19379051,3,7,0,24.651223,0.7163436,-1.5629344,-1.5855906,-2.0017751,-1.9964987,-1.8132534,-1.4672451,-1.6152915,-3.7263307,-1.485659,-3.8676021,3,8,3,8,8,6,6,7,5,7,5,5,5,6,5,5,5,6,4,8,0.19817251,0.3515881
-24.194346,1,0.36619417,1,1,0,24.324174,0.70409263,-1.5732109,-1.5795836,-1.9895399,-1.9826046,-1.7844335,-1.4627161,-1.6100248,-3.7563537,-1.4913007,-3.8274704,3,5,5,4,6,4,8,8,2,6,6,5,6,8,2,1,5,7,4,7,0.2232053,0.59435007
-24.739221,0.97734269,0.68603754,2,3,0,24.803755,0.75642853,-1.5301628,-1.6074325,-2.0427827,-2.0439155,-1.9084332,-1.4853502,-1.6337202,-3.6303877,-1.4694512,-4.0046011,2,5,4,4,7,3,7,8,8,2,5,2,6,8,6,2,8,7,3,7,0.10026739,0.32226292
-23.946613,0.71660002,1.1899818,2,3,0,24.865172,0.67470045,-1.5983578,-1.5664424,-1.9607488,-1.9503699,-1.7157935,-1.4536838,-1.5980747,-3.829776,-1.5061275,-3.7342483,4,3,5,2,6,1,7,6,4,8,4,5,6,2,5,3,6,6,7,8,0.27526418,0.7389651
-23.946613,0.73585692,0.94663715,1,1,0,24.995945,0.67470045,-1.5983578,-1.5664424,-1.9607488,-1.9503699,-1.7157935,-1.4536838,-1.5980747,-3.829776,-1.5061275,-3.7342483,4,8,5,7,8,4,7,8,3,8,3,7,4,8,7,4,5,6,2,7,0.27526418,0.84939955
-23.257252,1,0.80015586,1,3,0,23.737863,0.54264437,-1.7197356,-1.5294729,-1.8410533,-1.8233768,-1.4158211,-1.4425036,-1.5559304,-4.1862665,-1.5946119,-3.3612896,3,8,4,4,8,2,6,7,2,8,6,4,3,7,8,1,7,7,4,7,0.39816435,0.17679221
-23.257252,0.3219378,1.4620724,1,1,0,23.427343,0.54264437,-1.7197356,-1.5294729,-1.8410533,-1.8233768,-1.4158211,-1.4425036,-1.5559304,-4.1862665,-1.5946119,-3.3612896,5,4,7,8,6,5,6,8,2,6,3,3,3,7,4,6,8,7,6,8,0.39816435,0.64917713
-24.687726,0.87000267,0.37479025,2,7,0,26.117459,0.17912985,-2.1224305,-1.6219544,-1.5909386,-1.5998141,-0.65328233,-1.6197394,-1.5301529,-5.49239,-2.0169061,-2.6060479,4,5,4,8,3,1,3,7,5,8,5,3,4,5,4,4,7,8,5,7,-0.1252752,0.7541559
-24.970391,0.99711453,0.47079317,2,3,0,24.984611,0.15901751,-2.1476237,-1.6361712,-1.5804769,-1.5920897,-0.61350991,-1.6374818,-1.5323854,-5.5859245,-2.0480505,-2.5728265,7,7,5,4,4,7,4,8,5,6,6,8,3,7,8,1,2,8,4,7,-0.22016595,0.23250327
-24.117797,1,0.84458998,1,1,0,24.901528,0.22993059,-2.0601654,-1.5906384,-1.6189499,-1.6213316,-0.75479672,-1.5784828,-1.5261847,-5.269389,-1.9419925,-2.6933609,6,7,5,2,6,5,3,6,5,7,5,7,4,7,6,6,5,7,2,6,0.06050706,0.26794089
-24.065381,1,1.5126021,1,1,0,24.066099,0.68936421,-1.5857255,-1.5727746,-1.9750135,-1.96626,-1.7499497,-1.4578711,-1.6039163,-3.7928967,-1.4985037,-3.7802304,2,4,4,6,8,4,7,7,6,8,7,3,4,7,8,4,8,6,1,8,0.25063978,0.25174443
-24.065381,0.0016100902,2.6826065,1,3,0,24.083472,0.68936421,-1.5857255,-1.5727746,-1.9750135,-1.96626,-1.7499497,-1.4578711,-1.6039163,-3.7928967,-1.4985037,-3.7802304,1,4,4,4,7,7,4,6,6,2,6,6,3,7,8,3,6,8,4,4,0.25063978,0.73197936
-24.76502,0.97449173,0.29908792,1,3,0,25.114195,0.75859813,-1.5284267,-1.6087106,-2.0450451,-2.0465696,-1.9136239,-1.4864784,-1.6347706,-3.6252924,-1.4686735,-4.0122792,1,3,5,6,7,2,2,7,6,8,3,3,4,6,5,3,5,8,3,8,0.094184141,0.40451237
-24.26733,0.99423248,0.49663002,2,3,0,25.109663,0.7119554,-1.5666014,-1.5834031,-1.9973766,-1.9914905,-1.8029161,-1.4655701,-1.6133855,-3.7370461,-1.4876431,-3.8531379,4,5,4,5,5,2,7,8,6,7,1,5,3,5,4,2,5,6,4,7,0.2073795,0.49103995
-23.506611,1,0.86280448,1,1,0,24.082161,0.60586578,-1.6599305,-1.5426653,-1.8964016,-1.880676,-1.5577533,-1.4421175,-1.5737929,-4.0098699,-1.5478484,-3.531234,2,4,7,6,2,3,2,8,3,7,2,5,3,5,7,7,7,6,8,7,0.3595989,0.67716173
-23.506611,0.011592422,1.508697,2,3,0,25.21701,0.60586578,-1.6599305,-1.5426653,-1.8964016,-1.880676,-1.5577533,-1.4421175,-1.5737929,-4.0098699,-1.5478484,-3.531234,4,5,8,5,8,4,7,6,5,7,4,1,5,7,6,2,7,7,5,8,0.3595989,0.67885504
-23.700774,0.99396586,0.18638331,3,11,0,24.378358,0.28153452,-1.998914,-1.5653183,-1.64972,-1.6462121,-0.85950343,-1.5418425,-1.5246199,-5.0597436,-1.8713014,-2.7873235,3,8,1,6,6,4,5,6,5,4,1,4,2,5,8,3,6,8,5,8,0.19362164,0.55924918
-23.414666,0.99430168,0.32178417,2,7,0,24.148156,0.58637473,-1.6780389,-1.5377137,-1.8789574,-1.8623487,-1.5136739,-1.4411538,-1.5678397,-4.0630739,-1.5614124,-3.4772712,3,2,6,7,7,2,3,7,5,4,3,6,7,7,3,3,7,8,6,5,0.37516839,0.33601184
-23.414666,0.67030771,0.55119162,1,3,0,26.544994,0.58637473,-1.6780389,-1.5377137,-1.8789574,-1.8623487,-1.5136739,-1.4411538,-1.5678397,-4.0630739,-1.5614124,-3.4772712,4,5,5,6,6,4,5,6,6,4,5,8,6,5,5,3,6,7,2,8,0.37516839,0.42962872
-23.147905,0.96262552,0.40203616,2,5,0,24.265726,0.4331582,-1.8305356,-1.5264379,-1.7535669,-1.7380655,-1.1769201,-1.4659316,-1.5346637,-4.5205709,-1.6943093,-3.0982492,2,3,7,7,6,5,6,7,4,8,2,4,5,2,8,4,4,8,4,7,0.38743218,0.72687984
-23.137349,0.99959328,0.6279591,1,3,0,23.151084,0.45937087,-1.8031808,-1.5248489,-1.7735538,-1.7569621,-1.2333469,-1.4578183,-1.5386627,-4.4368773,-1.6682961,-3.1579633,3,6,4,6,7,2,5,8,2,4,4,5,4,7,8,5,5,8,7,5,0.39884031,0.56977048
-23.250712,0.93647132,1.0710719,1,1,0,23.251493,0.37698541,-1.8909,-1.534855,-1.7127575,-1.700647,-1.0575721,-1.4883936,-1.5283625,-4.7086442,-1.7545919,-2.9765195,5,5,2,5,6,7,4,8,3,7,3,7,6,3,5,4,5,8,4,8,0.34302534,0.27467225
-23.250712,0.069049702,1.5426564,1,1,0,23.726836,0.37698541,-1.8909,-1.534855,-1.7127575,-1.700647,-1.0575721,-1.4883936,-1.5283625,-4.7086442,-1.7545919,-2.9765195,5,3,4,6,7,1,3,7,5,7,4,5,3,7,3,3,2,6,2,5,0.34302534,0.52486309
