# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 07:43:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c65eb10f.json
# init = 2 (Default)
# random
#   seed = 1761171009
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605110943-2-12420d.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605110943-2-930a65.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-25.229414,0.63709341,1,1,1,0,25.230523,0.14274007,-2.1682394,-1.6484548,-1.572272,-1.5861625,-0.58149154,-1.6524235,-1.534466,-5.6640556,-2.0738825,-2.5464782,5,4,5,6,4,2,4,7,1,7,4,7,4,3,8,6,7,8,7,4,-0.30898461,0.67489355
-25.229414,0,7.4364329,0,1,1,25.23706,0.14274007,-2.1682394,-1.6484548,-1.572272,-1.5861625,-0.58149154,-1.6524235,-1.534466,-5.6640556,-2.0738825,-2.5464782,5,4,5,7,8,6,7,7,6,5,3,7,3,4,8,1,5,7,4,4,-0.30898461,0.34004696
-23.82332,1,1.0335428,1,1,0,24.961731,0.2644604,-2.0189579,-1.5729892,-1.6392815,-1.6376361,-0.82467903,-1.553373,-1.5248611,-5.1273953,-1.8940943,-2.7556229,4,5,4,7,7,5,5,8,1,7,2,6,6,5,7,2,4,8,3,6,0.15454481,0.34699963
-24.593587,0.72954513,1.3095359,1,1,0,24.999247,0.18646616,-2.1133176,-1.617029,-1.5948435,-1.6027428,-0.66784846,-1.6134659,-1.5294317,-5.4590523,-2.0057568,-2.6183525,4,4,8,6,7,1,5,6,5,6,1,4,3,6,8,7,4,6,5,7,-0.094113775,0.65082623
-23.1404,0.98614547,0.92455046,2,3,0,24.433443,0.47166542,-1.7905294,-1.5246097,-1.7831356,-1.766149,-1.2599771,-1.4545448,-1.5407731,-4.3984541,-1.6565593,-3.1866463,4,3,4,5,7,1,4,7,8,4,3,7,6,5,4,4,5,6,3,8,0.40224855,0.24509521
-23.1404,0.48351883,1.452026,1,1,0,23.318254,0.47166542,-1.7905294,-1.5246097,-1.7831356,-1.766149,-1.2599771,-1.4545448,-1.5407731,-4.3984541,-1.6565593,-3.1866463,6,7,4,3,7,6,4,8,3,6,4,5,8,6,5,3,7,8,4,8,0.40224855,0.24214464
-23.140603,0.99845146,0.52302669,1,3,0,23.156984,0.44422006,-1.8189285,-1.5255876,-1.7619281,-1.7459263,-1.2006747,-1.4623209,-1.5362685,-4.4849516,-1.6831674,-3.1232138,2,5,5,6,6,4,7,5,5,7,5,5,2,4,5,5,3,7,3,5,0.39294141,0.76828289
-23.201498,0.97408136,0.92371114,1,1,0,23.20177,0.39688957,-1.869239,-1.5310833,-1.7269029,-1.7134348,-1.0996197,-1.4796545,-1.5302439,-4.6405769,-1.732523,-3.0187156,1,3,7,7,7,2,8,4,2,8,4,6,5,6,6,7,4,8,4,7,0.36200731,0.87178888
-23.139036,1,1.5600764,1,1,0,23.146322,0.46823172,-1.7940512,-1.5246441,-1.7804462,-1.7635622,-1.2525291,-1.4554245,-1.5401685,-4.409133,-1.6598074,-3.1785912,8,5,7,7,5,2,5,7,2,7,6,4,4,6,4,1,7,5,4,6,0.40142004,0.57744542
-23.139036,0.0003829705,2.9076037,1,1,0,23.691288,0.46823172,-1.7940512,-1.5246441,-1.7804462,-1.7635622,-1.2525291,-1.4554245,-1.5401685,-4.409133,-1.6598074,-3.1785912,3,5,5,6,7,4,5,7,5,8,1,6,6,7,8,3,5,6,2,5,0.40142004,0.57570081
