# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 07:43:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c6678f1c.json
# init = 2 (Default)
# random
#   seed = 1580948476
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605110943-2-248f2b.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605110943-2-7f45f7.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-20.465908,0.34675847,2,1,3,0,20.469929,0.53990742,-1.5290895,-1.5552509,-1.9975072,-1.8452162,-2.1120172,-2.1000395,-1.688303,-1.7590807,-1.5387824,-1.5552509,8,7,2,5,8,6,6,1,4,3,7,6,2,4,7,5,6,3,8,2,0.39907432,0.27000448
-20.465908,1.7421112e-09,4.3864033,1,1,0,20.501957,0.53990742,-1.5290895,-1.5552509,-1.9975072,-1.8452162,-2.1120172,-2.1000395,-1.688303,-1.7590807,-1.5387824,-1.5552509,5,7,3,5,6,3,8,2,8,4,4,5,2,3,7,5,7,1,4,2,0.39907432,0.33139084
-20.278577,0.96741914,0.52135009,1,3,0,20.845952,0.39296317,-1.5317583,-1.5298424,-2.3635936,-1.7401949,-1.8651956,-1.8857495,-1.8579847,-1.5338424,-1.5741634,-1.5298424,3,5,2,4,8,7,5,4,4,3,5,7,4,4,7,5,7,5,6,6,0.35855427,0.84717547
-20.313337,0.99785364,0.55388466,3,7,0,20.313352,0.48597112,-1.5247357,-1.5434186,-2.1295417,-1.804069,-2.0110922,-2.0146795,-1.7434917,-1.6755209,-1.5492051,-1.5434186,5,3,4,4,7,5,8,1,4,5,6,5,4,3,7,7,8,2,6,6,0.40467756,0.20696906
-20.419629,0.96616905,0.79099118,1,1,0,20.426583,0.52672047,-1.5274614,-1.5520846,-2.0295466,-1.8348718,-2.0861307,-2.0784169,-1.7011082,-1.7385542,-1.5410613,-1.5520846,5,5,6,2,5,5,6,2,7,4,2,6,3,3,8,6,6,1,7,3,0.40260509,0.75727346
-20.419629,0.39978206,1.1625248,1,1,0,21.307644,0.52672047,-1.5274614,-1.5520846,-2.0295466,-1.8348718,-2.0861307,-2.0784169,-1.7011082,-1.7385542,-1.5410613,-1.5520846,3,6,1,2,8,8,8,5,7,4,3,5,4,2,8,6,6,2,6,3,0.40260509,0.78728788
-20.276697,0.96645096,0.32210482,2,5,0,21.584016,0.39454345,-1.5314826,-1.5300022,-2.3595469,-1.741207,-1.8674039,-1.8877561,-1.8558111,-1.5362247,-1.5736638,-1.5300022,3,4,2,4,7,4,4,4,5,6,2,6,8,5,8,7,8,3,8,1,0.35996099,0.80874054
-22.398642,0.84235565,0.51080969,3,7,0,22.636242,0.77359036,-1.6178128,-1.6421792,-1.4539115,-2.0607674,-2.7389902,-2.5750627,-1.5233707,-2.1337414,-1.5263823,-1.6421792,4,3,3,1,7,4,5,2,5,4,6,7,3,2,6,8,6,3,8,5,0.049637307,0.75580076
-25.07067,0.96512984,0.56702024,3,7,0,25.230674,0.90549197,-1.7185851,-1.7191203,-1.1655324,-2.2117778,-3.3124453,-2.9376771,-1.4726984,-2.3549527,-1.5420658,-1.7191203,5,4,2,3,7,6,8,1,5,6,3,5,3,1,6,3,7,4,4,2,-0.66658791,0.40346384
-21.560585,1,0.94197501,2,3,0,24.432204,0.17590138,-1.6241657,-1.530486,-2.9445198,-1.624369,-1.6373369,-1.6658288,-2.2572785,-1.2144154,-1.6691048,-1.530486,4,5,2,2,8,6,7,3,4,3,6,5,3,4,6,5,7,3,8,2,-0.13953739,0.66610691
