# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 07:43:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c43eff20b.json
# init = 2 (Default)
# random
#   seed = 292698813
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605110943-2-2b3e9a.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605110943-2-65a679.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-23.162878,0.8374509,1,2,3,0,24.276388,0.49714678,-1.7646733,-1.5251353,-1.8034172,-1.7858617,-1.3155091,-1.4488614,-1.5456282,-4.3204363,-1.6331787,-3.2475234,4,7,3,7,7,5,7,6,3,8,5,2,2,5,6,3,4,8,6,7,0.40543254,0.61243859
-23.162878,4.610682e-43,10.704644,1,1,0,24.588361,0.49714678,-1.7646733,-1.5251353,-1.8034172,-1.7858617,-1.3155091,-1.4488614,-1.5456282,-4.3204363,-1.6331787,-3.2475234,3,5,4,8,7,5,8,8,6,8,4,5,3,8,6,3,4,7,5,7,0.40543254,0.61639591
-23.162878,0.15917657,1.6573826,1,1,0,23.449682,0.49714678,-1.7646733,-1.5251353,-1.8034172,-1.7858617,-1.3155091,-1.4488614,-1.5456282,-4.3204363,-1.6331787,-3.2475234,2,3,1,7,7,3,6,6,2,6,2,8,2,6,6,6,5,8,1,6,0.40543254,0.69214545
-23.177035,0.99967084,0.23764611,2,3,0,23.177131,0.5067742,-1.7550327,-1.5256908,-1.8112287,-1.7935492,-1.3366105,-1.4471062,-1.5476327,-4.2915094,-1.6246772,-3.2710418,7,7,3,4,8,6,7,7,3,5,4,3,4,4,7,2,6,8,4,7,0.40528153,0.17986586
-23.278706,0.99173429,0.32092025,1,3,0,23.365438,0.54987378,-1.7127409,-1.5305608,-1.8472022,-1.8296188,-1.4318996,-1.4419524,-1.5577623,-4.1655233,-1.5888607,-3.3799977,1,6,6,2,8,1,6,6,5,6,5,6,4,7,7,4,7,8,6,4,0.3954657,0.73711422
-23.140019,0.98396636,0.48942757,1,3,0,23.484599,0.4455205,-1.81757,-1.5255049,-1.7629181,-1.7468613,-1.2034728,-1.4619142,-1.536465,-4.4807933,-1.6818733,-3.126171,1,5,4,7,8,6,8,6,4,8,4,5,7,3,5,2,1,7,1,8,0.39352201,0.53532095
-24.307584,0.68674349,0.7924388,1,3,0,24.52855,0.71616064,-1.563087,-1.5854986,-2.0015914,-1.9962892,-1.8128221,-1.4671741,-1.6152116,-3.7267766,-1.4857409,-3.8669971,4,4,4,3,7,5,6,8,7,6,2,7,4,8,8,5,4,6,5,6,0.19856186,0.28181201
-23.169355,0.97810681,0.53407503,1,3,0,24.82035,0.50181539,-1.7599895,-1.5253803,-1.807195,-1.789573,-1.3257335,-1.4479831,-1.5465885,-4.3063719,-1.6290333,-3.258892,5,6,4,8,7,7,5,7,8,8,3,2,6,7,7,6,6,8,4,7,0.40545193,0.48738569
-23.840799,0.81622408,0.90867632,1,3,0,23.950477,0.2621783,-2.0216535,-1.574067,-1.6379056,-1.6365158,-0.82003806,-1.5549588,-1.5249142,-5.1365616,-1.8971853,-2.7514324,7,7,4,8,8,4,5,8,6,6,4,6,4,3,6,2,4,6,5,5,0.14897592,0.10573156
-23.896554,0.98531048,0.94541555,1,1,0,24.132853,0.25512168,-2.0300138,-1.5774785,-1.6336799,-1.6330902,-0.80570757,-1.5599283,-1.525109,-5.1650956,-1.9068098,-2.7385431,2,3,4,5,8,3,7,7,3,6,6,6,4,7,7,4,6,8,4,8,0.1312104,0.28935348
