# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 07:43:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c2367868e.json
# init = 2 (Default)
# random
#   seed = 983287085
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605110943-2-49047e.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605110943-2-70bfdf.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-23.141304,0.99083783,1,2,3,0,23.33276,0.44280719,-1.8204058,-1.5256815,-1.7608543,-1.7449131,-1.1976359,-1.4627669,-1.5360568,-4.4894764,-1.6845771,-3.1200063,3,6,4,4,5,4,1,8,5,5,3,5,4,7,7,3,4,7,2,8,0.39229469,0.19864517
-23.141304,1.3861649e-49,14.147854,1,1,0,24.997123,0.44280719,-1.8204058,-1.5256815,-1.7608543,-1.7449131,-1.1976359,-1.4627669,-1.5360568,-4.4894764,-1.6845771,-3.1200063,2,7,5,7,8,2,4,7,5,5,4,5,4,7,6,5,6,5,5,8,0.39229469,0.6192208
-23.141304,0.043175562,2.379228,1,1,0,23.209692,0.44280719,-1.8204058,-1.5256815,-1.7608543,-1.7449131,-1.1976359,-1.4627669,-1.5360568,-4.4894764,-1.6845771,-3.1200063,4,7,5,6,5,1,1,6,6,8,4,4,3,8,7,4,4,5,5,6,0.39229469,0.76734702
-23.239361,0.97848071,0.26254032,2,7,0,24.137911,0.53609708,-1.7261049,-1.5285817,-1.8355246,-1.8177912,-1.401293,-1.4431129,-1.5543177,-4.2051855,-1.5999099,-3.3445,5,3,2,5,7,7,3,4,4,7,1,4,6,8,7,3,7,6,5,8,0.40023948,0.55759844
-23.652968,0.96126406,0.33611937,1,3,0,24.098655,0.63218011,-1.6359525,-1.5505977,-1.9204942,-1.9063876,-1.6177286,-1.4450064,-1.5824709,-3.9396235,-1.5307545,-3.6064664,4,2,7,7,5,5,6,6,3,8,5,7,3,7,7,5,7,7,5,6,0.33301663,0.45480036
-23.559675,1,0.46903545,3,7,0,23.660704,0.61595834,-1.6506701,-1.5455384,-1.9055683,-1.8904043,-1.5806925,-1.4430071,-1.5770337,-3.9827163,-1.5411261,-3.5597576,7,6,5,6,8,4,6,8,3,8,3,7,5,6,7,2,4,6,5,7,0.35017928,0.19045645
-23.771074,0.94424756,0.79671876,1,1,0,23.862269,0.65057864,-1.61951,-1.5569947,-1.9377107,-1.9250426,-1.6599845,-1.4481406,-1.5889808,-3.8915507,-1.5196413,-3.6607787,2,3,7,6,4,2,8,8,1,7,6,7,7,7,5,6,4,6,2,7,0.31038962,0.92106437
-24.033126,0.93408889,1.1969499,2,3,0,24.033289,0.2390964,-2.0491392,-1.5856715,-1.6242452,-1.6255253,-0.77327627,-1.5715849,-1.5257246,-5.2309912,-1.9290417,-2.7096519,4,7,3,7,6,4,6,5,4,7,6,7,5,7,7,1,7,8,6,6,0.087622411,0.38157157
-24.033126,0.049464779,1.7872616,1,1,0,24.095381,0.2390964,-2.0491392,-1.5856715,-1.6242452,-1.6255253,-0.77327627,-1.5715849,-1.5257246,-5.2309912,-1.9290417,-2.7096519,6,3,4,6,6,1,5,8,2,6,6,8,7,3,7,4,6,8,5,5,0.087622411,0.95554936
-23.48962,0.99352472,0.16567062,3,13,0,26.167787,0.60247394,-1.6630606,-1.5417471,-1.8933415,-1.8774433,-1.5500617,-1.4418788,-1.572728,-4.0190556,-1.5501538,-3.5217381,1,2,5,7,6,1,7,6,5,8,2,2,4,4,8,2,5,7,3,8,0.36255381,0.74403817
-23.737806,0.98057368,0.30377569,2,7,0,24.428672,0.27616085,-2.0051986,-1.5676581,-1.6464073,-1.6434759,-0.84852389,-1.5454079,-1.5246662,-5.0808612,-1.8784116,-2.7772799,2,1,6,7,4,3,4,7,1,8,3,2,4,5,6,5,5,8,2,6,0.18180161,0.97147194
-24.003403,0.99224335,0.53949292,2,3,0,24.009369,0.2424456,-2.0451261,-1.5839078,-1.6261984,-1.6270818,-0.78004136,-1.5691063,-1.5255761,-5.2170909,-1.9243522,-2.7156468,4,4,2,6,6,2,3,8,8,6,4,6,5,4,8,6,3,8,4,6,0.097121604,0.22174257
-24.135999,0.96687241,0.99707593,1,1,0,24.428071,0.22802804,-2.062462,-1.5916951,-1.61786,-1.6204731,-0.75096724,-1.5799356,-1.52629,-5.2774258,-1.9447022,-2.6900004,6,3,6,8,7,4,7,6,3,8,7,6,4,5,7,2,3,7,6,6,0.054665758,0.52399175
-24.217833,0.36567336,1.6997006,2,3,0,24.293487,0.70665767,-1.5710492,-1.5808155,-1.9920901,-1.985491,-1.7904574,-1.4636265,-1.6111135,-3.7500398,-1.4900931,-3.8358089,2,6,2,6,8,5,6,7,4,7,5,3,5,5,6,4,6,8,5,7,0.21813554,0.45596333
-24.5441,0.98088624,0.44305153,2,5,0,25.124238,0.19046673,-2.1083654,-1.6144011,-1.5969929,-1.6043651,-0.67580476,-1.6100897,-1.5290595,-5.4410419,-1.9997244,-2.6251049,2,4,3,8,4,1,4,6,5,8,2,8,5,8,8,5,5,8,4,8,-0.077815691,0.89207412
-23.170736,0.93348957,0.79139241,2,3,0,25.423747,0.50274763,-1.7590562,-1.5254347,-1.8079517,-1.7903178,-1.327777,-1.4478139,-1.5467829,-4.3035718,-1.6282107,-3.2611702,5,7,7,3,4,6,6,5,2,8,6,6,3,7,6,3,5,8,6,8,0.40543491,0.59011575
-23.170736,0.50429224,1.2145181,1,1,0,23.497108,0.50274763,-1.7590562,-1.5254347,-1.8079517,-1.7903178,-1.327777,-1.4478139,-1.5467829,-4.3035718,-1.6282107,-3.2611702,5,7,3,8,7,1,3,5,4,8,3,5,3,6,7,2,3,8,3,7,0.40543491,0.66157664
-23.259211,0.98043077,0.49997999,3,7,0,23.457486,0.37404293,-1.8941275,-1.5354868,-1.7106957,-1.6987997,-1.0513783,-1.4897573,-1.5281169,-4.7188459,-1.7579205,-2.9703659,5,2,3,6,6,6,5,8,3,7,3,2,5,7,6,1,5,8,4,7,0.33990128,0.596394
-23.13989,0.99618431,0.88412428,2,3,0,23.228572,0.47049239,-1.7917316,-1.5246187,-1.7822157,-1.7652635,-1.2574318,-1.4548423,-1.5405652,-4.4020978,-1.6576663,-3.1838905,5,7,4,6,4,2,7,5,3,7,4,6,4,8,6,2,3,8,6,6,0.40197623,0.5318338
-23.137462,1,1.6259084,1,1,0,23.137626,0.45527675,-1.8074191,-1.5250001,-1.7703924,-1.753949,-1.2245024,-1.4589842,-1.5379933,-4.4497883,-1.6722703,-3.1485088,3,4,5,7,4,3,7,6,4,8,2,5,2,7,6,2,3,5,2,8,0.39743225,0.52623881
-23.290777,0.49076203,2.9960207,1,1,0,23.85385,0.55369724,-1.7090577,-1.5311802,-1.8504729,-1.8329518,-1.4404187,-1.4417128,-1.558753,-4.1546144,-1.585861,-3.3899648,7,3,1,4,7,4,7,6,5,7,3,6,7,6,8,2,5,8,3,8,0.39386451,0.49902561
-23.667554,0.83610953,1.2130024,2,3,0,23.671057,0.28653357,-1.993087,-1.5632027,-1.6528244,-1.6487882,-0.86973364,-1.5385782,-1.5246012,-5.0402387,-1.8647389,-2.7967224,2,6,4,4,6,4,6,7,5,7,3,4,5,7,6,4,4,8,4,5,0.20424,0.5383782
-23.667554,0.50055616,1.3727075,1,1,0,24.972868,0.28653357,-1.993087,-1.5632027,-1.6528244,-1.6487882,-0.86973364,-1.5385782,-1.5246012,-5.0402387,-1.8647389,-2.7967224,3,5,8,7,8,3,8,3,3,6,2,7,2,7,7,6,7,6,4,7,0.20424,0.75146102
-23.700818,0.99886048,0.58469209,3,7,0,23.702442,0.63988602,-1.6290334,-1.5531918,-1.9276677,-1.9141321,-1.6353942,-1.4462058,-1.5851528,-3.9193866,-1.5260155,-3.6290379,4,4,5,7,7,4,4,8,3,8,4,5,3,5,6,3,3,8,2,7,0.32395958,0.66538308
-23.824288,0.81289222,1.0625101,2,3,0,24.214432,0.26433308,-2.0191081,-1.573049,-1.6392046,-1.6375735,-0.82442002,-1.5534612,-1.524864,-5.1279059,-1.8942665,-2.7553889,4,5,6,7,7,3,4,8,3,8,5,6,5,4,8,4,7,7,7,5,0.15423635,0.30979643
-23.537233,0.90694664,1.1236867,2,3,0,23.904464,0.30811552,-1.9681464,-1.5547394,-1.666477,-1.6602524,-0.91407866,-1.5250692,-1.5247913,-4.9575392,-1.8369815,-2.8379239,2,5,4,5,8,1,3,7,2,8,5,5,2,6,8,3,4,6,2,7,0.24614269,0.69845465
-23.786176,0.75014274,1.5499233,1,1,0,23.824781,0.65279043,-1.6175513,-1.5578108,-1.9398011,-1.9273235,-1.6650824,-1.4485804,-1.5897881,-3.8858279,-1.5183521,-3.6674065,5,8,7,2,5,4,5,8,3,7,4,6,4,7,6,1,3,7,4,6,0.3074336,0.41673941
-23.179309,1,1.368894,1,1,0,23.280502,0.40851673,-1.8567234,-1.5292824,-1.7353259,-1.7211424,-1.1243043,-1.4749434,-1.5315209,-4.6015527,-1.7199913,-3.043834,1,3,3,8,7,1,7,6,2,4,3,7,3,7,7,2,7,6,4,6,0.37141518,0.87168376
-23.179309,0.0029190018,2.429788,1,1,0,23.325715,0.40851673,-1.8567234,-1.5292824,-1.7353259,-1.7211424,-1.1243043,-1.4749434,-1.5315209,-4.6015527,-1.7199913,-3.043834,3,3,5,6,8,2,2,8,5,4,5,5,7,6,8,3,7,6,5,6,0.37141518,0.63131164
-23.75809,0.98179743,0.2721078,2,5,0,24.06451,0.27329999,-2.0085534,-1.5689316,-1.644654,-1.6420332,-0.84268582,-1.54733,-1.524702,-5.0921685,-1.8822207,-2.7719579,3,6,2,6,8,4,2,7,3,6,5,6,6,5,7,2,6,7,4,6,0.17533272,0.5735282
-25.795952,0.92121989,0.46132429,2,7,0,25.818517,0.11281847,-2.2066653,-1.6728934,-1.5578038,-1.5760139,-0.52302711,-1.6812462,-1.5389284,-5.8138971,-2.1228471,-2.4992676,3,5,2,5,6,2,7,8,3,5,5,6,2,8,8,6,3,7,2,4,-0.50992138,0.559048
-25.178107,1,0.65770233,1,1,0,25.808516,0.1458186,-2.1643248,-1.6460777,-1.5738058,-1.5872614,-0.5875355,-1.6495577,-1.5340537,-5.6491045,-2.0689538,-2.551425,3,6,1,7,6,5,6,7,6,5,2,6,6,7,8,2,6,8,1,8,-0.29124414,0.37548342
-24.427987,1,1.1526154,1,1,0,25.395919,0.20027584,-2.0962746,-1.60813,-1.6023228,-1.6084185,-0.69535283,-1.6019453,-1.5282097,-5.3973731,-1.9850741,-2.6417897,6,6,6,5,7,4,2,8,5,7,5,6,5,6,6,3,4,8,7,2,-0.039788596,0.15132425
-24.427987,0.35866302,2.0015803,1,3,0,24.850136,0.20027584,-2.0962746,-1.60813,-1.6023228,-1.6084185,-0.69535283,-1.6019453,-1.5282097,-5.3973731,-1.9850741,-2.6417897,4,3,5,5,8,2,3,7,6,5,5,7,4,4,6,5,7,8,4,7,-0.039788596,0.40536848
-25.650226,0.960277,0.62946912,3,7,0,25.845971,0.82151641,-1.4797853,-1.6500982,-2.1125913,-2.1276547,-2.0659439,-1.5262568,-1.6676536,-3.4816803,-1.4506898,-4.2481478,6,1,5,8,5,2,8,8,6,8,2,5,4,5,6,4,6,5,4,7,-0.12810251,0.80258678
-23.778707,1,0.98071533,1,1,0,25.186331,0.65170016,-1.6185163,-1.5574072,-1.9387701,-1.9261982,-1.662569,-1.4483619,-1.5893895,-3.8886474,-1.5189864,-3.6641368,4,5,2,4,8,2,5,4,6,7,2,8,4,5,6,3,4,6,5,8,0.30889721,0.41703812
-25.054394,0.26620477,1.6829076,1,1,0,25.105598,0.1535321,-2.1545485,-1.6402323,-1.5776857,-1.59006,-0.60270295,-1.6424589,-1.5330592,-5.6120029,-2.0566929,-2.563894,2,4,5,6,8,6,6,8,3,6,7,6,4,5,7,4,6,8,3,5,-0.24876913,0.15983923
-24.711139,1,0.42857061,1,1,0,25.046379,0.17735827,-2.1246373,-1.6231645,-1.5900027,-1.5991158,-0.6497696,-1.6212702,-1.5303345,-5.5005015,-2.0196152,-2.6030917,2,6,2,5,8,1,4,7,3,7,7,2,7,5,7,4,4,6,5,6,-0.13305849,0.18957476
