# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 07:43:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c7b027424.json
# init = 2 (Default)
# random
#   seed = 825024991
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605110943-2-4ddca4.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605110943-2-8275b0.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-23.958957,0.98464094,0.5,1,1,0,23.966817,0.24759254,-2.0389754,-1.5812504,-1.6292192,-1.629499,-0.79045098,-1.5653409,-1.5253683,-5.1958627,-1.91719,-2.7249039,3,2,6,5,5,4,7,7,1,8,1,8,6,6,4,5,4,7,5,7,0.11131133,0.83849885
-23.958957,0,13.989344,0,1,1,23.96085,0.24759254,-2.0389754,-1.5812504,-1.6292192,-1.629499,-0.79045098,-1.5653409,-1.5253683,-5.1958627,-1.91719,-2.7249039,2,2,3,6,8,6,2,8,7,7,5,6,2,5,8,4,5,8,7,8,0.11131133,0.7441509
-23.896051,0.13660696,2.3447291,2,7,0,24.589578,0.66808321,-1.6041144,-1.5637308,-1.9543761,-1.9433223,-1.7004371,-1.4519984,-1.5955164,-3.8465837,-1.5097147,-3.7138301,1,4,6,8,5,2,6,3,4,8,5,2,7,7,4,2,7,8,1,3,0.28554594,0.8349051
-23.284327,0.98270719,0.33124488,1,3,0,24.588039,0.55167386,-1.7110055,-1.5308486,-1.8487404,-1.8311853,-1.435909,-1.4418351,-1.5582269,-4.1603821,-1.5874448,-3.3846839,7,5,2,7,6,1,7,8,6,7,1,3,5,8,8,1,8,7,4,8,0.39472691,0.37369615
-24.218218,0.95141144,0.43649788,2,7,0,24.248204,0.21970893,-2.0725366,-1.5964207,-1.6131316,-1.616768,-0.73424791,-1.5863728,-1.5267902,-5.3128419,-1.9566379,-2.6753906,5,5,7,4,5,4,5,6,2,8,2,5,4,3,8,1,5,8,2,7,0.028219564,0.5736047
-24.131949,1,0.59823732,2,3,0,24.306089,0.22844939,-2.0619532,-1.5914603,-1.6181011,-1.6206629,-0.75181515,-1.5796133,-1.5262664,-5.2756439,-1.9441015,-2.690744,5,5,4,8,6,5,6,5,4,4,3,7,5,8,8,1,5,7,2,7,0.055965889,0.56311902
-24.320095,0.95637763,1.0228778,1,1,0,24.647921,0.20997272,-2.0843938,-1.6021692,-1.6076748,-1.6125315,-0.714733,-1.5940812,-1.5274575,-5.3548713,-1.9707874,-2.6584646,4,4,4,6,8,4,6,8,4,6,7,7,1,7,8,2,3,8,5,6,-0.0047059926,0.12839018
-24.536478,0.68895543,1.6024784,2,3,0,24.556412,0.73851446,-1.5446463,-1.5972564,-2.0242712,-2.0223488,-1.8657288,-1.4766246,-1.6252562,-3.6728382,-1.476265,-3.9422607,2,1,4,7,4,2,6,6,2,6,4,5,7,7,5,5,5,7,2,5,0.14726858,0.50849518
-24.536478,0.74826065,1.1105951,1,1,0,26.051219,0.73851446,-1.5446463,-1.5972564,-2.0242712,-2.0223488,-1.8657288,-1.4766246,-1.6252562,-3.6728382,-1.476265,-3.9422607,3,8,3,8,5,3,4,8,5,6,4,6,3,7,7,1,6,7,3,8,0.14726858,0.23027352
-23.536983,1,0.93321529,1,1,0,24.270816,0.61172986,-1.6545403,-1.544309,-1.9017166,-1.8863085,-1.5710721,-1.4426016,-1.5756627,-3.9940605,-1.5439175,-3.5477578,5,2,1,5,8,4,6,7,4,8,2,3,7,6,3,5,6,6,5,7,0.35424102,0.63138141
-24.703423,0.20468247,1.7507503,2,3,0,24.861274,0.17793984,-2.1239126,-1.6227663,-1.5903096,-1.5993446,-0.65092256,-1.620767,-1.5302745,-5.497836,-2.0187252,-2.6040615,2,4,6,2,7,6,3,8,4,8,7,5,3,4,8,2,2,5,4,7,-0.13049198,0.30221489
-24.245928,0.99996352,0.2675624,4,15,0,24.760547,0.7096823,-1.5685071,-1.5822857,-1.9951052,-1.98891,-1.7975675,-1.4647257,-1.6124068,-3.7426137,-1.488687,-3.8456847,4,5,2,7,8,1,5,7,5,8,1,1,5,7,7,2,7,5,5,5,0.21204216,0.93758236
-23.26153,1,0.50774176,2,3,0,24.150619,0.5441354,-1.7182897,-1.5296883,-1.8423177,-1.8246578,-1.4191341,-1.4423795,-1.5563038,-4.1819758,-1.5934173,-3.3651334,2,4,8,7,8,2,4,7,3,7,2,4,6,7,6,4,7,7,5,6,0.39764286,0.7248133
-23.734398,0.81218983,0.96314157,1,1,0,23.775629,0.64508287,-1.6243935,-1.5550105,-1.9325359,-1.9194109,-1.6473343,-1.4471066,-1.5869978,-3.9058225,-1.5228882,-3.6444029,4,5,6,3,7,4,7,8,2,7,2,1,6,5,3,4,6,7,4,8,0.31751202,0.59586964
-23.152322,1,1.013391,1,1,0,23.444103,0.48801615,-1.7738816,-1.5247891,-1.7960841,-1.7786929,-1.2955576,-1.4507257,-1.5438136,-4.3481462,-1.6414099,-3.2254837,3,4,7,7,5,3,6,5,4,8,1,7,4,6,6,7,3,7,2,8,0.40489049,0.77168504
-23.450593,0.60118084,1.9105951,1,1,0,23.668214,0.32475582,-1.9491556,-1.5489495,-1.6772807,-1.6694755,-0.94847031,-1.5153047,-1.5252393,-4.8953799,-1.8162139,-2.8703986,3,6,4,7,6,4,6,6,3,5,4,5,7,7,6,3,6,7,5,5,0.27439686,0.72901677
-25.266056,0.57270887,1.0482577,1,1,0,25.267586,0.14058288,-2.1709867,-1.6501356,-1.5712023,-1.5853985,-0.57725961,-1.6544427,-1.5347601,-5.674582,-2.0773483,-2.543022,4,3,5,6,6,1,4,8,2,7,4,6,5,4,8,3,3,7,4,6,-0.32169949,0.61958581
-25.011683,0.99856713,0.53239969,3,7,0,25.757757,0.15629513,-2.1510576,-1.6381768,-1.5790883,-1.5910783,-0.60814432,-1.6399445,-1.5327163,-5.5988357,-2.0523317,-2.5683865,3,6,6,6,6,5,4,8,6,4,4,8,4,5,8,4,4,8,6,7,-0.23420224,0.40323324
-23.983389,1,0.99415995,1,1,0,24.904553,0.24474216,-2.0423792,-1.5827141,-1.6275434,-1.6281566,-0.78468415,-1.5674196,-1.5254803,-5.207599,-1.9211497,-2.7197706,2,4,5,8,5,1,5,6,3,6,3,6,4,5,3,7,5,8,5,8,0.10351337,0.30905827
-23.211974,1,1.8476162,1,1,0,23.22289,0.5248269,-1.7371456,-1.5272575,-1.8260966,-1.808325,-1.3763585,-1.4444046,-1.5516446,-4.2380522,-1.6092282,-3.3159349,6,8,6,2,7,5,3,7,3,6,3,3,7,3,6,1,6,7,2,5,0.40299656,0.17557218
-23.211974,0.00010292276,3.4009801,1,1,0,24.870835,0.5248269,-1.7371456,-1.5272575,-1.8260966,-1.808325,-1.3763585,-1.4444046,-1.5516446,-4.2380522,-1.6092282,-3.3159349,3,3,4,7,5,3,6,7,3,8,3,2,6,8,6,2,6,7,1,8,0.40299656,0.64511439
-23.337161,0.99408013,0.32244703,2,7,0,23.410708,0.56712288,-1.6962139,-1.533596,-1.8620607,-1.844831,-1.4704188,-1.4411584,-1.5623516,-4.1166415,-1.5755583,-3.4253691,4,2,2,7,4,2,6,7,1,8,5,3,5,8,7,3,5,8,5,8,0.38727881,0.95525913
-23.716657,0.79940606,0.58635001,1,3,0,25.115424,0.27920511,-2.0016356,-1.5663242,-1.6482809,-1.6450218,-0.85474175,-1.5433809,-1.5246366,-5.0688784,-1.8743764,-2.7829621,4,5,2,4,8,6,5,7,4,5,1,5,5,7,7,1,4,6,5,7,0.18855019,0.19910564
-23.382065,0.99967488,0.59963835,3,7,0,23.69007,0.33980914,-1.9321553,-1.5442569,-1.6872618,-1.6781109,-0.97973407,-1.5069639,-1.5258715,-4.8402944,-1.7979005,-2.9003212,5,8,6,5,7,1,3,8,5,8,2,5,3,7,6,5,6,8,7,7,0.297162,0.3641553
-23.166318,1,1.0919957,1,1,0,23.285467,0.41685962,-1.8478057,-1.5281719,-1.7414424,-1.726782,-1.1420724,-1.4717436,-1.5325184,-4.5738765,-1.7111628,-3.0620756,5,3,8,6,7,4,4,7,3,8,5,5,2,7,8,5,6,7,2,6,0.37742638,0.67158952
-23.237225,0.87491623,1.970619,1,1,0,23.384863,0.38189987,-1.8855241,-1.5338425,-1.716218,-1.7037571,-1.0679295,-1.4861572,-1.5287914,-4.6916865,-1.7490706,-2.9868451,2,5,3,7,6,2,6,6,3,5,3,6,8,6,8,2,7,8,5,8,0.34805784,0.39008622
-23.237225,0.0020125869,2.4704851,1,1,0,23.312897,0.38189987,-1.8855241,-1.5338425,-1.716218,-1.7037571,-1.0679295,-1.4861572,-1.5287914,-4.6916865,-1.7490706,-2.9868451,3,7,3,8,7,4,7,8,5,6,5,5,1,7,8,1,5,8,6,6,0.34805784,0.13985088
-23.143335,0.99686073,0.2657914,2,5,0,23.422236,0.4770472,-1.7850275,-1.5246062,-1.7873716,-1.7702365,-1.2716675,-1.4532201,-1.5417443,-4.3817969,-1.651515,-3.1993413,4,3,5,7,5,1,6,8,5,7,5,5,5,8,7,2,5,7,3,6,0.40335556,0.58537096
-23.223366,0.98769519,0.4741944,2,3,0,23.282482,0.52973259,-1.7323279,-1.5278013,-1.8301866,-1.8124225,-1.3872006,-1.4438047,-1.5527922,-4.2236988,-1.6051413,-3.3283171,4,7,5,6,4,7,6,8,3,5,3,4,5,6,8,2,5,6,3,6,0.40192273,0.57644891
-23.251538,0.99038119,0.81692957,1,1,0,23.277518,0.54061064,-1.7217105,-1.5291865,-1.8393319,-1.821635,-1.411305,-1.4426817,-1.5554247,-4.1921295,-1.5962485,-3.3560589,3,2,4,6,8,6,2,5,8,7,5,4,8,8,4,3,5,7,6,8,0.39884636,0.62190781
-23.141124,1,1.4050153,1,1,0,23.159246,0.44315698,-1.8200399,-1.5256579,-1.76112,-1.7451637,-1.1983881,-1.4626561,-1.536109,-4.4883555,-1.6842277,-3.1207999,2,6,5,6,6,5,2,7,2,8,2,5,2,5,7,4,6,7,5,6,0.39245635,0.78933063
-23.141124,0.009242143,2.4582799,1,1,0,23.277931,0.44315698,-1.8200399,-1.5256579,-1.76112,-1.7451637,-1.1983881,-1.4626561,-1.536109,-4.4883555,-1.6842277,-3.1207999,3,4,4,8,7,4,4,7,1,8,7,1,3,7,8,4,7,6,5,6,0.39245635,0.66306809
-23.144982,0.99958554,0.29548316,3,7,0,23.16048,0.43687995,-1.8266201,-1.5261224,-1.7563681,-1.7406919,-1.1849029,-1.4646865,-1.5351901,-4.5085371,-1.6905338,-3.1066107,2,3,3,4,7,5,3,7,3,7,2,7,6,7,7,5,6,8,1,6,0.38940019,0.51761075
-23.797123,0.93639534,0.51824557,2,5,0,23.815096,0.65437596,-1.6161496,-1.5584021,-1.9413023,-1.9289637,-1.6687392,-1.4489042,-1.5903702,-3.8817329,-1.5174342,-3.672171,3,5,6,8,5,2,5,7,5,7,4,3,5,4,6,2,3,8,5,8,0.30528255,0.61847256
-23.54417,0.92203546,0.76183167,1,3,0,24.599046,0.30687397,-1.9695717,-1.555197,-1.6656806,-1.6595777,-0.91151968,-1.5258206,-1.5247685,-4.962232,-1.838553,-2.8355258,6,5,4,6,6,4,4,7,4,8,5,6,4,5,7,6,3,8,5,6,0.24389789,0.38328925
-23.441396,0.72363341,1.0717662,2,3,0,23.99937,0.59235026,-1.672456,-1.5391481,-1.8842692,-1.8679036,-1.5271568,-1.4413447,-1.5696222,-4.0466543,-1.5571727,-3.4936606,2,4,6,8,4,4,4,7,7,4,5,3,4,6,7,2,5,6,3,8,0.37075535,0.97517225
