# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 07:44:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c2deefb6d.json
# init = 2 (Default)
# random
#   seed = 1627079891
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605110944-1-0c380c.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605110944-1-8873f5.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-24.885144,5.1094871e-05,4,2,6,1,25.317114,0.76840357,-1.5206285,-1.6146103,-2.055325,-2.0586795,-1.9371336,-1.4917726,-1.6395862,-3.6023861,-1.4652881,-4.0473357,5,6,7,7,6,5,5,7,3,8,1,5,7,6,7,2,6,5,7,8,0.065560306,0.59310596
-24.885144,0.23767535,2.3352817,1,3,0,25.171741,0.76840357,-1.5206285,-1.6146103,-2.055325,-2.0586795,-1.9371336,-1.4917726,-1.6395862,-3.6023861,-1.4652881,-4.0473357,3,2,5,8,5,4,7,7,4,7,3,5,5,5,4,1,3,6,6,7,0.065560306,0.51271738
-24.306745,0.99892223,0.40319923,2,3,0,25.019413,0.71607392,-1.5631593,-1.585455,-2.0015043,-1.9961899,-1.8126177,-1.4671404,-1.6151737,-3.7269879,-1.4857798,-3.8667103,2,4,8,5,7,4,6,8,2,8,3,7,6,6,7,1,4,8,1,8,0.19874624,0.82683254
-23.429872,0.9844726,0.4505034,2,5,0,24.956776,0.32910051,-1.9442315,-1.5475422,-1.6801412,-1.6719392,-0.95747876,-1.5128491,-1.5253996,-4.8793715,-1.8108821,-2.8789811,4,4,4,8,5,1,7,7,4,7,5,8,5,8,8,4,6,8,6,8,0.28123145,0.74946913
-23.437659,0.9988215,0.61005189,1,1,0,23.484677,0.32744866,-1.946102,-1.5480722,-1.6790517,-1.6709998,-0.95405233,-1.5137781,-1.5253365,-4.8854473,-1.8129048,-2.8757129,2,6,3,6,8,6,4,7,6,8,1,4,7,4,5,5,6,8,4,5,0.27865864,0.23006611
-23.271441,0.73035885,0.97716847,2,3,0,24.255328,0.36999009,-1.8985835,-1.5363884,-1.7078681,-1.6962733,-1.0428567,-1.4916655,-1.5277923,-4.732957,-1.762533,-2.9619253,3,7,6,6,5,3,5,8,3,7,6,5,3,5,8,5,5,7,5,5,0.33546069,0.22790361
-23.406534,0.98925956,0.74150436,2,3,0,23.418917,0.3341996,-1.9384705,-1.5459454,-1.6835193,-1.6748603,-0.96806681,-1.5100171,-1.5256107,-4.8606975,-1.8046724,-2.8891093,4,6,5,6,5,1,5,5,6,8,6,4,5,6,6,5,4,5,5,6,0.28897725,0.57201116
-24.432318,0.59054421,1.2800142,1,1,0,24.632045,0.19989872,-2.0967381,-1.6083666,-1.6021163,-1.6082606,-0.69460023,-1.6022549,-1.5282408,-5.3990393,-1.9856337,-2.6411448,3,4,2,8,7,2,6,5,1,8,4,4,5,6,8,3,7,7,3,7,-0.041201941,0.88903761
-23.149403,1,0.64970953,2,3,0,24.222946,0.43145258,-1.8323335,-1.5265925,-1.7522873,-1.7368681,-1.1732649,-1.4665125,-1.5344269,-4.5261028,-1.6960486,-3.09443,5,1,5,7,8,2,6,7,4,8,5,6,5,5,7,4,4,7,6,7,0.38649124,0.40695519
-23.149403,0.43443096,1.2057822,1,1,0,23.798177,0.43145258,-1.8323335,-1.5265925,-1.7522873,-1.7368681,-1.1732649,-1.4665125,-1.5344269,-4.5261028,-1.6960486,-3.09443,5,3,6,5,5,2,8,7,4,8,5,8,1,8,6,4,4,4,2,4,0.38649124,0.76982416
-23.185394,0.99668508,0.37838676,1,3,0,23.206094,0.40506727,-1.8604258,-1.5297859,-1.7328147,-1.7188373,-1.1169716,-1.4763105,-1.5311283,-4.6130746,-1.7236815,-3.0363454,3,4,2,6,8,4,7,6,4,8,3,8,5,8,8,2,6,7,2,5,0.3687504,0.39993193
-23.741511,0.83387679,0.7069067,1,3,0,24.112809,0.64616293,-1.6234319,-1.5553955,-1.9335507,-1.9205137,-1.6498185,-1.4473032,-1.5873849,-3.9030118,-1.5222452,-3.6476108,5,3,5,6,7,2,5,5,5,8,6,2,7,3,6,1,4,8,3,7,0.31613714,0.38147338
-23.145964,1,0.79278906,1,3,0,23.580142,0.48081052,-1.7811932,-1.5246402,-1.7903489,-1.7731188,-1.2798544,-1.4523331,-1.5424407,-4.3702067,-1.6480214,-3.2082697,3,8,2,4,8,6,6,7,2,5,7,3,6,4,6,1,6,7,2,5,0.40399108,0.042170962
-23.138472,1,1.500892,1,1,0,23.142562,0.46640376,-1.7959298,-1.5246727,-1.7790187,-1.7621917,-1.2485674,-1.4559038,-1.5398515,-4.4148345,-1.661546,-3.174317,4,3,5,5,6,3,5,5,4,8,3,5,5,6,7,5,4,6,4,8,0.40094006,0.79700311
-23.238389,0.6739459,2.8294491,1,1,0,23.533399,0.38146267,-1.8860016,-1.5339304,-1.7159093,-1.7034791,-1.0670074,-1.4863541,-1.5287523,-4.6931911,-1.7495598,-2.9859241,4,7,6,8,1,1,5,8,2,7,5,7,6,5,8,1,5,8,5,5,0.34761945,0.48299212
-23.238389,0.031803609,1.9299199,1,1,0,23.370689,0.38146267,-1.8860016,-1.5339304,-1.7159093,-1.7034791,-1.0670074,-1.4863541,-1.5287523,-4.6931911,-1.7495598,-2.9859241,5,5,4,7,5,2,8,6,3,6,7,8,7,7,8,2,6,7,1,7,0.34761945,0.87780557
-23.212905,0.99985108,0.18363477,1,3,0,23.253767,0.39172064,-1.8748355,-1.531979,-1.7231963,-1.7100648,-1.088675,-1.4818425,-1.5297184,-4.658098,-1.7381793,-3.0076611,7,7,2,7,8,1,5,7,4,8,4,8,5,7,6,6,4,6,7,8,0.3574321,0.36621664
-23.319358,0.93558178,0.34824531,2,7,0,24.995574,0.56218011,-1.7009264,-1.532663,-1.8577759,-1.8404256,-1.4593584,-1.4413103,-1.561005,-4.1305617,-1.5793096,-3.4122605,6,4,7,7,3,3,8,7,4,7,3,4,8,5,7,1,4,7,2,7,0.3898788,0.71915641
-23.489957,0.97612312,0.53906146,1,1,0,23.490023,0.60254215,-1.6629975,-1.5417653,-1.8934029,-1.8775081,-1.5502163,-1.4418833,-1.5727493,-4.0188706,-1.5501072,-3.5219286,2,3,7,8,8,2,8,8,3,6,6,1,4,7,7,4,5,6,2,8,0.36249543,0.6551785
-23.13976,1,0.93703246,1,3,0,23.336824,0.44614044,-1.8169228,-1.5254668,-1.7633906,-1.7473078,-1.2048071,-1.4617217,-1.5365594,-4.478813,-1.6812575,-3.1275825,5,1,4,6,6,4,6,4,4,8,4,5,5,8,4,5,6,5,3,7,0.39379386,0.69223648
-24.696334,0.19650723,1.7344866,1,1,0,25.121798,0.17847612,-2.1232446,-1.6224,-1.5905929,-1.599556,-0.65198589,-1.6203036,-1.5302195,-5.4953804,-2.017905,-2.6049564,2,4,4,7,4,4,6,7,4,8,6,5,5,8,8,3,6,8,6,8,-0.12813528,0.87783697
-23.188075,0.99418652,0.29556391,2,7,0,25.624662,0.40361809,-1.8619839,-1.5300052,-1.7317628,-1.7178736,-1.1138934,-1.4768926,-1.5309668,-4.617929,-1.7252387,-3.0332086,3,2,4,5,6,4,6,5,3,8,5,4,4,5,7,5,3,5,6,7,0.36759927,0.80155976
