# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 07:44:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8ce94381f.json
# init = 2 (Default)
# random
#   seed = 33781374
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605110944-1-186ad7.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605110944-1-83c4ab.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-24.078197,4.8083661e-19,4,2,3,0,24.297801,0.14126495,-1.6893666,-1.718886,-1.288252,-2.7410655,-2.1701176,-1.6278002,-2.0762514,-1.288252,-2.0820441,-3.177336,6,7,7,5,6,5,3,7,3,5,6,5,5,3,6,8,6,7,3,2,-0.31765344,0.44132303
-24.108551,1,2.3350648,1,1,0,24.18425,0.98946445,-1.5604036,-1.5440958,-1.6989229,-1.516424,-1.3668947,-1.2166774,-1.4492707,-1.6989229,-1.2163088,-1.7134471,5,4,7,5,3,5,2,8,4,3,7,5,8,2,3,7,1,8,8,4,-2.771832,0.79247411
-19.105651,0.5511178,2.4311673,2,3,0,19.145448,0.50757546,-1.5446792,-1.5611683,-1.2183709,-2.0243966,-1.7542335,-1.3562817,-1.6239779,-1.2183709,-1.5262196,-2.5049048,6,6,7,4,3,6,3,4,7,7,7,5,7,3,6,6,4,7,5,1,0.40523553,0.47443719
-18.391262,0.66665868,1.0414086,2,3,0,19.820287,0.7463529,-1.5251556,-1.5254161,-1.3187734,-1.7152094,-1.5382765,-1.248774,-1.4731976,-1.3187734,-1.2980208,-2.1009288,4,4,7,6,3,2,5,8,5,5,5,7,6,6,2,7,5,8,7,3,0.1273914,0.40677202
-18.355205,0.99880208,0.60424967,1,3,0,18.401747,0.71126918,-1.5246004,-1.5273636,-1.2928176,-1.7535204,-1.5671763,-1.2604691,-1.4879571,-1.2928176,-1.3237928,-2.158761,4,7,8,5,2,7,5,7,6,6,6,5,5,5,6,6,4,7,4,4,0.20879471,0.6711544
-18.361618,0.99814043,0.96741631,2,3,0,18.361669,0.72444688,-1.5246732,-1.5264975,-1.3020036,-1.7388471,-1.5562039,-1.2558954,-1.4821032,-1.3020036,-1.3137677,-2.1369795,1,5,7,2,2,8,1,7,7,2,8,6,6,3,2,7,2,6,5,1,0.18043776,0.85127979
-19.252614,0.28428599,1.6661829,1,1,0,19.733034,0.48755055,-1.5488582,-1.5665532,-1.2165371,-2.05561,-1.7743528,-1.3680348,-1.641834,-1.2165371,-1.5505321,-2.5399352,3,4,8,5,1,5,3,6,6,4,5,5,6,5,1,6,2,8,6,6,0.40484496,0.80785929
-19.323393,0.99662865,0.32483903,1,1,0,19.345134,0.47844934,-1.5508919,-1.5691226,-1.2159689,-2.0700768,-1.7835976,-1.3735043,-1.6502101,-1.2159689,-1.5618257,-2.5559181,5,2,8,2,3,5,2,7,7,4,5,3,7,5,2,7,7,7,7,6,0.40360566,0.52536253
-20.347838,0.87178735,0.58300226,1,1,0,20.347867,0.37114927,-1.5813319,-1.6051822,-1.2206364,-2.2542217,-1.8973078,-1.4437945,-1.7612105,-1.2206364,-1.7061501,-2.7473421,5,4,7,5,4,5,5,2,2,4,6,2,5,4,3,7,4,7,3,4,0.33674715,0.063074969
-18.55917,1,0.72136371,1,3,0,21.258031,0.79585146,-1.5278988,-1.5246293,-1.3643316,-1.6652634,-1.4992251,-1.2349897,-1.4569477,-1.3643316,-1.2668687,-2.0201834,8,2,7,5,7,8,5,8,5,4,7,6,8,3,5,6,3,7,7,4,-0.02549066,0.55203624
