# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 07:45:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c45a644fc.json
# init = 2 (Default)
# random
#   seed = 1036733810
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605110945-1-10e176.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605110945-1-5558f6.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-18.853881,0.9773944,1,1,1,0,18.861155,0.33065222,-1.4510176,-1.5960016,-1.6030116,-1.7849377,-1.5254612,-1.4510176,-1.5311919,-1.6728247,-1.5311919,-1.6909455,7,7,2,7,1,7,6,3,4,1,5,8,6,5,2,4,5,3,5,4,0.28361982,0.30996366
-18.853881,3.2206705e-59,13.806236,1,3,1,19.093811,0.33065222,-1.4510176,-1.5960016,-1.6030116,-1.7849377,-1.5254612,-1.4510176,-1.5311919,-1.6728247,-1.5311919,-1.6909455,8,6,5,7,4,4,7,7,4,3,8,8,3,8,4,8,6,6,7,6,0.28361982,0.62451019
-18.900489,0.30765976,2.3050206,2,3,0,18.979333,0.21058852,-1.4423969,-1.6502847,-1.5041903,-1.6645156,-1.5274127,-1.4423969,-1.5246011,-1.6127963,-1.5246011,-1.4186595,5,6,2,7,4,6,5,4,5,5,7,8,2,6,4,5,3,7,7,1,-0.0025573013,0.12774629
-18.799086,0.98538962,0.51252596,1,3,0,19.144622,0.29435122,-1.4443813,-1.6106844,-1.5718988,-1.7439972,-1.5246192,-1.4443813,-1.5277821,-1.6528764,-1.5277821,-1.6074442,7,5,1,5,5,6,5,6,2,5,8,3,5,7,5,8,5,3,5,4,0.22014022,0.51165428
-18.937912,0.95545238,0.70237358,1,3,0,19.058554,0.20069997,-1.4433265,-1.6555021,-1.4965806,-1.6564376,-1.528175,-1.4433265,-1.5246604,-1.6085961,-1.5246604,-1.3967201,8,5,3,8,4,8,4,8,6,5,2,6,3,3,2,7,6,5,4,3,-0.038203597,0.68777376
-18.792292,0.99316386,0.99466758,1,3,0,18.881467,0.27503172,-1.4423128,-1.6191012,-1.5557726,-1.7238557,-1.5246794,-1.4423128,-1.5264665,-1.6429054,-1.5264665,-1.5634265,8,5,1,6,1,8,3,4,5,3,7,4,1,6,6,4,6,7,8,6,0.17926325,0.72379411
-18.807655,0.97974988,1.688477,1,1,0,18.815126,0.30331209,-1.4456816,-1.6069234,-1.5794809,-1.7537228,-1.5247109,-1.4456816,-1.5285102,-1.6576524,-1.5285102,-1.6279596,7,5,3,7,2,7,4,8,3,6,4,8,3,5,2,3,5,5,3,4,0.23734874,0.36071257
-18.807655,0.036681216,2.8685919,1,1,0,18.857076,0.30331209,-1.4456816,-1.6069234,-1.5794809,-1.7537228,-1.5247109,-1.4456816,-1.5285102,-1.6576524,-1.5285102,-1.6279596,8,4,3,8,5,7,2,4,7,4,6,8,5,5,5,7,5,6,5,1,0.23734874,0.28662467
-18.831012,0.99870795,0.25740276,1,3,0,18.859579,0.31925294,-1.4485393,-1.6004546,-1.5931281,-1.7716373,-1.525062,-1.4485393,-1.5299896,-1.6663881,-1.5299896,-1.6646117,8,3,2,7,4,6,4,8,6,5,8,6,3,8,3,6,4,8,2,2,0.26542343,0.58836801
-19.395843,0.7998641,0.4736377,2,5,0,21.528262,0.13374006,-1.4557274,-1.6939665,-1.4472447,-1.6085585,-1.5357214,-1.4557274,-1.5275075,-1.5830086,-1.5275075,-1.2500184,8,4,3,8,2,8,5,4,4,5,7,7,2,4,2,7,4,8,7,4,-0.36366798,0.71873324
-20.316461,0.94862995,0.47143437,1,3,0,20.824897,0.074427868,-1.4752406,-1.7327697,-1.4068267,-1.5756344,-1.5458612,-1.4752406,-1.5336327,-1.5643884,-1.5336327,-1.1226976,5,3,6,7,3,8,5,7,7,3,5,8,3,3,5,4,6,5,7,2,-0.88350858,0.48560104
-18.795001,0.89901462,0.75651401,2,7,0,20.845698,0.26566144,-1.4416652,-1.6233364,-1.5480602,-1.7144867,-1.5248352,-1.4416652,-1.5259537,-1.6382282,-1.5259537,-1.5421812,6,3,3,7,3,4,1,7,6,2,7,6,3,8,3,8,5,7,3,3,0.1574418,0.47194194
-18.801222,0.89235391,1.0413845,2,3,0,18.989792,0.2569376,-1.4412678,-1.6273699,-1.5409443,-1.705995,-1.5250544,-1.4412678,-1.5255499,-1.6339662,-1.5255499,-1.5224621,7,7,3,7,2,6,6,6,2,6,5,5,5,6,2,7,6,4,4,1,0.13586219,0.62140865
-18.792962,1,1.4050942,1,1,0,18.796779,0.27100322,-1.4420062,-1.6209097,-1.5524481,-1.7197961,-1.5247363,-1.4420062,-1.526236,-1.6408819,-1.526236,-1.5542844,6,8,1,2,2,4,1,6,5,3,5,2,3,4,4,5,1,6,5,2,0.17004892,0.36928247
