# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 07:45:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c35644c3c.json
# init = 2 (Default)
# random
#   seed = 808942122
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605110945-1-2204b3.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605110945-1-839aac.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-20.210837,0.22703556,2,1,3,0,20.231467,0.55141105,-1.581251,-1.5369355,-1.8143697,-2.1352715,-1.5581588,-1.581251,-1.5780886,-1.8309563,-1.5780886,-2.22262,6,5,2,6,5,8,3,7,6,4,7,5,4,5,5,7,1,8,2,3,0.39483644,0.48803266
-20.210837,0.000308576,3.5283543,1,3,0,22.95603,0.55141105,-1.581251,-1.5369355,-1.8143697,-2.1352715,-1.5581588,-1.581251,-1.5780886,-1.8309563,-1.5780886,-2.22262,7,5,6,7,1,8,7,8,6,7,7,7,3,7,4,7,8,4,7,1,0.39483644,0.83999583
-19.558514,0.99683228,0.39345215,2,3,0,20.341796,0.47626591,-1.5176375,-1.5513923,-1.7382213,-1.9942748,-1.5416015,-1.5176375,-1.557092,-1.7696406,-1.557092,-2.036824,8,6,1,4,3,4,4,7,7,2,1,7,4,8,3,6,4,7,4,3,0.40320934,0.1329466
-19.179272,0.95232565,0.43577709,2,7,0,20.504777,0.15835325,-1.449953,-1.6791842,-1.4649309,-1.6248017,-1.5324655,-1.449953,-1.5259635,-1.5918422,-1.5259635,-1.3035708,5,7,3,8,4,6,4,6,5,2,4,6,3,4,2,7,6,8,4,2,-0.22356241,0.3093258
-18.985253,0.90312049,0.53703354,1,3,0,20.810622,0.37394014,-1.463848,-1.5803864,-1.641481,-1.8392998,-1.5281085,-1.463848,-1.5368518,-1.6987354,-1.5368518,-1.7919043,5,6,3,5,6,8,7,5,6,2,5,2,4,7,2,7,2,4,4,4,0.33979063,0.33039875
-18.993797,1,0.64310306,2,7,0,18.999935,0.18837496,-1.4448159,-1.6621696,-1.4872113,-1.6467394,-1.5292523,-1.4448159,-1.5248639,-1.6035147,-1.5248639,-1.3694751,7,6,3,5,6,7,3,7,3,2,8,7,4,8,4,8,5,7,6,3,-0.086278202,0.43059129
-19.063228,0.97498588,1.1017377,1,1,0,19.142369,0.17565434,-1.4467334,-1.6692441,-1.4776766,-1.6371548,-1.5305119,-1.4467334,-1.5252251,-1.5984474,-1.5252251,-1.3414714,6,2,5,4,2,8,3,5,6,2,6,8,2,5,4,6,5,3,6,1,-0.14064306,0.70666386
-18.930151,1,1.8312024,1,1,0,19.164764,0.20261892,-1.4431275,-1.6544805,-1.4980509,-1.6579844,-1.52802,-1.4431275,-1.5246417,-1.6094026,-1.5246417,-1.4009719,4,4,5,5,5,5,2,7,5,4,7,4,3,5,5,5,3,3,2,3,-0.031091425,0.53566093
-18.930151,1.0874473e-07,3.3774606,2,7,0,19.050979,0.20261892,-1.4431275,-1.6544805,-1.4980509,-1.6579844,-1.52802,-1.4431275,-1.5246417,-1.6094026,-1.5246417,-1.4009719,6,6,3,5,3,8,5,7,2,1,5,5,4,6,5,4,6,6,2,3,-0.031091425,0.67812901
-18.869102,0.99928236,0.26862456,1,3,0,18.977507,0.22050984,-1.4417044,-1.6451671,-1.5119076,-1.6728891,-1.5267393,-1.4417044,-1.5246343,-1.6171212,-1.5246343,-1.4407441,8,3,3,8,3,5,5,5,7,2,8,8,3,8,3,5,5,8,1,3,0.030831291,0.46019636
