# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 07:45:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c2fcea520.json
# init = 2 (Default)
# random
#   seed = 632827154
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605110945-1-271e77.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605110945-1-989d91.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-23.402164,2.8503955e-15,4,1,1,0,25.104174,0.76700572,-1.9212439,-1.5260222,-2.0564728,-2.7157711,-1.6388928,-1.9212439,-1.6674522,-2.0569416,-1.6674522,-2.7866666,8,3,5,7,3,7,1,2,4,1,8,3,3,8,2,7,7,5,2,3,0.069757068,0.70296511
-23.402164,0.00020354334,2.3350648,1,1,0,23.498239,0.76700572,-1.9212439,-1.5260222,-2.0564728,-2.7157711,-1.6388928,-1.9212439,-1.6674522,-2.0569416,-1.6674522,-2.7866666,3,6,3,5,6,7,6,4,3,1,8,5,2,8,3,8,6,5,6,6,0.069757068,0.15169122
-23.181704,1,0.23034633,2,3,0,23.415411,0.75621933,-1.8968981,-1.5255198,-2.0435287,-2.6786149,-1.6336192,-1.8968981,-1.6619392,-2.0436601,-1.6619392,-2.7572668,6,5,7,8,3,8,6,6,4,3,5,3,5,6,4,7,7,8,4,8,0.10084929,0.70963462
-22.290898,1,0.2399215,2,3,0,23.240017,0.70801208,-1.7992716,-1.5246077,-1.9867507,-2.5248401,-1.6116913,-1.7992716,-1.6386563,-1.98702,-1.6386563,-2.6274586,5,5,2,5,4,2,3,4,3,2,8,7,5,6,4,6,5,5,2,6,0.2154225,0.38528621
-22.795387,0.98879045,0.32452108,1,1,0,22.807439,0.73627629,-1.8543823,-1.5248777,-2.0198276,-2.6126564,-1.6242247,-1.8543823,-1.652039,-2.0196974,-1.652039,-2.7032541,7,4,3,8,2,4,3,7,6,3,5,3,6,8,5,8,4,7,3,6,0.15275636,0.77036472
-21.440433,1,0.49083246,1,1,0,22.705611,0.65342827,-1.7079445,-1.526226,-1.9245734,-2.3719601,-1.5900219,-1.7079445,-1.6149463,-1.9279828,-1.6149463,-2.483511,7,8,4,8,4,3,5,5,4,3,8,4,6,7,5,8,7,8,4,2,0.30657148,0.17664628
-19.846031,1,0.83476627,1,1,0,21.12519,0.5122664,-1.5453171,-1.5437588,-1.7741676,-2.0586746,-1.5488182,-1.5453171,-1.5665023,-1.7979944,-1.5665023,-2.1251854,6,6,3,7,3,8,5,7,5,5,8,4,5,6,6,7,7,6,6,7,0.40486307,0.64103721
-19.846031,0.010649682,1.4929262,2,3,0,21.409175,0.5122664,-1.5453171,-1.5437588,-1.7741676,-2.0586746,-1.5488182,-1.5453171,-1.5665023,-1.7979944,-1.5665023,-2.1251854,8,5,4,4,6,7,5,6,6,2,7,7,4,7,3,6,4,7,3,4,0.40486307,0.31875183
-19.926245,0.99963955,0.12266352,3,7,0,19.976097,0.52140345,-1.5531423,-1.5420293,-1.7834476,-2.0759207,-1.5508583,-1.5531423,-1.5690804,-1.8054866,-1.5690804,-2.1478005,8,7,4,6,5,8,5,6,3,2,8,3,5,4,2,5,5,5,3,3,0.403631,0.43082386
-20.052685,0.99886931,0.22556384,2,3,0,20.052884,0.53516379,-1.5655651,-1.5395822,-1.7975427,-2.1026117,-1.5540914,-1.5655651,-1.5731082,-1.8170002,-1.5731082,-2.182005,5,8,2,6,2,5,7,5,5,1,8,7,4,7,3,6,1,7,5,3,0.40050687,0.098240613
