# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 07:45:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c30c6b946.json
# init = 2 (Default)
# random
#   seed = 1803782624
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605110945-1-728e9a.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605110945-1-096ab6.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-18.525479,0.88302934,1,1,1,0,18.68964,0.64979972,-1.4659175,-1.5014812,-1.4659175,-1.7958556,-1.2157819,-1.9326426,-1.4411665,-1.9201566,-1.2845605,-1.5413171,7,4,1,6,7,4,7,4,5,6,5,6,3,7,7,4,6,7,7,4,0.31141832,0.31426153
-18.525479,1.3050817e-87,11.62953,1,3,1,18.683483,0.64979972,-1.4659175,-1.5014812,-1.4659175,-1.7958556,-1.2157819,-1.9326426,-1.4411665,-1.9201566,-1.2845605,-1.5413171,7,2,2,5,7,3,5,8,6,4,8,4,4,4,6,6,8,6,7,6,0.31141832,0.56290196
-18.602378,0.9005398,1.8453502,1,1,0,19.700949,0.66068011,-1.4635199,-1.5072276,-1.4635199,-1.807791,-1.2167969,-1.9500758,-1.4414162,-1.93706,-1.2799745,-1.5444013,3,3,6,7,6,1,6,8,7,3,6,5,3,4,4,5,7,6,6,3,0.29646197,0.46537284
-18.602378,0.00087247597,1.9347648,2,3,0,19.265956,0.66068011,-1.4635199,-1.5072276,-1.4635199,-1.807791,-1.2167969,-1.9500758,-1.4414162,-1.93706,-1.2799745,-1.5444013,7,1,1,3,8,5,6,8,5,7,8,4,4,5,5,1,7,6,7,4,0.29646197,0.70559787
-18.56975,1,0.17519293,1,1,0,18.602377,0.65614727,-1.4645046,-1.5048036,-1.4645046,-1.802785,-1.2163104,-1.9428074,-1.4412962,-1.929962,-1.2818686,-1.543084,4,7,2,8,7,4,4,8,6,3,3,5,2,3,7,3,7,7,6,6,0.30284763,0.66147989
-18.520962,0.9993276,0.26673228,2,3,0,18.640056,0.64913852,-1.466067,-1.50114,-1.466067,-1.7951392,-1.2157369,-1.9315846,-1.4411555,-1.9191441,-1.2848435,-1.5411382,5,4,7,7,5,3,6,7,6,5,6,1,2,5,7,2,5,8,4,7,0.31228655,0.54522232
-18.464515,1,0.44531494,1,1,0,18.550785,0.64064793,-1.4680243,-1.4968395,-1.4680243,-1.7860303,-1.2153269,-1.9180144,-1.4410585,-1.9062898,-1.288522,-1.538929,5,4,3,6,8,5,6,8,6,8,6,2,3,6,7,1,5,6,3,4,0.32303157,0.85502694
-18.698365,0.98123544,0.78815973,2,3,0,18.820595,0.67337636,-1.4608699,-1.5142442,-1.4608699,-1.8220701,-1.2186563,-1.9704764,-1.4418728,-1.9573758,-1.2747953,-1.5483392,6,2,8,3,6,3,6,8,5,2,8,3,4,7,6,5,6,6,4,4,0.27736187,0.30845146
-18.698365,0.38508191,1.3593236,2,3,0,18.933433,0.67337636,-1.4608699,-1.5142442,-1.4608699,-1.8220701,-1.2186563,-1.9704764,-1.4418728,-1.9573758,-1.2747953,-1.5483392,4,5,2,1,8,2,4,3,4,5,6,5,6,2,5,4,7,7,8,7,0.27736187,0.23000532
-18.818974,0.99420709,0.36315301,1,1,0,18.829247,0.68816247,-1.4579857,-1.5228357,-1.4579857,-1.8391819,-1.221779,-1.9943144,-1.4426269,-1.9818685,-1.2690011,-1.5533891,3,4,6,3,5,3,7,3,8,3,8,4,5,3,4,6,4,6,7,7,0.25275618,0.15904178
-18.807951,1,0.66804752,2,7,0,18.836782,0.22538425,-1.6454595,-1.4952945,-1.6454595,-1.5320397,-1.4675401,-1.2859063,-1.5488249,-1.522872,-1.5554287,-1.6184527,4,3,2,1,7,3,6,5,6,8,8,4,2,3,4,3,5,7,5,5,0.04642275,0.16684314
-20.034785,0.74315164,1.2603782,1,1,0,20.28604,0.12899671,-1.7085736,-1.5679119,-1.7085736,-1.5247619,-1.582198,-1.1473451,-1.6124135,-1.4834299,-1.6388244,-1.6885967,7,4,2,4,8,3,5,8,8,2,7,3,6,6,6,2,7,7,5,2,-0.39431842,0.68109282
-19.390223,1,1.0603719,1,1,0,20.222939,0.17182382,-1.6795312,-1.5313049,-1.6795312,-1.5255839,-1.5291163,-1.2085582,-1.5819587,-1.4991809,-1.600856,-1.6549717,6,4,5,6,6,1,6,6,7,2,6,2,6,4,6,1,3,5,6,2,-0.15805552,0.38858419
-19.390223,0.0075412055,2.0048952,1,1,0,19.511856,0.17182382,-1.6795312,-1.5313049,-1.6795312,-1.5255839,-1.5291163,-1.2085582,-1.5819587,-1.4991809,-1.600856,-1.6549717,5,2,4,6,7,1,4,7,7,3,7,1,2,1,4,1,4,7,7,5,-0.15805552,0.33437533
-17.999949,0.99779693,0.17092859,3,15,0,20.426937,0.54014704,-1.4964689,-1.4576835,-1.4964689,-1.6906634,-1.2316133,-1.7594543,-1.4462084,-1.7730237,-1.3380063,-1.5248335,3,4,3,3,5,1,7,8,5,7,7,6,5,4,8,1,8,7,6,5,0.3989971,0.19617808
-17.966465,0.99758233,0.32367997,2,7,0,18.133004,0.37810138,-1.5621101,-1.4436572,-1.5621101,-1.5831462,-1.3236643,-1.5114792,-1.4810817,-1.6178208,-1.4389248,-1.5473279,7,1,3,3,3,6,7,8,5,5,5,1,5,6,5,1,8,8,6,5,0.34418836,0.24120801
-17.902574,0.99927726,0.60878538,2,7,0,17.964931,0.49378949,-1.5127973,-1.447203,-1.5127973,-1.6541945,-1.2505583,-1.6875687,-1.4526769,-1.7218968,-1.3643313,-1.5256529,7,6,6,3,8,2,8,8,5,7,2,4,6,3,6,5,6,7,7,6,0.40531081,0.58839519
-17.909127,0.54360066,1.1423033,2,3,0,18.774668,0.40683793,-1.5487341,-1.4413777,-1.5487341,-1.5981693,-1.3023464,-1.554788,-1.4723138,-1.6408065,-1.4192518,-1.5393487,6,1,2,3,8,4,7,8,5,6,6,3,1,5,6,1,7,6,6,5,0.37013148,0.43242734
-17.940446,0.98315893,0.53412309,2,3,0,18.092251,0.38944928,-1.5567398,-1.442497,-1.5567398,-1.5888731,-1.3150112,-1.5285481,-1.4774788,-1.6266858,-1.431068,-1.5439728,6,2,2,6,6,1,6,6,6,4,4,5,5,4,6,2,8,6,4,6,0.35534392,0.55578913
-18.06132,0.95348625,0.9483647,1,1,0,18.080252,0.34692777,-1.5774529,-1.4486375,-1.5774529,-1.5687912,-1.3489651,-1.4648125,-1.4919459,-1.5948428,-1.4610918,-1.5579155,7,5,4,7,7,4,3,7,6,7,5,4,4,5,7,1,8,6,7,7,0.30705325,0.7544152
-18.06132,0.29950805,1.5279954,2,3,0,20.588476,0.34692777,-1.5774529,-1.4486375,-1.5774529,-1.5687912,-1.3489651,-1.4648125,-1.4919459,-1.5948428,-1.4610918,-1.5579155,6,5,4,2,6,2,8,8,4,5,4,1,2,3,6,5,6,8,8,6,0.30705325,0.32093159
-21.03299,0.86326383,0.35343935,2,7,0,22.670701,0.082986811,-1.7415556,-1.615842,-1.7415556,-1.5282392,-1.6429127,-1.0821983,-1.6493778,-1.4694882,-1.6812166,-1.7291899,4,3,5,4,8,2,5,8,7,6,2,1,6,2,4,1,7,8,7,6,-0.78394754,0.67029975
-19.67658,0.99901692,0.43765235,1,3,0,21.605776,0.15115049,-1.693351,-1.5480621,-1.693351,-1.5247024,-1.5543207,-1.17894,-1.5962023,-1.4912345,-1.6190032,-1.6707075,4,2,3,3,8,2,6,7,1,7,5,2,5,2,8,1,6,8,3,3,-0.26159323,0.68414044
-20.450212,0.9613442,0.80151644,1,1,0,20.502173,0.10741604,-1.7238137,-1.589226,-1.7238137,-1.5258261,-1.610206,-1.1167098,-1.6291829,-1.4765161,-1.6585029,-1.7070543,1,5,4,6,8,1,8,6,7,7,8,1,4,4,6,4,7,7,2,2,-0.55292099,0.78249971
-19.962868,1,1.3037556,1,1,0,21.039498,0.13315522,-1.7056836,-1.5640322,-1.7056836,-1.5246712,-1.5768972,-1.1532645,-1.6092941,-1.4848398,-1.6350744,-1.6851573,7,3,3,8,6,3,8,7,5,5,7,1,2,6,4,2,8,4,6,6,-0.36737567,0.5415214
