# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 07:45:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c38170f39.json
# init = 2 (Default)
# random
#   seed = 1356691776
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605110945-1-928103.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605110945-1-748d10.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-19.118871,0.93574836,1,2,3,0,19.18932,0.16686352,-1.4482818,-1.6742486,-1.4711683,-1.6307805,-1.5314699,-1.4482818,-1.5255646,-1.5950502,-1.5255646,-1.322187,8,4,1,5,6,6,5,6,4,1,6,4,1,6,4,6,6,5,5,3,-0.18137739,0.2698104
-19.118871,0,12.799426,0,1,1,19.118898,0.16686352,-1.4482818,-1.6742486,-1.4711683,-1.6307805,-1.5314699,-1.4482818,-1.5255646,-1.5950502,-1.5255646,-1.322187,5,2,3,7,2,5,4,6,4,5,6,5,3,7,6,4,6,2,5,3,-0.18137739,0.46164538
-19.065155,1,2.0895087,1,1,0,19.500337,0.17533179,-1.446787,-1.669426,-1.4774366,-1.6369174,-1.5305458,-1.446787,-1.5252362,-1.5983213,-1.5252362,-1.3407629,6,5,5,7,4,5,4,5,4,1,6,5,4,4,4,6,5,5,5,1,-0.14208983,0.53694911
-19.065155,0.00046249578,2.9022803,1,3,0,19.253656,0.17533179,-1.446787,-1.669426,-1.4774366,-1.6369174,-1.5305458,-1.446787,-1.5252362,-1.5983213,-1.5252362,-1.3407629,7,6,3,8,1,7,4,3,4,6,5,5,3,4,2,6,4,4,3,2,-0.14208983,0.86266875
-18.825962,1,0.27029508,4,15,0,19.061206,0.23892471,-1.4410655,-1.6359765,-1.5264491,-1.6891555,-1.5257325,-1.4410655,-1.5249415,-1.6254459,-1.5249415,-1.4819292,7,4,2,7,4,8,4,3,6,3,6,4,3,8,3,5,5,8,6,4,0.087129668,0.65508438
-19.428621,0.93199494,0.41936175,2,5,0,20.560051,0.13059887,-1.4565639,-1.6959079,-1.4450257,-1.6065963,-1.5361772,-1.4565639,-1.5277465,-1.5819284,-1.5277465,-1.2432145,6,7,2,8,1,5,7,3,7,3,6,5,5,4,7,4,6,7,4,2,-0.38381593,0.57824169
-19.508425,0.99465582,0.57669581,1,1,0,19.540013,0.12343337,-1.4585556,-1.7003835,-1.4399961,-1.602213,-1.5372509,-1.4585556,-1.5283271,-1.5795041,-1.5283271,-1.2277198,7,7,4,6,4,7,6,5,2,3,8,5,3,6,4,8,4,4,4,1,-0.4320369,0.30939444
-18.867476,0.95819546,1.0081655,1,3,0,19.310301,0.22108064,-1.4416719,-1.6448762,-1.5123541,-1.6733791,-1.5267033,-1.4416719,-1.524639,-1.6173735,-1.524639,-1.4420169,8,5,3,7,3,6,2,7,3,5,8,6,2,5,6,7,8,6,2,3,0.032683946,0.43933182
-18.822232,1,1.6211618,1,1,0,18.822425,0.314028,-1.4475251,-1.6025437,-1.5886325,-1.7656782,-1.5249204,-1.4475251,-1.5294787,-1.6634909,-1.5294787,-1.652576,5,6,6,8,6,8,3,8,6,4,6,6,2,6,1,3,6,5,7,3,0.25656788,0.70059931
-18.822232,7.4418295e-08,3.0220133,1,1,0,19.514633,0.314028,-1.4475251,-1.6025437,-1.5886325,-1.7656782,-1.5249204,-1.4475251,-1.5294787,-1.6634909,-1.5294787,-1.652576,8,3,4,8,7,6,3,7,6,6,8,5,7,7,4,8,5,8,6,6,0.25656788,0.74332757
-18.792577,0.99953912,0.24037393,2,7,0,18.85753,0.28063654,-1.4428105,-1.6166158,-1.5604199,-1.7295839,-1.5246257,-1.4428105,-1.5268124,-1.6457525,-1.5268124,-1.5761667,4,7,2,3,7,8,6,8,1,1,8,8,6,8,5,7,2,8,4,5,0.19167602,0.39113035
-18.799588,0.99907735,0.45336945,2,5,0,18.806433,0.29499374,-1.4444673,-1.6104117,-1.5724403,-1.7446864,-1.5246232,-1.4444673,-1.5278319,-1.6532157,-1.5278319,-1.6089131,7,6,3,7,5,8,7,4,4,3,8,5,3,5,6,6,6,5,8,3,0.22140972,0.5198545
-19.373486,0.77949247,0.85658161,2,3,0,19.866068,0.13595581,-1.4551508,-1.6926046,-1.4488152,-1.6099575,-1.5354054,-1.4551508,-1.5273447,-1.583777,-1.5273447,-1.2548218,7,7,3,4,4,5,4,5,7,5,5,6,2,7,5,5,6,5,4,3,-0.34979729,0.5660947
-18.807999,1,0.81201294,2,3,0,19.243424,0.30361208,-1.4457289,-1.606799,-1.5797358,-1.7540527,-1.5247153,-1.4457289,-1.5285359,-1.657814,-1.5285359,-1.6286474,7,3,3,7,2,8,7,7,6,2,3,3,1,2,4,5,5,4,6,2,0.23790661,0.72198671
-18.8005,1,1.535961,1,1,0,18.813007,0.29610614,-1.4446188,-1.6099407,-1.5733786,-1.7458826,-1.5246312,-1.4446188,-1.5279188,-1.6538042,-1.5279188,-1.611457,6,6,1,7,4,6,6,4,3,5,6,6,5,3,2,4,6,5,4,1,0.22359447,0.16514079
-18.990887,0.28469305,2.8882381,1,3,0,19.383953,0.18896267,-1.4447366,-1.6618475,-1.4876552,-1.6471926,-1.5291977,-1.4447366,-1.524851,-1.6037531,-1.524851,-1.3707718,7,5,3,8,6,5,2,8,1,2,7,6,3,5,4,8,8,8,3,1,-0.083887508,0.46674371
-18.792257,0.98920594,0.59671847,1,3,0,19.142728,0.27779836,-1.4425481,-1.6178699,-1.5580634,-1.7266716,-1.5246492,-1.4425481,-1.5266336,-1.6443061,-1.5266336,-1.5697123,8,7,4,5,5,6,6,2,6,2,6,5,5,8,2,3,1,6,3,3,0.18544881,0.056809061
-18.832532,0.97789939,1.0859065,1,1,0,18.832941,0.3200975,-1.4487103,-1.6001197,-1.5938568,-1.7726086,-1.5250874,-1.4487103,-1.5300746,-1.6668596,-1.5300746,-1.6665592,6,7,4,7,3,7,4,8,3,4,7,3,4,4,3,7,5,3,3,3,0.26682395,0.5060819
-20.046108,0.27871986,1.8941234,1,1,0,20.218915,0.08735682,-1.4703253,-1.7239203,-1.4153675,-1.5820779,-1.543375,-1.4703253,-1.5320057,-1.5681301,-1.5320057,-1.1502462,6,6,1,7,3,8,5,5,5,3,4,8,2,8,6,2,6,7,8,1,-0.73740499,0.6381241
-19.532245,0.96587602,0.40054439,2,7,0,22.735857,0.4726672,-1.5151375,-1.5522277,-1.7346823,-1.9881382,-1.5409517,-1.5151375,-1.5562169,-1.7669068,-1.5562169,-2.0280555,7,4,1,6,2,5,3,5,4,4,6,7,3,6,5,7,4,7,8,2,0.40247231,0.47386832
-19.684111,1,0.67439926,3,7,0,19.684131,0.10964352,-1.4627131,-1.7091812,-1.4304448,-1.5941381,-1.5394503,-1.4627131,-1.529584,-1.5749933,-1.529584,-1.1980008,8,2,4,8,3,7,3,6,5,5,5,7,3,4,2,7,6,7,7,4,-0.53489479,0.82589977
-19.758596,0.99368578,1.2459633,2,3,0,20.098842,0.10447024,-1.4643822,-1.7125449,-1.4269053,-1.5912302,-1.5403206,-1.4643822,-1.5301031,-1.5733533,-1.5301031,-1.1868855,6,8,2,7,6,7,2,7,3,5,4,8,1,5,1,8,2,5,6,3,-0.57743342,0.64326531
-19.758596,1.1396319e-05,2.237379,1,1,0,20.334446,0.10447024,-1.4643822,-1.7125449,-1.4269053,-1.5912302,-1.5403206,-1.4643822,-1.5301031,-1.5733533,-1.5301031,-1.1868855,6,4,5,7,6,6,2,8,2,3,6,5,5,8,6,4,3,5,8,3,-0.57743342,0.85892346
-18.819165,0.99995698,0.22153548,4,15,0,19.799386,0.31203134,-1.4471576,-1.60335,-1.5869203,-1.7634235,-1.5248731,-1.4471576,-1.5292902,-1.6623925,-1.5292902,-1.6479824,4,6,3,4,4,6,3,7,5,3,6,6,2,8,4,6,6,5,4,1,0.25309583,0.36924878
-18.793401,1,0.40721094,2,7,0,18.818597,0.28394868,-1.4431438,-1.6151639,-1.5631782,-1.7330129,-1.5246079,-1.4431438,-1.5270306,-1.6474524,-1.5270306,-1.5837069,7,4,5,8,6,6,3,5,8,2,6,5,5,7,3,6,6,7,6,4,0.19879426,0.65409398
-18.796731,0.99971838,0.74107075,2,3,0,18.796732,0.29097378,-1.4439477,-1.6121253,-1.5690579,-1.7403951,-1.5246043,-1.4439477,-1.5275271,-1.6511012,-1.5275271,-1.5997281,6,7,7,6,5,6,6,7,4,2,5,4,5,6,3,2,2,7,5,2,0.21337458,0.21395921
