# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 07:45:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c7f428dc5.json
# init = 2 (Default)
# random
#   seed = 1885733719
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605110945-2-1ea6c5.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605110945-2-707bbe.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-19.242695,0.045095665,2,2,3,0,19.246405,0.15032057,-1.4516845,-1.6839252,-1.459101,-1.6193303,-1.5334666,-1.4516845,-1.5264036,-1.588887,-1.5264036,-1.2860466,4,8,6,8,6,4,4,7,5,2,5,4,5,7,7,6,8,6,6,3,-0.26612179,0.24623255
-19.242695,0.03987595,2.5345897,2,3,0,21.395634,0.15032057,-1.4516845,-1.6839252,-1.459101,-1.6193303,-1.5334666,-1.4516845,-1.5264036,-1.588887,-1.5264036,-1.2860466,8,8,5,7,2,8,5,4,3,2,3,7,2,2,6,7,6,6,5,1,-0.26612179,0.64154544
-19.250831,0.99774026,0.28128945,4,15,0,19.564293,0.42933522,-1.488637,-1.5633322,-1.6928487,-1.9183101,-1.5341371,-1.488637,-1.5466137,-1.7353871,-1.5466137,-1.9233731,8,6,4,8,1,7,5,6,5,5,6,6,2,6,5,6,3,3,2,2,0.38528889,0.63711027
-18.952578,0.9663967,0.29891857,2,7,0,20.58104,0.19722928,-1.443709,-1.6573611,-1.4939292,-1.6536653,-1.5284641,-1.443709,-1.5247032,-1.607148,-1.5247032,-1.3890368,8,4,6,6,1,7,4,8,6,3,7,5,5,3,2,8,3,7,8,1,-0.051315019,0.82658522
-18.793595,0.98891456,0.37318682,2,5,0,19.392693,0.26893226,-1.4418651,-1.6218466,-1.5507442,-1.7177277,-1.5247715,-1.4418651,-1.5261234,-1.6398491,-1.5261234,-1.5495895,7,5,6,8,3,6,5,8,5,5,5,6,3,7,4,8,6,7,3,4,0.16521457,0.54867866
-20.452263,0.83236583,0.56808978,3,7,0,21.162974,0.068820638,-1.4774853,-1.7366767,-1.40317,-1.5729646,-1.5469873,-1.4774853,-1.5343893,-1.56282,-1.5343893,-1.1107849,7,4,7,6,2,7,5,4,6,3,4,4,1,4,8,4,5,6,4,4,-0.95579551,0.20999969
-19.4898,0.99136291,0.58056368,2,3,0,20.982078,0.12504868,-1.4580965,-1.6993688,-1.441126,-1.6031899,-1.5370047,-1.4580965,-1.5281919,-1.5800458,-1.5281919,-1.2312096,7,7,2,6,5,8,4,5,2,4,8,8,1,7,3,8,4,5,6,1,-0.42087974,0.82736307
-19.739272,0.91276258,1.004689,2,3,0,20.821354,0.10577866,-1.4639545,-1.7116909,-1.4277982,-1.5919594,-1.5400981,-1.4639545,-1.5299694,-1.5737654,-1.5299694,-1.189695,6,7,6,8,2,6,4,7,6,2,7,5,2,7,5,6,4,6,4,2,-0.56644893,0.42608085
-18.946668,0.7875889,1.4005621,1,3,0,19.106852,0.36331995,-1.4601879,-1.5840292,-1.6319063,-1.8253848,-1.5272925,-1.4601879,-1.5353031,-1.6921608,-1.5353031,-1.7669934,7,4,4,7,5,8,2,7,7,4,8,7,5,4,4,1,6,7,5,3,0.32780002,0.48407813
-20.338803,0.25850836,1.3339902,1,1,0,20.954055,0.56387574,-1.5940579,-1.5350821,-1.8274143,-2.1611962,-1.5614641,-1.5940579,-1.5820746,-1.8419327,-1.5820746,-2.2539493,7,2,5,5,3,6,7,7,8,5,8,5,4,6,3,7,1,8,1,2,0.38901002,0.30721591
-18.805109,1,0.24003557,4,15,0,20.309236,0.25311295,-1.4411556,-1.6291658,-1.5378443,-1.7023417,-1.525173,-1.4411556,-1.5253953,-1.6321256,-1.5253953,-1.5138352,5,6,7,5,5,3,1,7,6,1,3,6,4,5,5,6,3,6,6,4,0.12599872,0.14430552
-19.129024,0.97884363,0.45339155,2,5,0,19.200311,0.40661788,-1.4772861,-1.5699338,-1.6714947,-1.8845707,-1.5313033,-1.4772861,-1.5422688,-1.7198716,-1.5422688,-1.8691437,8,5,5,6,3,6,8,8,6,3,4,4,1,4,4,5,3,6,3,2,0.36996136,0.46995354
-19.129024,0.45177731,0.80374213,1,3,0,21.174512,0.40661788,-1.4772861,-1.5699338,-1.6714947,-1.8845707,-1.5313033,-1.4772861,-1.5422688,-1.7198716,-1.5422688,-1.8691437,6,8,4,4,5,6,5,8,5,2,6,6,7,8,6,6,5,5,8,6,0.36996136,0.4771904
-18.911967,1,0.27277677,4,15,0,19.123477,0.20737245,-1.4426732,-1.6519687,-1.5017064,-1.6618592,-1.5276506,-1.4426732,-1.5246103,-1.6114182,-1.5246103,-1.4115162,8,1,5,8,3,6,5,2,6,2,6,5,2,5,4,6,5,8,8,3,-0.013881214,0.61869975
-18.922304,0.99968284,0.51906981,2,3,0,18.93078,0.20462344,-1.4429292,-1.653418,-1.49959,-1.6596109,-1.5278617,-1.4429292,-1.5246258,-1.6102494,-1.5246258,-1.4054163,6,5,2,6,3,5,6,3,6,1,6,7,2,8,3,6,6,7,1,1,-0.023764009,0.032907468
-18.816705,1,0.98179927,1,1,0,18.886555,0.24439035,-1.4410396,-1.6333252,-1.5308191,-1.6941672,-1.5254947,-1.4410396,-1.525094,-1.6279915,-1.525094,-1.4942021,8,6,5,8,2,5,1,8,3,5,7,7,1,4,1,2,5,5,4,5,0.10254057,0.69485976
-18.816705,0.0049828854,1.846135,1,1,0,19.140524,0.24439035,-1.4410396,-1.6333252,-1.5308191,-1.6941672,-1.5254947,-1.4410396,-1.525094,-1.6279915,-1.525094,-1.4942021,4,7,2,2,3,4,4,8,3,2,6,5,1,6,6,8,6,5,8,1,0.10254057,0.29207129
-18.792231,0.99942793,0.16488516,3,11,0,18.926691,0.27649513,-1.4424347,-1.6184488,-1.5569836,-1.7253423,-1.5246626,-1.4424347,-1.526554,-1.6436452,-1.526554,-1.5667506,7,3,4,7,4,7,3,7,4,6,5,7,1,5,5,7,5,5,4,1,0.18254939,0.60794015
-19.048276,0.98639939,0.3115174,2,7,0,19.293224,0.17820745,-1.4463178,-1.6678084,-1.4795792,-1.6390442,-1.5302471,-1.4463178,-1.5251403,-1.5994501,-1.5251403,-1.3470826,5,4,4,5,6,5,6,8,4,1,4,6,1,4,5,8,3,2,7,2,-0.12931479,0.14129949
-19.513588,0.98333815,0.56095254,3,7,0,19.563356,0.12299145,-1.4586822,-1.7006616,-1.4396874,-1.6019469,-1.5373186,-1.4586822,-1.5283645,-1.5793564,-1.5283645,-1.2267654,7,7,5,6,5,7,5,7,1,4,5,8,6,4,2,6,4,6,4,1,-0.43511953,0.70589455
-18.816338,0.92593196,0.99220238,2,3,0,19.368787,0.24462793,-1.4410402,-1.6332107,-1.5310097,-1.694387,-1.525485,-1.4410402,-1.5251013,-1.628103,-1.5251013,-1.4947361,8,3,6,8,6,6,6,6,6,4,6,7,2,7,4,6,4,6,6,1,0.10319776,0.84904267
-19.562822,0.6160222,1.4678575,1,1,0,19.624941,0.11889703,-1.4598762,-1.7032507,-1.4368355,-1.5995045,-1.5379551,-1.4598762,-1.5287203,-1.5779978,-1.5287203,-1.2179288,6,8,6,4,7,3,4,6,3,1,6,4,4,1,4,6,5,5,8,3,-0.4643188,0.49053787
-20.686298,0.90498662,0.8699584,1,3,0,20.694037,0.060285707,-1.4810322,-1.7427045,-1.3976596,-1.5690449,-1.5487567,-1.4810322,-1.5356002,-1.5604956,-1.5356002,-1.0926926,8,3,5,5,4,7,3,7,4,4,7,5,4,7,5,5,6,5,6,2,-1.0790802,0.81513454
-21.581877,0.91586178,1.2051686,1,1,0,21.805057,0.03705181,-1.491478,-1.7596137,-1.3830016,-1.5592458,-1.5539128,-1.491478,-1.5392612,-1.5545501,-1.5392612,-1.0436869,5,7,7,5,5,7,4,8,5,2,3,7,1,5,8,5,3,7,6,8,-1.5414343,0.15690512
-20.673882,1,1.7135503,1,1,0,22.18586,0.060706342,-1.4808537,-1.7424051,-1.3979296,-1.569234,-1.5486679,-1.4808537,-1.5355389,-1.5606084,-1.5355389,-1.0935831,7,3,5,8,4,8,3,6,4,3,7,7,5,4,5,6,5,8,6,1,-1.0725748,0.94525444
-20.673882,0.010152374,3.0804031,2,3,0,21.023722,0.060706342,-1.4808537,-1.7424051,-1.3979296,-1.569234,-1.5486679,-1.4808537,-1.5355389,-1.5606084,-1.5355389,-1.0935831,8,6,2,8,7,8,4,5,6,7,8,7,1,7,6,6,2,7,5,1,-1.0725748,0.33864944
-19.075805,0.99713235,0.33208189,4,15,0,20.647612,0.17357407,-1.4470834,-1.6704198,-1.4761305,-1.6356281,-1.5307321,-1.4470834,-1.5252988,-1.5976358,-1.5252988,-1.3369029,8,5,2,6,3,7,6,6,5,2,7,7,2,3,2,5,4,5,4,2,-0.15003635,0.29184757
-19.940965,0.8421778,0.59466017,1,3,0,22.170643,0.52304431,-1.554583,-1.5417275,-1.7851208,-2.0790578,-1.5512337,-1.554583,-1.5695516,-1.8068449,-1.5695516,-2.1518699,8,4,4,6,4,6,6,7,4,1,6,7,3,7,5,7,6,4,4,3,0.40333869,0.66032949
-19.718099,1,0.68491864,1,1,0,20.074395,0.49693983,-1.5329293,-1.5468483,-1.7587435,-2.0305771,-1.5455862,-1.5329293,-1.5623503,-1.7856979,-1.5623503,-2.0874231,8,2,5,8,2,6,4,8,4,4,7,4,5,6,3,7,6,6,5,3,0.40542765,0.53473712
-18.805543,1,1.2169833,1,1,0,19.139234,0.30139694,-1.4453853,-1.6077196,-1.577855,-1.7516236,-1.5246849,-1.4453853,-1.5283483,-1.6566236,-1.5283483,-1.6235696,7,7,4,8,4,8,4,5,2,5,7,8,2,8,2,6,7,7,5,3,0.23375975,0.52329524
-18.967138,0.75391407,2.1418006,1,1,0,19.088559,0.19396271,-1.4440954,-1.6591241,-1.4914431,-1.6510857,-1.5287464,-1.4440954,-1.5247539,-1.6057974,-1.5247539,-1.3818134,7,3,2,6,3,8,3,4,5,5,6,3,2,4,3,7,3,4,7,2,-0.063955158,0.75910396
-19.335044,0.69379342,1.9140313,1,1,0,19.727463,0.13991578,-1.4541481,-1.6901861,-1.4516327,-1.6124889,-1.5348519,-1.4541481,-1.5270655,-1.5851633,-1.5270655,-1.2634151,8,6,7,7,3,7,4,6,4,2,5,6,3,7,2,5,4,5,4,2,-0.32568013,0.53058674
-18.843791,1,1.4574072,1,1,0,18.93204,0.32592817,-1.4499461,-1.5978296,-1.5989032,-1.7793757,-1.5252808,-1.4499461,-1.5306791,-1.670138,-1.5306791,-1.6800197,7,6,5,7,6,5,5,8,6,5,4,5,3,3,3,5,6,5,4,2,0.27626262,0.66485603
