# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 07:46:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c4f6f608e.json
# init = 2 (Default)
# random
#   seed = 2029701184
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605110946-1-1b33f6.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605110946-1-6635e0.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-18.849669,0.82714324,1,1,1,0,18.909598,0.22086633,-1.6482369,-1.4979386,-1.6482369,-1.5312638,-1.4725228,-1.2793473,-1.5514173,-1.5206952,-1.5591713,-1.6212982,7,6,4,7,7,5,3,8,7,6,6,1,4,2,2,3,8,5,6,6,0.031989203,0.79055025
-18.849669,0,10.505894,0,1,1,19.214904,0.22086633,-1.6482369,-1.4979386,-1.6482369,-1.5312638,-1.4725228,-1.2793473,-1.5514173,-1.5206952,-1.5591713,-1.6212982,6,4,4,7,7,3,5,4,3,3,4,2,5,2,5,1,4,6,6,4,0.031989203,0.26417171
-17.946668,1,1.6176011,1,1,0,18.022425,0.51895784,-1.503685,-1.4522795,-1.503685,-1.6734167,-1.2394649,-1.7265005,-1.4488325,-1.7489187,-1.3497756,-1.5246433,5,3,7,5,7,2,6,7,8,7,4,3,6,2,7,4,8,8,8,4,0.40402648,0.46810859
-17.946668,0.61796749,2.1729754,1,1,0,18.195729,0.51895784,-1.503685,-1.4522795,-1.503685,-1.6734167,-1.2394649,-1.7265005,-1.4488325,-1.7489187,-1.3497756,-1.5246433,5,4,4,4,4,1,4,8,8,4,4,4,4,3,4,1,7,8,4,6,0.40402648,0.47600529
-17.972491,0.97583439,1.1569169,1,3,0,17.984563,0.3757207,-1.5632514,-1.4439443,-1.5632514,-1.5819787,-1.325518,-1.5079039,-1.4818612,-1.6159955,-1.4405875,-1.5480656,7,2,5,5,6,3,8,8,5,4,6,3,7,3,8,4,8,6,4,3,0.34169282,0.39810617
-17.972491,0.12299415,1.7792234,1,1,0,19.282175,0.3757207,-1.5632514,-1.4439443,-1.5632514,-1.5819787,-1.325518,-1.5079039,-1.4818612,-1.6159955,-1.4405875,-1.5480656,5,3,4,4,8,4,6,8,6,5,6,1,5,5,8,2,5,7,3,4,0.34169282,0.66559209
-17.885583,0.99934542,0.21367487,3,11,0,18.046232,0.42693313,-1.5398204,-1.4410569,-1.5398204,-1.6097001,-1.2886308,-1.585241,-1.4668714,-1.6579583,-1.4059365,-1.5347853,6,2,1,5,7,3,4,8,8,6,4,6,2,6,6,3,6,6,4,3,0.38387872,0.80240834
-18.374854,0.96966239,0.37284283,2,5,0,18.61701,0.626178,-1.4715221,-1.4898604,-1.4715221,-1.7708911,-1.2153242,-1.8949511,-1.4410798,-1.8849993,-1.2949771,-1.535535,7,4,6,7,8,4,4,7,8,5,2,3,1,6,4,3,5,8,6,7,0.33966333,0.60324496
-18.813732,0.94901561,0.61560284,2,7,0,19.114771,0.22475037,-1.6458481,-1.4956612,-1.6458481,-1.5319283,-1.4682368,-1.2849856,-1.5491864,-1.5225645,-1.5559528,-1.6188493,2,6,1,6,6,5,5,5,7,5,7,3,4,4,8,3,7,7,4,5,0.044424297,0.78747851
-18.146763,0.76097658,0.97233099,2,3,0,21.68767,0.32560446,-1.5884438,-1.4536034,-1.5884438,-1.5601323,-1.3675243,-1.433078,-1.500215,-1.580245,-1.4767406,-1.5663155,2,4,5,4,6,2,8,8,5,7,4,5,6,3,2,1,3,8,7,7,0.27574904,0.53677657
-17.884237,1,0.85667499,1,3,0,18.062094,0.42859296,-1.5391004,-1.4410763,-1.5391004,-1.6106904,-1.287543,-1.5877626,-1.4664467,-1.659416,-1.4048531,-1.5344458,5,3,2,7,8,2,5,6,4,7,7,1,4,4,4,2,7,4,7,4,0.38485838,0.69800269
-17.884237,0.64301165,1.6157981,1,1,0,18.013214,0.42859296,-1.5391004,-1.4410763,-1.5391004,-1.6106904,-1.287543,-1.5877626,-1.4664467,-1.659416,-1.4048531,-1.5344458,7,1,5,5,8,6,7,7,8,5,2,4,3,3,8,2,4,7,8,7,0.38485838,0.5445966
-17.950509,0.96958637,0.99097103,1,1,0,17.953829,0.38482606,-1.5589138,-1.4429283,-1.5589138,-1.5865075,-1.3185,-1.5215889,-1.4789243,-1.6230412,-1.4342551,-1.5453075,6,4,5,4,6,5,4,7,7,2,3,1,2,5,7,1,7,8,5,3,0.35094541,0.59044877
-17.985317,0.53045511,1.7037755,1,3,0,18.007996,0.53488153,-1.4982231,-1.4562453,-1.4982231,-1.6862863,-1.2334334,-1.7512501,-1.4468089,-1.7669144,-1.3408891,-1.524697,3,4,2,1,6,2,8,7,4,5,4,5,3,3,8,6,7,7,7,4,0.40058634,0.50917428
