# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 07:46:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c18bda315.json
# init = 2 (Default)
# random
#   seed = 1103663892
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605110946-1-936aa5.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605110946-1-476fa2.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-18.125562,0.91781196,1,1,1,0,18.142691,0.33051306,-1.5858781,-1.4523454,-1.5858781,-1.5620422,-1.3631638,-1.4403699,-1.49825,-1.5835269,-1.4731036,-1.5642984,4,4,3,3,4,4,1,7,7,7,4,1,5,3,7,4,6,7,6,3,0.28340674,0.48993259
-18.125562,0,12.388748,0,1,1,18.872174,0.33051306,-1.5858781,-1.4523454,-1.5858781,-1.5620422,-1.3631638,-1.4403699,-1.49825,-1.5835269,-1.4731036,-1.5642984,8,6,4,8,5,4,6,6,8,7,3,2,2,4,6,4,7,8,7,3,0.28340674,0.78613672
-18.125562,0.0014593054,2.0030128,1,1,0,18.800924,0.33051306,-1.5858781,-1.4523454,-1.5858781,-1.5620422,-1.3631638,-1.4403699,-1.49825,-1.5835269,-1.4731036,-1.5642984,4,1,3,7,8,3,5,7,6,6,5,2,5,7,5,2,7,6,7,5,0.28340674,0.668902
-18.436371,0.99185223,0.19337901,3,9,0,19.268721,0.27289177,-1.6173342,-1.4716063,-1.6173342,-1.542764,-1.4175755,-1.3552676,-1.5237115,-1.5478452,-1.5170857,-1.5911267,5,6,4,7,6,4,7,7,8,5,6,5,5,5,7,2,6,7,8,5,0.17439952,0.65862117
-19.653163,0.97542402,0.25159888,2,5,0,20.153983,0.15273314,-1.6922798,-1.5467201,-1.6922798,-1.5247379,-1.5523634,-1.1812028,-1.5950821,-1.49182,-1.617602,-1.6694702,3,5,4,7,7,2,6,7,4,7,8,2,3,4,6,2,7,5,2,6,-0.25304318,0.34040044
-20.24403,0.99016847,0.36164621,2,3,0,20.57838,0.11763349,-1.7165477,-1.578885,-1.7165477,-1.525198,-1.5968414,-1.1311968,-1.6211208,-1.4797059,-1.6491407,-1.698188,7,3,5,5,7,4,2,8,7,4,7,4,3,5,3,2,7,7,7,1,-0.47356983,0.93053556
-19.961801,1,0.59192027,1,1,0,20.299202,0.13321794,-1.7056401,-1.5639742,-1.7056401,-1.5246701,-1.5768175,-1.1533538,-1.6092474,-1.4848612,-1.6350179,-1.6851057,5,4,7,2,7,2,3,5,4,4,7,3,5,6,4,4,7,8,4,7,-0.36697707,0.2976335
-18.352765,1,1.0525924,1,1,0,19.569697,0.28608111,-1.6098764,-1.4663123,-1.6098764,-1.5465707,-1.4045086,-1.3746521,-1.5174133,-1.5554751,-1.5067717,-1.5843769,4,3,4,6,4,2,5,8,7,5,4,1,3,5,7,1,8,5,4,3,0.20329364,0.89285346
-18.002952,1,1.9310465,1,1,0,18.363124,0.36471055,-1.5685949,-1.4454708,-1.5685949,-1.5767328,-1.334261,-1.4913933,-1.4855732,-1.607707,-1.4483425,-1.5516297,4,2,4,4,5,1,7,8,5,2,5,3,3,1,7,2,5,6,4,3,0.32943366,0.080714835
-18.002952,4.0675446e-06,3.6027167,2,3,0,18.023376,0.36471055,-1.5685949,-1.4454708,-1.5685949,-1.5767328,-1.334261,-1.4913933,-1.4855732,-1.607707,-1.4483425,-1.5516297,3,5,3,2,7,2,6,7,8,7,7,2,2,2,5,1,5,7,7,3,0.32943366,0.32746865
