# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 07:46:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c17987dcc.json
# init = 2 (Default)
# random
#   seed = 1834746226
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605110946-2-4a5562.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605110946-2-8bab77.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-17.874984,0.98947199,0.5,1,3,0,18.153242,0.4549388,-1.5280056,-1.4423051,-1.5280056,-1.6271857,-1.2712253,-1.6279147,-1.4602057,-1.6834146,-1.3879977,-1.5298244,8,6,4,2,7,1,8,8,7,8,5,1,4,5,6,6,4,6,5,5,0.3973099,0.67680695
-17.874984,6.0028133e-47,14.112764,1,1,0,17.961935,0.4549388,-1.5280056,-1.4423051,-1.5280056,-1.6271857,-1.2712253,-1.6279147,-1.4602057,-1.6834146,-1.3879977,-1.5298244,6,3,6,6,8,2,3,8,6,4,6,2,3,4,8,3,3,6,2,3,0.3973099,0.26636527
-17.874984,0.01019922,2.3715809,1,1,0,18.586711,0.4549388,-1.5280056,-1.4423051,-1.5280056,-1.6271857,-1.2712253,-1.6279147,-1.4602057,-1.6834146,-1.3879977,-1.5298244,5,2,4,4,8,4,6,5,6,3,4,5,2,5,6,2,8,8,8,6,0.3973099,0.22598694
-18.164948,0.98712895,0.23958141,2,5,0,18.569094,0.58550281,-1.4824386,-1.4726343,-1.4824386,-1.730895,-1.219725,-1.8305449,-1.4424208,-1.8290842,-1.3143484,-1.528471,8,2,5,7,8,5,6,7,5,6,4,5,5,8,7,4,8,7,8,5,0.37578609,0.92025268
-17.881896,0.9997943,0.31232837,2,7,0,18.194168,0.43179708,-1.5377175,-1.4411334,-1.5377175,-1.6126184,-1.2854629,-1.5926329,-1.4656376,-1.6622477,-1.402769,-1.5338067,4,1,3,3,7,4,5,8,4,5,3,2,5,5,6,4,5,7,2,5,0.38668328,0.55503284
-18.186904,0.92741732,0.48733354,1,3,0,18.730261,0.59037119,-1.4810485,-1.4745081,-1.4810485,-1.7354852,-1.2188721,-1.8382208,-1.4421594,-1.835484,-1.3119363,-1.5291257,2,3,2,3,7,5,5,5,5,5,3,7,7,4,7,3,8,8,8,8,0.37225179,0.2808764
-17.935969,0.98771094,0.66352499,2,3,0,18.3041,0.5138134,-1.5055,-1.4511224,-1.5055,-1.6693765,-1.2415794,-1.7185243,-1.4495536,-1.743256,-1.3527004,-1.5247409,8,2,3,6,7,3,7,7,8,7,2,4,5,7,4,2,6,8,5,5,0.40470158,0.62971772
-17.938572,0.63970556,1.1377962,2,3,0,18.38891,0.3903493,-1.5563188,-1.4424196,-1.5563188,-1.5893388,-1.3143379,-1.5299038,-1.4772009,-1.6274006,-1.4304497,-1.5437181,4,5,5,8,7,4,8,7,8,5,7,6,6,3,8,3,4,8,8,3,0.35617706,0.73287508
-18.485549,0.94772114,0.6732453,2,3,0,18.487817,0.64386277,-1.4672749,-1.49845,-1.4672749,-1.7894596,-1.215446,-1.9231493,-1.4410858,-1.911125,-1.2871196,-1.5397465,4,4,5,5,6,4,7,7,7,6,8,4,5,4,8,3,6,8,7,4,0.31905065,0.79667026
-17.875984,1,1.0594965,2,3,0,18.129294,0.46071871,-1.5256558,-1.4428036,-1.5256558,-1.6310006,-1.2678891,-1.6367559,-1.4589607,-1.6889013,-1.3843862,-1.529004,7,5,4,5,7,4,5,8,5,4,8,3,1,5,4,2,6,5,6,1,0.3992739,0.78109348
-17.875984,0.012019935,1.9880091,1,1,0,18.655062,0.46071871,-1.5256558,-1.4428036,-1.5256558,-1.6310006,-1.2678891,-1.6367559,-1.4589607,-1.6889013,-1.3843862,-1.529004,2,5,3,2,5,3,5,5,4,7,4,2,4,4,6,3,6,6,7,2,0.3992739,0.15029048
-18.107909,0.99769847,0.16529581,3,13,0,18.174718,0.33477398,-1.5836682,-1.4513095,-1.5836682,-1.5637405,-1.3594212,-1.4467062,-1.4965742,-1.5864136,-1.4699633,-1.562588,6,1,4,6,7,3,6,8,3,5,7,4,3,6,5,5,7,7,8,6,0.28983139,0.58505426
-18.013979,0.92186268,0.3118971,2,7,0,21.55724,0.5449085,-1.4949051,-1.4590379,-1.4949051,-1.6946738,-1.2300436,-1.7668819,-1.4456945,-1.7786174,-1.3354236,-1.5250078,5,6,5,7,6,4,3,8,7,5,5,3,3,6,8,3,5,6,8,2,0.3973653,0.64180004
-18.478722,0.95856834,0.46408788,3,7,0,18.885515,0.64282625,-1.4675154,-1.4979284,-1.4675154,-1.7883513,-1.2154028,-1.9214933,-1.4410757,-1.9095618,-1.2875705,-1.5394804,6,5,2,4,5,2,7,7,6,6,5,3,4,4,3,6,3,8,8,6,0.32034574,0.21372866
-17.908802,0.99467993,0.77383207,1,3,0,18.5198,0.40705411,-1.5486363,-1.4413687,-1.5486363,-1.5982889,-1.3021935,-1.5551149,-1.4722523,-1.6409862,-1.4191066,-1.5392952,4,3,6,4,5,7,8,6,6,4,6,3,6,5,8,3,6,7,4,4,0.37029819,0.19176274
-19.896796,0.17967227,1.4375341,1,1,0,20.035792,0.78586954,-1.4445227,-1.5907664,-1.4445227,-1.9657482,-1.2728603,-2.1540255,-1.4534516,-2.1694407,-1.2375041,-1.5996855,6,2,1,6,5,5,8,6,7,4,4,6,3,5,8,1,5,8,7,4,0.0096251639,0.57097714
-19.830812,0.99974025,0.21603069,2,3,0,19.996064,0.78109836,-1.4449494,-1.5870048,-1.4449494,-1.9590062,-1.2689431,-2.1461365,-1.4526928,-2.1591131,-1.2387541,-1.5968884,6,3,4,7,6,3,7,8,7,1,5,2,2,6,7,3,8,7,8,8,0.025572502,0.49563438
-19.894669,0.98004559,0.40905022,2,3,0,21.018426,0.78571757,-1.4445359,-1.5906459,-1.4445359,-1.9655325,-1.2727329,-2.153774,-1.453427,-2.1691097,-1.2375434,-1.5995955,5,5,5,5,7,3,8,5,4,6,6,3,1,6,7,7,7,7,7,6,0.010141215,0.59228556
-20.156734,0.97601481,0.72361359,2,7,0,20.168844,0.12224587,-1.7132974,-1.5743647,-1.7132974,-1.5249877,-1.5908696,-1.1377468,-1.6175539,-1.4811949,-1.6449411,-1.6942607,6,2,3,4,7,2,6,6,7,5,4,2,4,1,5,1,6,8,5,5,-0.44035024,0.19631379
-21.92693,0.92232262,1.2544561,1,1,0,22.114498,0.055494843,-1.7621451,-1.6491598,-1.7621451,-1.5325058,-1.6809767,-1.0435707,-1.6737143,-1.4625657,-1.70733,-1.7556985,5,1,8,5,7,3,5,6,8,1,4,2,6,3,3,3,7,6,6,3,-1.1567998,0.10838396
