# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 07:46:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c26a37ce0.json
# init = 2 (Default)
# random
#   seed = 208348925
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605110946-2-54aa34.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605110946-2-890cf5.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-21.1011,1.2493293e-12,4,1,1,0,21.30379,0.85646692,-1.4410824,-1.6516835,-1.4410824,-2.072621,-1.3530666,-2.2718668,-1.4673513,-2.3394768,-1.2227703,-1.6478401,3,2,3,5,4,3,8,8,8,3,6,5,1,4,8,5,7,8,7,8,-0.30436987,0.41318078
-20.62019,0.35315458,2.3350648,2,3,0,20.790509,0.83153595,-1.4416751,-1.6290492,-1.4416751,-2.0333301,-1.3195457,-2.2300119,-1.4618762,-2.27549,-1.2271463,-1.6293626,8,6,1,8,8,6,7,7,8,5,6,5,5,5,6,4,6,8,7,6,-0.17375416,0.65162437
-20.818252,0.99575988,0.52926938,1,1,0,20.95435,0.84225681,-1.4413358,-1.6386327,-1.4413358,-2.0500145,-1.3331906,-2.247978,-1.4641556,-2.3024365,-1.2251504,-1.6371076,4,4,2,3,5,4,7,5,3,2,7,4,2,5,8,5,8,8,6,7,-0.22669781,0.28495813
-17.887446,1,0.60760166,2,3,0,20.328981,0.48030702,-1.5179187,-1.445094,-1.5179187,-1.6444571,-1.2572563,-1.6668063,-1.4550676,-1.7081099,-1.3723814,-1.5267424,6,3,3,6,8,3,7,7,8,2,7,4,6,3,5,1,7,8,3,4,0.40391265,0.8720339
-18.519963,0.81684754,0.87889672,1,3,0,18.637351,0.26081762,-1.6242952,-1.4769313,-1.6242952,-1.5395949,-1.4298479,-1.3375711,-1.5297296,-1.5411305,-1.5266546,-1.5976237,4,2,5,5,8,1,6,8,8,3,4,4,5,4,6,2,8,4,3,4,0.14561498,0.70905516
-18.806699,0.88476527,0.83141011,1,3,0,19.848832,0.68671058,-1.4582592,-1.5219722,-1.4582592,-1.8374785,-1.2214253,-1.9919698,-1.4425423,-1.9794228,-1.2695586,-1.552871,6,4,4,4,2,5,5,6,7,4,7,5,2,7,8,5,5,5,7,7,0.25528926,0.28863234
-17.921889,1,1.0078334,1,1,0,18.396228,0.50629171,-1.5081977,-1.4495407,-1.5081977,-1.6635724,-1.2448139,-1.7068794,-1.4506674,-1.7351066,-1.3570235,-1.5249843,2,2,6,3,8,3,6,6,7,7,4,4,5,3,7,5,8,8,7,2,0.40530675,0.34704978
-18.371004,0.4935878,1.8080873,1,1,0,18.849087,0.62552581,-1.4716846,-1.4895563,-1.4716846,-1.7702201,-1.2153442,-1.8939135,-1.4410863,-1.8840576,-1.2952735,-1.535393,3,1,4,5,7,3,8,8,7,1,7,3,3,4,8,5,8,6,6,6,0.34036439,0.28544035
-17.984909,0.94634432,0.67895409,1,3,0,18.850997,0.37104314,-1.5655083,-1.4445527,-1.5655083,-1.5797193,-1.3291982,-1.5008845,-1.4834166,-1.6124436,-1.4438691,-1.5495491,4,2,6,6,6,2,7,4,5,6,5,4,4,2,5,1,8,4,5,4,0.33662992,0.61598153
-18.216939,0.89879655,1.0638884,1,1,0,18.267277,0.31069781,-1.5963658,-1.457852,-1.5963658,-1.5546379,-1.381085,-1.4109821,-1.5064115,-1.5705604,-1.4879117,-1.5727469,6,1,5,2,6,1,8,5,4,5,4,4,5,3,4,4,5,7,4,5,0.25074944,0.016812483
