# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 07:47:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c778dde79.json
# init = 2 (Default)
# random
#   seed = 1806154001
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605110947-1-450e63.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605110947-1-339da6.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-20.378578,0.39129344,2,2,3,0,20.418303,0.64132426,-1.482361,-3.4004685,-1.482361,-1.0191236,-1.482361,-1.482361,-1.5346586,-2.3878539,-1.7000502,-1.4678658,3,5,2,6,6,4,7,8,3,7,1,7,2,6,4,4,4,8,4,5,0.32220285,0.12758935
-20.378578,0.0001554749,4.756358,1,3,0,21.076922,0.64132426,-1.482361,-3.4004685,-1.482361,-1.0191236,-1.482361,-1.482361,-1.5346586,-2.3878539,-1.7000502,-1.4678658,2,5,2,7,2,4,6,7,6,2,3,8,2,6,3,2,8,5,5,1,0.32220285,0.40530262
-19.919827,0.99276097,0.57926389,2,3,0,20.472205,0.72944285,-1.3518422,-3.5973817,-1.3518422,-0.83709333,-1.3518422,-1.3518422,-1.5262114,-2.2122016,-1.6429796,-1.4510987,4,7,2,7,3,1,5,6,3,5,1,7,4,8,3,3,4,8,4,5,0.16901328,0.58153101
-20.151452,0.98350773,0.6675211,2,3,0,20.151984,0.67868251,-1.4267161,-3.482122,-1.4267161,-0.94134968,-1.4267161,-1.4267161,-1.5301984,-2.3102249,-1.6750286,-1.4598097,5,8,4,8,3,3,3,3,6,2,3,6,5,8,2,1,3,5,6,4,0.26883205,0.78760359
-19.866605,0.57005584,0.92740531,2,3,0,21.83335,0.74582408,-1.3278566,-3.6356884,-1.3278566,-0.80378924,-1.3278566,-1.3278566,-1.5254369,-2.1823111,-1.6331168,-1.4488479,2,5,2,6,3,7,7,7,8,4,2,7,1,6,1,2,7,8,4,5,0.12876528,0.14087102
-19.815092,0.99552268,0.42132003,2,5,0,19.979443,0.83150849,-1.2037752,-3.8455436,-1.2037752,-0.63221573,-1.2037752,-1.2037752,-1.5254962,-2.0389318,-1.5853604,-1.4416761,4,8,3,8,3,4,5,7,5,2,1,5,4,7,3,4,7,8,6,2,-0.17362421,0.64815162
-20.515669,0.91784129,0.70388331,2,3,0,20.536988,0.92088483,-1.076745,-4.0831528,-1.076745,-0.45777291,-1.076745,-1.076745,-1.533024,-1.9109262,-1.5424651,-1.4428061,6,6,3,8,2,6,5,7,4,2,2,6,1,8,3,2,3,7,4,4,-0.82751149,0.43949238
-19.968969,1,0.97203744,2,3,0,20.328292,0.71667939,-1.3705903,-3.567917,-1.3705903,-0.86315675,-1.3705903,-1.3705903,-1.5269884,-2.2360701,-1.6508267,-1.4530433,4,6,4,4,1,2,4,7,3,1,2,5,3,7,2,3,7,4,6,1,0.19745664,0.61619679
-19.79229,1,1.7818933,1,1,0,19.857292,0.78267434,-1.2742115,-3.7239384,-1.2742115,-0.72946575,-1.2742115,-1.2742115,-1.5246135,-2.1180384,-1.6117881,-1.4448058,5,4,2,7,6,3,4,8,3,5,2,8,1,8,1,2,8,4,3,2,0.02036258,0.42272614
-19.938703,0.1932151,3.3231522,2,3,0,20.34622,0.86431573,-1.156867,-3.9304026,-1.156867,-0.56765946,-1.156867,-1.156867,-1.5273644,-1.9894969,-1.5687885,-1.4410392,3,8,2,7,5,2,5,3,7,3,2,6,1,8,2,2,4,4,3,1,-0.35148232,0.90378689
-19.926526,1,0.4870261,1,1,0,19.944805,0.86205147,-1.160094,-3.9244607,-1.160094,-0.5720952,-1.160094,-1.160094,-1.5272023,-1.9928158,-1.5699016,-1.4410446,2,5,3,5,6,1,4,8,6,6,2,5,1,8,1,2,6,6,4,2,-0.33755544,0.34373218
-19.82886,0.81641168,0.91918191,2,3,0,21.224525,0.83709466,-1.1957648,-3.8598081,-1.1957648,-0.62117992,-1.1957648,-1.1957648,-1.5257416,-2.030308,-1.5824713,-1.4414834,3,8,3,6,2,5,6,6,3,3,2,8,1,2,1,4,6,5,3,4,-0.20064465,0.62781992
-19.82886,0.6352378,0.97491605,1,3,0,20.911012,0.83709466,-1.1957648,-3.8598081,-1.1957648,-0.62117992,-1.1957648,-1.1957648,-1.5257416,-2.030308,-1.5824713,-1.4414834,1,7,5,8,5,8,4,8,1,2,2,6,3,7,1,2,4,3,5,1,-0.20064465,0.54673742
-19.841601,0.99768941,0.58761374,2,3,0,19.871207,0.84148449,-1.1894767,-3.8710702,-1.1894767,-0.6125202,-1.1894767,-1.1894767,-1.5259553,-2.023591,-1.5802203,-1.441356,1,7,3,5,2,1,6,5,2,2,2,7,4,8,2,3,4,5,6,6,-0.22273106,0.87140246
-20.480324,0.81338732,1.1054817,2,3,0,20.500106,0.9187308,-1.0797785,-4.07718,-1.0797785,-0.46192465,-1.0797785,-1.0797785,-1.5327514,-1.9137678,-1.5434149,-1.4426708,3,6,4,6,4,1,3,2,3,3,1,8,1,7,1,2,7,6,1,1,-0.8029908,0.66486071
-19.957908,0.94441068,1.1684138,2,3,0,20.331103,0.86767319,-1.1520849,-3.9392368,-1.1520849,-0.56108746,-1.1520849,-1.1520849,-1.5276139,-1.9846009,-1.5671464,-1.4410419,3,8,2,7,1,1,7,5,4,1,2,8,2,7,5,2,7,8,5,2,-0.37266126,0.97139278
-19.957908,0.0024334201,1.8493981,1,1,0,20.389009,0.86767319,-1.1520849,-3.9392368,-1.1520849,-0.56108746,-1.1520849,-1.1520849,-1.5276139,-1.9846009,-1.5671464,-1.4410419,5,6,2,7,3,1,2,3,5,2,4,5,1,7,4,2,5,7,3,1,-0.37266126,0.65829363
-21.581522,0.98676001,0.16389331,3,15,0,22.758109,0.96060331,-1.0210546,-4.1956351,-1.0210546,-0.38167123,-1.0210546,-1.0210546,-1.5388675,-1.8606007,-1.5257024,-1.4462919,1,5,1,8,2,4,4,6,2,3,3,5,2,8,2,2,5,6,5,3,-1.4825078,0.8712975
-20.491917,0.99720949,0.29799564,4,15,0,21.98604,0.91944741,-1.0787692,-4.0791656,-1.0787692,-0.46054315,-1.0787692,-1.0787692,-1.5328416,-1.9128211,-1.5430984,-1.4427152,4,4,2,5,4,3,5,7,5,4,3,7,3,8,2,2,4,4,4,3,-0.81106798,0.18161971
-20.308193,1,0.55452547,1,1,0,20.481393,0.90672022,-1.0967177,-4.0441088,-1.0967177,-0.48512092,-1.0967177,-1.0967177,-1.5313149,-1.9298271,-1.5487874,-1.4420164,2,3,3,7,4,3,3,6,7,1,3,8,2,8,4,3,5,5,6,3,-0.67831383,0.48579088
-22.643041,0.6987753,1.0308864,1,3,0,22.805212,0.97840511,-0.99624295,-4.2475487,-0.99624295,-0.34783801,-0.99624295,-0.99624295,-1.5419939,-1.8392983,-1.5186545,-1.4484757,4,4,3,4,3,6,3,7,5,4,1,7,4,8,5,3,7,7,5,3,-2.0653706,0.080612043
-22.031642,1,0.77891183,1,1,0,22.65072,0.96965793,-1.0084231,-4.2219207,-1.0084231,-0.36444136,-1.0084231,-1.0084231,-1.5404182,-1.8496699,-1.5220815,-1.4473539,3,5,3,7,2,3,6,4,6,1,1,8,1,8,4,2,5,4,3,2,-1.7342725,0.7370176
-21.135799,1,1.4304939,1,1,0,22.199071,0.94823879,-1.0383419,-4.1601329,-1.0383419,-0.40527045,-1.0383419,-1.0383419,-1.5368814,-1.8758497,-1.5307675,-1.4450033,2,3,2,8,3,2,6,6,6,7,4,8,1,7,1,2,6,6,1,2,-1.2225038,0.51907968
-22.261778,0.50307249,2.6009575,1,1,0,24.263603,0.97334674,-1.0032839,-4.2327,-1.0032839,-0.35743452,-1.0032839,-1.0032839,-1.5410734,-1.8452736,-1.5206277,-1.4478154,2,5,5,7,3,2,5,5,4,3,2,6,3,5,1,1,8,7,3,2,-1.8600994,0.69748893
-21.418956,1,1.118182,1,1,0,22.309066,0.95656727,-1.0266926,-4.183997,-1.0266926,-0.38936549,-1.0266926,-1.0266926,-1.5382025,-1.8655372,-1.5273405,-1.4458509,3,6,5,7,4,4,4,5,4,2,1,8,2,8,2,4,5,2,3,1,-1.3891867,0.35295585
-21.418956,0.014246968,2.0174667,1,1,0,21.490116,0.95656727,-1.0266926,-4.183997,-1.0266926,-0.38936549,-1.0266926,-1.0266926,-1.5382025,-1.8655372,-1.5273405,-1.4458509,3,4,6,8,1,2,5,7,2,4,2,7,1,8,1,4,4,5,4,1,-1.3891867,0.23574424
-19.787262,0.99545118,0.22082496,3,11,0,22.433124,0.7881571,-1.2662665,-3.7373214,-1.2662665,-0.71847715,-1.2662665,-1.2662665,-1.5246002,-2.108818,-1.6087165,-1.4443267,7,8,4,8,5,2,7,8,5,3,4,5,3,7,2,1,7,5,3,5,0.0017913153,0.74742429
-19.788498,0.99997297,0.3949353,2,3,0,19.78851,0.78662227,-1.2684896,-3.7335683,-1.2684896,-0.72155147,-1.2684896,-1.2684896,-1.5246011,-2.1113904,-1.6095737,-1.4444576,6,7,4,6,5,1,3,6,5,1,3,5,4,8,2,3,5,8,4,7,0.0070610603,0.55375905
-19.800477,0.99387312,0.70835784,1,3,0,19.832544,0.82389075,-1.2147142,-3.8262111,-1.2147142,-0.64729409,-1.2147142,-1.2147142,-1.5252095,-2.0508304,-1.5893446,-1.4419942,6,6,1,7,2,3,3,6,3,4,2,7,1,8,1,4,5,4,2,1,-0.13860863,0.21075861
-19.800477,0.74637274,1.2371642,1,1,0,20.141922,0.82389075,-1.2147142,-3.8262111,-1.2147142,-0.64729409,-1.2147142,-1.2147142,-1.5252095,-2.0508304,-1.5893446,-1.4419942,3,5,2,7,3,1,5,8,4,3,3,8,1,7,2,3,7,8,6,3,-0.13860863,0.54336043
-20.341735,0.7641742,1.0869436,2,3,0,20.761733,0.64692172,-1.4739941,-3.4125374,-1.4739941,-1.0074132,-1.4739941,-1.4739941,-1.5339081,-2.3759138,-1.6962237,-1.4665712,3,6,3,7,2,2,5,3,7,7,4,6,4,8,2,3,6,6,4,1,0.315164,0.51329127
-19.817495,1,1.0044153,1,3,0,20.163477,0.832566,-1.202258,-3.8482383,-1.202258,-0.63012516,-1.202258,-1.202258,-1.5255404,-2.0372927,-1.5848113,-1.441637,2,8,1,5,1,3,7,7,3,3,1,6,1,8,1,1,7,6,5,2,-0.17864936,0.61884359
-19.817495,0.38238237,1.7541327,1,1,0,20.350679,0.832566,-1.202258,-3.8482383,-1.202258,-0.63012516,-1.202258,-1.202258,-1.5255404,-2.0372927,-1.5848113,-1.441637,1,5,3,6,1,1,5,6,1,3,1,7,2,7,2,5,7,4,5,4,-0.17864936,0.80871079
-20.498861,0.88851904,0.58290297,1,3,0,21.084726,0.91987189,-1.0781714,-4.0803425,-1.0781714,-0.45972496,-1.0781714,-1.0781714,-1.5328952,-1.912261,-1.5429112,-1.4427418,1,7,2,7,5,2,4,4,1,1,2,7,2,8,2,1,5,6,4,4,-0.81588996,0.84942349
-21.057646,0.94896126,0.75405107,1,1,0,21.057653,0.94558823,-1.0420535,-4.1525804,-1.0420535,-0.4103401,-1.0420535,-1.0420535,-1.5364753,-1.8791674,-1.5318714,-1.4447512,1,3,4,6,6,1,6,7,1,4,2,7,2,8,2,2,6,4,5,4,-1.1753634,0.36633103
-20.86401,1,1.1387394,1,1,0,21.280716,0.93819971,-1.0524106,-4.1316343,-1.0524106,-0.42449194,-1.0524106,-1.0524106,-1.5353801,-1.8885071,-1.534982,-1.4440931,2,6,3,7,3,3,3,8,2,1,2,8,1,8,3,1,4,7,2,3,-1.0558803,0.371832
-19.967581,1,1.951783,1,1,0,20.576257,0.86927664,-1.1498023,-3.9434659,-1.1498023,-0.55795108,-1.1498023,-1.1498023,-1.5277368,-1.9822731,-1.5663657,-1.4410476,4,7,2,8,2,3,5,5,5,3,2,7,2,7,2,3,5,5,3,4,-0.38300634,0.76258386
-19.967581,0.00036958385,3.3172314,2,3,0,20.168755,0.86927664,-1.1498023,-3.9434659,-1.1498023,-0.55795108,-1.1498023,-1.1498023,-1.5277368,-1.9822731,-1.5663657,-1.4410476,4,7,2,8,1,2,6,7,4,3,2,8,3,8,2,6,5,8,5,1,-0.38300634,0.74520103
-20.000094,0.99943022,0.42902513,2,3,0,20.001647,0.87430263,-1.1426524,-3.9567641,-1.1426524,-0.54812954,-1.1426524,-1.1426524,-1.5281383,-1.975021,-1.5639335,-1.4410845,3,6,1,8,2,3,7,6,3,2,1,6,2,8,3,3,3,7,2,5,-0.4164473,0.6526816
-20.066833,0.99678388,0.7305501,2,3,0,20.085206,0.88324757,-1.1299463,-3.9805911,-1.1299463,-0.53068496,-1.1299463,-1.1299463,-1.5289131,-1.9622782,-1.5596605,-1.4412212,3,7,6,5,2,6,4,8,3,5,2,7,1,7,2,2,3,5,2,4,-0.48008983,0.22768367
-20.180375,0.97615394,1.2257283,2,3,0,20.180911,0.89559682,-1.1124439,-4.0138272,-1.1124439,-0.50667492,-1.1124439,-1.1124439,-1.53011,-1.9450282,-1.5538786,-1.4415603,5,6,2,7,1,3,5,7,5,3,4,6,2,8,1,3,5,6,3,1,-0.57800065,0.2354618
-20.180375,0.00030297849,1.9376111,1,1,0,20.985482,0.89559682,-1.1124439,-4.0138272,-1.1124439,-0.50667492,-1.1124439,-1.1124439,-1.53011,-1.9450282,-1.5538786,-1.4415603,3,5,4,5,6,2,4,5,5,4,3,6,3,8,1,3,4,4,4,4,-0.57800065,0.30401833
-20.612965,0.99600568,0.26718513,3,11,0,20.657523,0.60857597,-1.5315229,-3.3309943,-1.5315229,-1.0880475,-1.5315229,-1.5315229,-1.5396278,-2.4599739,-1.7229843,-1.4760509,3,8,4,8,1,4,3,8,4,3,2,5,2,4,1,3,6,5,1,3,0.35716211,0.50565568
-20.213026,0.95545907,0.44552117,2,5,0,21.774214,0.89866873,-1.1080972,-4.022157,-1.1080972,-0.50071557,-1.1080972,-1.1080972,-1.5304308,-1.9407984,-1.5524615,-1.4416719,5,5,2,6,1,4,4,5,4,3,1,8,3,6,3,1,3,8,3,3,-0.60444157,0.48912329
-20.45419,0.99234008,0.66746141,2,3,0,20.456235,0.91707742,-1.0821078,-4.072604,-1.0821078,-0.46511315,-1.0821078,-1.0821078,-1.5325453,-1.9159568,-1.5441468,-1.4425707,4,7,3,6,1,5,1,7,7,8,2,8,2,8,2,1,5,4,3,4,-0.78465175,0.45995863
-20.624257,0.96417036,1.0877325,1,1,0,20.787106,0.92697696,-1.0681731,-4.100115,-1.0681731,-0.44604457,-1.0681731,-1.0681731,-1.5338194,-1.9029527,-1.5398014,-1.4432183,1,7,3,6,5,2,5,5,5,5,3,7,1,8,2,4,6,4,4,2,-0.90104733,0.67589254
-19.794619,0.37611075,1.6442723,2,3,0,21.982554,0.81989004,-1.2204663,-3.8161127,-1.2204663,-0.6552265,-1.2204663,-1.2204663,-1.5250811,-2.0571438,-1.5914575,-1.4421867,2,7,4,7,1,4,5,6,4,3,5,8,4,8,4,2,6,7,4,5,-0.12101332,0.35252283
-19.794573,0.99994334,0.60057501,3,7,0,19.797137,0.78064828,-1.2771498,-3.7190098,-1.2771498,-0.73353093,-1.2771498,-1.2771498,-1.5246256,-2.1214677,-1.6129299,-1.4449909,1,7,3,8,6,3,4,7,5,1,2,8,3,7,1,1,7,6,4,3,0.02705008,0.6501672
-20.522258,0.71448709,0.98712905,1,1,0,20.524025,0.62073371,-1.5132294,-3.3565625,-1.5132294,-1.0623772,-1.5132294,-1.5132294,-1.5376677,-2.4327417,-1.714361,-1.4728909,2,4,2,5,3,2,6,5,7,4,4,6,1,8,5,3,2,3,4,5,0.34538966,0.46932739
-20.06361,1,0.81855948,1,1,0,20.409029,0.69563912,-1.4016111,-3.520059,-1.4016111,-0.90634289,-1.4016111,-1.4016111,-1.5286003,-2.27655,-1.6640726,-1.4566105,4,4,2,5,6,6,3,8,6,7,4,8,4,5,1,2,4,8,5,3,0.23929402,0.037455504
-20.046413,0.90475376,1.3336537,1,3,0,20.103053,0.88067565,-1.1335972,-3.9737191,-1.1335972,-0.53569616,-1.1335972,-1.1335972,-1.5286824,-1.9659206,-1.5608818,-1.4411725,2,6,3,8,2,3,5,8,3,5,1,8,2,8,1,2,6,5,4,4,-0.46121626,0.75243578
-20.046413,0.76355313,1.7272097,1,1,0,20.048416,0.88067565,-1.1335972,-3.9737191,-1.1335972,-0.53569616,-1.1335972,-1.1335972,-1.5286824,-1.9659206,-1.5608818,-1.4411725,1,7,2,8,3,3,5,6,5,4,3,8,1,8,4,2,2,4,5,1,-0.46121626,0.43317016
-19.897396,1,1.6051114,1,1,0,19.901301,0.73592718,-1.3423375,-3.6124785,-1.3423375,-0.82389062,-1.3423375,-1.3423375,-1.5258748,-2.2002707,-1.6390475,-1.4501747,4,6,2,8,5,3,5,7,5,2,2,6,3,8,3,1,4,5,3,1,0.15360499,0.39630418
-19.897396,0.075181189,2.5785615,1,1,0,19.898105,0.73592718,-1.3423375,-3.6124785,-1.3423375,-0.82389062,-1.3423375,-1.3423375,-1.5258748,-2.2002707,-1.6390475,-1.4501747,5,5,2,5,4,4,3,5,8,4,3,7,1,8,6,4,3,7,7,5,0.15360499,0.37381922
-19.87749,0.99921725,0.49233783,2,5,0,19.934779,0.8515042,-1.1751461,-3.8969508,-1.1751461,-0.59279596,-1.1751461,-1.1751461,-1.5265122,-2.0084558,-1.5751464,-1.4411454,1,5,3,8,1,4,2,5,5,1,1,7,1,7,1,3,4,7,4,3,-0.27619,0.93745277
-19.813636,1,0.79057443,1,1,0,19.863731,0.83084655,-1.204725,-3.8438582,-1.204725,-0.63352462,-1.204725,-1.204725,-1.5254691,-2.0399594,-1.5857045,-1.4417013,5,8,3,8,2,5,6,5,4,5,3,4,2,8,1,2,8,7,2,2,-0.17049967,0.29639784
-19.922996,0.96919882,1.264112,1,3,0,19.923293,0.72856549,-1.3531293,-3.5953457,-1.3531293,-0.83888171,-1.3531293,-1.3531293,-1.5262599,-2.213826,-1.6435145,-1.451227,3,2,1,6,7,4,6,7,3,5,7,8,2,8,2,4,7,8,4,6,0.17104732,0.26698347
-19.922996,0.11825148,1.8747007,1,1,0,20.189813,0.72856549,-1.3531293,-3.5953457,-1.3531293,-0.83888171,-1.3531293,-1.3531293,-1.5262599,-2.213826,-1.6435145,-1.451227,2,4,1,4,1,6,2,8,7,7,2,4,1,7,3,2,4,7,5,4,0.17104732,0.39335749
-19.897983,1,0.41130961,1,1,0,19.922687,0.7357506,-1.3425961,-3.6120663,-1.3425961,-0.82424979,-1.3425961,-1.3425961,-1.5258835,-2.2005939,-1.6391541,-1.4501993,2,5,4,6,4,5,5,8,6,5,1,8,4,6,2,2,8,7,3,4,0.15403346,0.41912302
-19.786705,1,0.65450701,2,3,0,19.878426,0.8122426,-1.2314753,-3.7969134,-1.2314753,-0.67041544,-1.2314753,-1.2314753,-1.5248779,-2.0693362,-1.5955357,-1.442603,3,7,1,8,4,1,7,7,3,5,4,8,2,8,5,2,2,5,6,4,-0.088801321,0.86849827
-19.793078,0.97798402,1.0356438,2,3,0,19.841312,0.78195151,-1.2752596,-3.722179,-1.2752596,-0.73091579,-1.2752596,-1.2752596,-1.5246174,-2.1192605,-1.6121951,-1.4448713,2,8,1,7,2,4,6,5,4,5,2,6,1,7,3,4,5,5,6,1,0.022759113,0.51283816
-20.162077,0.65484567,1.5526838,1,1,0,20.338294,0.67675213,-1.42958,-3.4778384,-1.42958,-0.94534649,-1.42958,-1.42958,-1.5303973,-2.3141192,-1.6762917,-1.4601922,3,4,6,8,3,3,6,8,4,3,2,2,6,6,2,1,2,4,2,1,0.27197342,0.25335315
-20.575898,0.72177213,1.1426788,2,3,0,20.917259,0.92435563,-1.0718601,-4.0928039,-1.0718601,-0.45108856,-1.0718601,-1.0718601,-1.5334727,-1.9063721,-1.5409434,-1.4430355,3,4,1,6,2,6,4,7,7,3,1,7,2,7,2,1,7,8,3,3,-0.86861123,0.10517518
-21.513428,0.99604783,0.97608266,2,3,0,22.324615,0.50875915,-1.683639,-3.1305743,-1.683639,-1.3025972,-1.683639,-1.683639,-1.5608616,-2.7056637,-1.7986656,-1.507307,3,7,1,7,5,5,4,7,4,4,1,7,3,5,4,3,6,7,5,6,0.40515817,0.67058088
-21.513428,0.33569496,1.5113103,1,3,0,21.548134,0.50875915,-1.683639,-3.1305743,-1.683639,-1.3025972,-1.683639,-1.683639,-1.5608616,-2.7056637,-1.7986656,-1.507307,5,6,3,7,2,7,6,7,3,2,4,6,3,7,7,2,5,8,2,2,0.40515817,0.60612432
-21.726662,0.97192205,0.56295063,1,1,0,21.922355,0.48873204,-1.7145813,-3.0923041,-1.7145813,-1.3464827,-1.7145813,-1.7145813,-1.5662253,-2.7601183,-1.8149028,-1.5146988,5,6,1,8,5,5,2,8,8,5,2,5,4,8,2,7,2,8,4,7,0.40495711,0.36436336
