# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 07:47:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c38ee782b.json
# init = 2 (Default)
# random
#   seed = 956705725
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605110947-2-4e7bb9.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605110947-2-557200.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-27.636749,9.1440192e-16,4,1,1,0,27.819023,0.14317925,-2.2724627,-2.5199969,-2.2724627,-2.1529693,-2.2724627,-2.2724627,-1.7177286,-4.1089008,-2.1521548,-1.6987791,3,7,1,8,1,1,7,4,2,2,3,6,4,4,3,4,7,5,5,6,-0.306425,0.91520337
-27.636749,0.087942067,2.3350648,1,3,0,27.650455,0.14317925,-2.2724627,-2.5199969,-2.2724627,-2.1529693,-2.2724627,-2.2724627,-1.7177286,-4.1089008,-2.1521548,-1.6987791,2,4,5,8,2,2,2,6,3,6,3,4,4,6,4,5,2,8,7,7,-0.306425,0.83121928
-27.474053,0.99629806,0.28326579,2,3,0,28.00693,0.14919368,-2.2623403,-2.5286747,-2.2623403,-2.1380627,-2.2623403,-2.2623403,-1.7141156,-4.0756694,-2.1453293,-1.6946784,5,8,3,6,1,5,5,8,4,3,4,7,2,2,4,5,4,7,6,3,-0.27232124,0.24099468
-25.648518,0.99795098,0.30013835,1,3,0,28.232795,0.22792699,-2.1312392,-2.6461815,-2.1312392,-1.9459529,-2.1312392,-2.1312392,-1.6700807,-3.6834342,-2.0591953,-1.6439042,4,6,1,6,6,5,5,7,6,2,1,6,3,6,3,2,5,8,3,4,0.054353386,0.58960247
-24.312587,1,0.41018188,4,15,0,25.588361,0.99107618,-0.97863794,-4.2850907,-0.97863794,-0.32385848,-0.97863794,-0.97863794,-1.5444124,-1.8245994,-1.5138145,-1.4502696,5,7,1,5,1,5,6,8,7,3,5,8,1,8,4,3,5,6,1,6,-2.9362354,0.23109804
-24.713222,0.99890474,0.64804681,2,3,0,24.759434,0.99274245,-0.97632627,-4.2900648,-0.97632627,-0.32071143,-0.97632627,-0.97632627,-1.5447424,-1.8226949,-1.513189,-1.4505204,2,5,1,4,1,2,2,6,5,2,1,3,2,8,2,2,8,4,3,2,-3.1412376,0.32391553
-23.987443,1,1.1067188,1,1,0,24.957672,0.98943462,-0.98091611,-4.2801988,-0.98091611,-0.3269603,-0.98091611,-0.98091611,-1.54409,-1.826482,-1.5144333,-1.4500258,3,5,3,8,4,1,3,8,2,4,1,8,3,8,1,3,6,6,2,4,-2.7690347,0.44795234
-23.500177,1,1.988576,1,1,0,25.476979,0.98635958,-0.98518574,-4.271058,-0.98518574,-0.33277456,-0.98518574,-0.98518574,-1.5434933,-1.830026,-1.5155989,-1.4495784,2,7,1,8,3,2,3,7,6,4,2,8,4,8,1,3,4,6,3,3,-2.5166928,0.67770467
-23.500177,6.8239818e-05,3.6706399,2,5,1,23.60211,0.98635958,-0.98518574,-4.271058,-0.98518574,-0.33277456,-0.98518574,-0.98518574,-1.5434933,-1.830026,-1.5155989,-1.4495784,3,8,2,4,2,2,2,6,2,2,1,7,2,8,2,3,7,7,8,3,-2.5166928,0.7389492
-21.843883,0.99947648,0.29212281,2,5,0,24.040912,0.96621269,-1.0132265,-4.2118902,-1.0132265,-0.37099209,-1.0132265,-1.0132265,-1.5398185,-1.8538056,-1.5234504,-1.4469379,6,8,3,8,2,2,6,8,5,7,2,5,1,6,2,4,8,7,1,4,-1.6302817,0.47777976
-22.288359,0.99024661,0.54624661,1,1,0,22.28836,0.9737392,-1.0027373,-4.2338493,-1.0027373,-0.35668949,-1.0027373,-1.0027373,-1.5411439,-1.8448078,-1.5204738,-1.4478655,1,7,3,5,3,2,6,5,4,5,3,8,3,7,2,6,3,5,6,2,-1.8745303,0.37302395
-19.886288,1,0.99954358,2,3,0,21.460171,0.73934374,-1.3373349,-3.6204679,-1.3373349,-0.81694453,-1.3373349,-1.3373349,-1.5257133,-2.1940368,-1.6369905,-1.4497052,3,6,6,8,2,4,4,4,2,4,1,5,3,6,2,2,6,8,5,2,0.14521439,0.35502386
-19.886288,0.0010957812,1.8894992,1,1,0,21.706259,0.73934374,-1.3373349,-3.6204679,-1.3373349,-0.81694453,-1.3373349,-1.3373349,-1.5257133,-2.1940368,-1.6369905,-1.4497052,2,7,3,5,6,1,8,7,3,6,3,8,3,8,4,1,5,8,4,5,0.14521439,0.47429419
-19.885023,0.99993112,0.15550206,2,3,0,19.896456,0.73974297,-1.3367506,-3.621403,-1.3367506,-0.81613334,-1.3367506,-1.3367506,-1.5256952,-2.1933107,-1.6367508,-1.4496512,2,3,2,5,3,3,3,8,3,3,3,8,1,6,2,1,1,6,3,5,0.14422141,0.27154517
-19.829775,0.99905733,0.29675726,1,3,0,19.921172,0.76016602,-1.3069271,-3.6696881,-1.3069271,-0.77476552,-1.3069271,-1.3069271,-1.5249649,-2.1568146,-1.6246745,-1.4471057,2,7,2,5,5,3,7,8,2,2,1,4,1,6,1,2,6,4,5,3,0.08973269,0.61061566
-19.796283,0.99970511,0.56219599,2,3,0,19.835077,0.77924736,-1.2791823,-3.7156072,-1.2791823,-0.73634324,-1.2791823,-1.2791823,-1.5246363,-2.123846,-1.6137215,-1.4451214,2,6,3,6,3,5,2,8,7,2,1,8,1,8,1,6,4,5,6,2,0.031620247,0.55013874
-21.918599,0.55781791,1.0602586,2,3,0,22.20352,0.96763511,-1.0112429,-4.2160271,-1.0112429,-0.36828675,-1.0112429,-1.0112429,-1.5400647,-1.8520946,-1.5228839,-1.4471079,2,6,1,6,2,3,5,6,3,5,2,8,1,8,1,1,6,8,2,3,-1.6718218,0.90466139
-20.659494,1,0.51450967,2,3,0,21.871621,0.9288023,-1.0656069,-4.1052174,-1.0656069,-0.44253443,-1.0656069,-1.0656069,-1.5340648,-1.9005818,-1.5390098,-1.4433504,1,8,6,5,1,3,7,7,3,3,2,6,4,7,5,3,5,6,6,3,-0.92439471,0.56596537
-21.718797,0.87595426,0.9651904,1,1,0,21.720598,0.96366484,-1.016781,-4.2044953,-1.016781,-0.37584059,-1.016781,-1.016781,-1.5393827,-1.8568826,-1.5244697,-1.4466397,1,7,4,7,3,1,6,6,5,2,2,8,2,8,1,3,6,8,2,4,-1.5602218,0.80657896
-19.782815,0.9791452,1.2357306,2,3,0,20.95499,0.80438842,-1.2428007,-3.7773358,-1.2428007,-0.68605061,-1.2428007,-1.2428007,-1.524727,-2.0820296,-1.5997778,-1.4430966,3,7,4,7,4,4,4,6,3,5,3,6,1,7,1,4,3,4,4,2,-0.057537881,0.31472123
