# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 07:47:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c12918bb8.json
# init = 2 (Default)
# random
#   seed = 258255111
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605110947-2-5ee9ab.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605110947-2-6298ba.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-19.814327,1,1,2,3,0,19.958529,0.8311629,-1.2042711,-3.8446636,-1.2042711,-0.63289905,-1.2042711,-1.2042711,-1.525482,-2.0394681,-1.58554,-1.4416892,4,6,1,6,1,1,2,7,6,2,4,4,2,6,3,1,3,6,5,3,-0.17199092,0.46681546
-19.814327,1.1998097e-62,14.38551,1,1,0,19.819802,0.8311629,-1.2042711,-3.8446636,-1.2042711,-0.63289905,-1.2042711,-1.2042711,-1.525482,-2.0394681,-1.58554,-1.4416892,4,7,3,6,4,4,3,7,4,2,1,5,1,8,2,2,4,8,2,3,-0.17199092,0.30776722
-19.814327,0.07979637,2.4311673,1,1,0,20.517386,0.8311629,-1.2042711,-3.8446636,-1.2042711,-0.63289905,-1.2042711,-1.2042711,-1.525482,-2.0394681,-1.58554,-1.4416892,1,8,2,8,2,1,3,7,4,2,1,8,1,7,1,4,4,6,2,6,-0.17199092,0.86411994
-19.841906,0.99741371,0.29660529,3,7,0,19.958327,0.84158286,-1.1893359,-3.8713231,-1.1893359,-0.61232627,-1.1893359,-1.1893359,-1.5259603,-2.0234411,-1.5801701,-1.4413534,5,8,1,5,1,2,2,5,6,3,2,8,1,8,3,5,5,3,3,3,-0.22323492,0.86185495
-19.798646,0.99899904,0.40438572,1,3,0,19.870537,0.82272646,-1.2163876,-3.8232684,-1.2163876,-0.64960163,-1.2163876,-1.2163876,-1.5251706,-2.0526631,-1.589958,-1.4420484,4,5,3,6,7,3,5,5,2,1,4,7,1,8,3,1,2,7,6,5,-0.13343337,0.46292948
-19.816373,0.9897347,0.63659147,1,3,0,19.910452,0.76662523,-1.2975224,-3.6851438,-1.2975224,-0.76173473,-1.2975224,-1.2975224,-1.5248154,-2.1455336,-1.6209311,-1.4463911,2,7,3,6,4,7,4,7,6,5,3,4,1,7,2,1,5,3,1,4,0.070892595,0.11533751
-21.102559,0.5678985,1.0565472,2,3,0,21.440042,0.94713245,-1.0398909,-4.156978,-1.0398909,-0.40738606,-1.0398909,-1.0398909,-1.5367111,-1.8772324,-1.5312275,-1.4448971,4,7,2,7,4,2,2,4,5,3,1,6,3,7,3,2,8,6,3,5,-1.2025224,0.22191499
-20.548397,0.99617505,0.49424485,2,5,0,21.458282,0.6171706,-1.5185856,-3.349042,-1.5185856,-1.0698903,-1.5185856,-1.5185856,-1.538228,-2.440666,-1.7168749,-1.4738022,1,8,1,7,4,1,5,6,7,4,1,8,1,5,2,3,7,4,3,1,0.34898385,0.84432329
-20.821909,0.89686529,0.88937454,1,1,0,21.097923,0.5824812,-1.5709569,-3.2769882,-1.5709569,-1.1434783,-1.5709569,-1.5709569,-1.5442945,-2.520311,-1.7419283,-1.4833128,3,8,4,7,3,2,7,6,5,5,3,6,3,8,2,2,5,8,5,4,0.3778754,0.74508694
-19.808519,1,1.1935731,2,3,0,20.222051,0.77097463,-1.291197,-3.6956019,-1.291197,-0.7529744,-1.291197,-1.291197,-1.5247368,-2.1380073,-1.618431,-1.4459346,2,8,3,6,1,2,5,8,5,2,1,6,5,7,3,2,4,8,4,3,0.057737157,0.79870942
