# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 07:47:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c54a659e7.json
# init = 2 (Default)
# random
#   seed = 1580797308
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605110947-2-645fd6.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605110947-2-18a56f.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-19.795595,0.21630995,2,1,1,0,20.323523,0.82061852,-1.2194185,-3.8179487,-1.2194185,-0.65378142,-1.2194185,-1.2194185,-1.5251033,-2.0559908,-1.5910717,-1.4421503,3,6,3,5,5,5,2,7,2,5,5,6,2,8,1,1,8,8,4,3,-0.12417805,0.47854324
-19.795595,4.5798956e-08,3.4602141,1,1,0,21.209823,0.82061852,-1.2194185,-3.8179487,-1.2194185,-0.65378142,-1.2194185,-1.2194185,-1.5251033,-2.0559908,-1.5910717,-1.4421503,1,7,3,6,3,3,4,8,3,5,6,8,2,7,3,3,5,6,2,3,-0.12417805,0.57624692
-19.799401,0.99807948,0.38335128,3,7,0,19.873481,0.82321466,-1.2156859,-3.8245019,-1.2156859,-0.64863397,-1.2156859,-1.2156859,-1.5251867,-2.0518942,-1.5897007,-1.4420255,3,8,4,7,6,6,5,8,8,5,1,8,1,6,2,3,6,4,3,3,-0.13559787,0.22626206
-20.452773,0.9178129,0.42455929,2,5,0,22.043613,0.91698618,-1.0822364,-4.0723517,-1.0822364,-0.46528914,-1.0822364,-1.0822364,-1.532534,-1.9160778,-1.5441872,-1.4425652,5,7,3,5,2,4,3,6,5,5,3,8,1,8,1,2,4,7,4,1,-0.78365158,0.49430569
-21.845296,0.97111065,0.4731867,3,7,0,22.178393,0.47800985,-1.7312065,-3.0720693,-1.7312065,-1.370097,-1.7312065,-1.7312065,-1.5692486,-2.7900455,-1.8237413,-1.5188079,3,5,4,7,1,3,5,8,4,3,1,3,3,7,4,4,6,7,3,6,0.40352897,0.65432041
-21.303201,1,0.69016889,1,1,0,21.956446,0.52958164,-1.6516192,-3.1710328,-1.6516192,-1.2572712,-1.6516192,-1.6516192,-1.555676,-2.6509701,-1.7821577,-1.5000148,2,8,3,8,2,1,5,6,3,5,2,6,1,4,3,5,7,7,6,3,0.40195867,0.78129894
-19.797465,1,1.1846242,2,3,0,20.395809,0.77832684,-1.2805181,-3.7133738,-1.2805181,-0.73819178,-1.2805181,-1.2805181,-1.5246443,-2.1254118,-1.6142425,-1.4452083,3,6,3,7,1,1,2,7,7,3,4,7,3,6,3,3,4,5,5,2,0.034599483,0.34943261
-19.797465,0.11776823,2.1309611,1,1,0,20.012862,0.77832684,-1.2805181,-3.7133738,-1.2805181,-0.73819178,-1.2805181,-1.2805181,-1.5246443,-2.1254118,-1.6142425,-1.4452083,3,7,4,4,5,4,4,8,6,7,5,6,3,8,4,2,5,5,4,4,0.034599483,0.23860302
-19.816387,0.98586603,0.24600607,2,7,0,20.74304,0.83208371,-1.2029499,-3.847009,-1.2029499,-0.6310785,-1.2029499,-1.2029499,-1.5255201,-2.0380398,-1.5850616,-1.4416547,2,7,2,6,3,2,6,2,5,4,7,7,2,4,2,3,1,8,4,1,-0.17635247,0.8590368
-19.816387,0.97414749,0.43458191,1,3,0,20.30245,0.83208371,-1.2029499,-3.847009,-1.2029499,-0.6310785,-1.2029499,-1.2029499,-1.5255201,-2.0380398,-1.5850616,-1.4416547,3,7,4,8,3,3,4,4,3,3,4,7,2,8,1,2,5,7,4,2,-0.17635247,0.31465859
-21.230642,0.84118935,0.75049626,2,3,0,21.509065,0.53705048,-1.6401714,-3.1857138,-1.6401714,-1.2410875,-1.6401714,-1.6401714,-1.5539131,-2.6318145,-1.7763292,-1.4974974,5,3,5,4,2,1,4,8,6,3,6,5,3,7,1,1,5,5,2,5,0.39995903,0.44893466
-20.195109,1,0.85729046,1,1,0,20.915129,0.6708895,-1.4382856,-3.4648723,-1.4382856,-0.9574995,-1.4382856,-1.4382856,-1.5310223,-2.3260232,-1.6801478,-1.4613763,3,7,4,5,5,4,3,5,3,1,3,5,3,8,2,3,5,4,5,3,0.28124692,0.35715816
-19.838881,1,1.6213383,1,1,0,19.8722,0.84059589,-1.1907491,-3.8687867,-1.1907491,-0.61427222,-1.1907491,-1.1907491,-1.5259105,-2.0249464,-1.5806746,-1.4413801,3,7,1,6,1,3,2,7,6,1,1,8,4,8,5,4,5,6,2,3,-0.21819751,0.82801029
-20.016716,0.14866771,3.0597917,1,3,0,20.711871,0.70560917,-1.3868938,-3.5426271,-1.3868938,-0.8858444,-1.3868938,-1.3868938,-1.5277852,-2.2571906,-1.6577478,-1.4548643,5,4,6,3,5,5,2,6,7,4,1,7,3,7,3,2,6,5,3,3,0.22021865,0.19452919
-20.63391,0.96399727,0.40412286,2,3,0,20.646633,0.60584726,-1.5356356,-3.3252915,-1.5356356,-1.0938225,-1.5356356,-1.5356356,-1.5400865,-2.4661618,-1.7249374,-1.4767798,4,5,3,7,4,1,4,6,4,6,2,7,3,7,3,3,2,7,3,3,0.35961532,0.76479756
-20.078729,1,0.68545179,2,3,0,20.503807,0.69257749,-1.406137,-3.5131679,-1.406137,-0.91265017,-1.406137,-1.406137,-1.5288691,-2.28256,-1.6660323,-1.4571668,3,8,3,4,3,1,3,8,5,5,1,5,2,8,2,2,4,7,6,4,0.2448921,0.12337124
-20.426785,0.51074784,1.2921075,2,3,0,20.770423,0.63420985,-1.4930105,-3.3852115,-1.4930105,-1.0340371,-1.4930105,-1.4930105,-1.535654,-2.4031906,-1.704953,-1.4695554,7,6,2,7,5,4,5,8,6,2,3,5,1,5,3,2,3,7,3,3,0.33068861,0.21834045
-19.83861,1,0.54226427,2,5,0,20.444209,0.84050605,-1.1908777,-3.8685559,-1.1908777,-0.61444939,-1.1908777,-1.1908777,-1.525906,-2.0250836,-1.5807206,-1.4413826,1,4,2,6,4,4,2,8,4,5,1,6,1,7,1,1,4,5,4,5,-0.21774092,0.29980129
-19.83861,0.95738232,1.0168419,1,1,0,19.934462,0.84050605,-1.1908777,-3.8685559,-1.1908777,-0.61444939,-1.1908777,-1.1908777,-1.525906,-2.0250836,-1.5807206,-1.4413826,4,8,5,5,1,3,6,8,7,4,3,8,2,8,4,2,2,5,3,3,-0.21774092,0.30201273
-20.910445,0.48955268,1.6622289,1,1,0,21.044912,0.94008926,-1.0497604,-4.1369762,-1.0497604,-0.42086992,-1.0497604,-1.0497604,-1.5356551,-1.8861057,-1.5341818,-1.4442552,2,8,2,5,2,1,7,7,3,5,1,5,2,8,2,3,5,8,6,4,-1.0849205,0.32304387
-20.829094,1,0.66853682,1,1,0,20.979485,0.9367245,-1.0544805,-4.1274708,-1.0544805,-0.4273211,-1.0544805,-1.0544805,-1.5351679,-1.8903881,-1.535609,-1.4439695,3,4,4,5,4,3,5,8,7,5,1,8,5,8,2,1,7,5,3,2,-1.0338636,0.59201493
