# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 07:47:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c137b967.json
# init = 2 (Default)
# random
#   seed = 68938072
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605110947-2-822c7d.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605110947-2-0d30a0.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-22.415312,0.58382273,2,1,1,0,22.78565,0.43001239,-1.8061409,-2.9836071,-1.8061409,-1.4768376,-1.8061409,-1.8061409,-1.5840816,-2.9310171,-1.864554,-1.5384866,4,6,8,7,5,5,7,4,2,2,5,6,3,8,1,2,4,8,2,5,0.38567756,0.33854906
-22.415312,0,6.7499528,0,1,1,23.068612,0.43001239,-1.8061409,-2.9836071,-1.8061409,-1.4768376,-1.8061409,-1.8061409,-1.5840816,-2.9310171,-1.864554,-1.5384866,3,7,4,4,1,3,4,6,5,3,4,8,1,2,3,1,6,7,5,5,0.38567756,0.59227859
-21.050936,1,0.9115875,1,1,0,22.299387,0.55626142,-1.6108156,-3.2238925,-1.6108156,-1.199639,-1.6108156,-1.6108156,-1.5496143,-2.5836306,-1.761562,-1.491262,4,7,3,7,5,6,4,7,5,3,1,7,2,6,6,3,4,3,4,5,0.39272288,0.63437601
-19.825298,1,1.136238,1,1,0,20.356881,0.83574888,-1.1976938,-3.8563647,-1.1976938,-0.62383694,-1.1976938,-1.1976938,-1.5256797,-2.0323778,-1.5831648,-1.4415267,3,8,4,8,5,2,6,7,4,4,3,4,2,8,1,2,6,5,3,3,-0.19402645,0.70069867
-19.901761,0.90680554,1.7195775,1,1,0,19.924301,0.73462472,-1.3442455,-3.6094392,-1.3442455,-0.82654047,-1.3442455,-1.3442455,-1.5259393,-2.2026567,-1.6398344,-1.4503568,3,4,6,6,3,5,2,6,6,3,2,6,5,8,1,2,3,7,7,1,0.15675367,0.12408181
-19.901761,0.13558707,2.1900668,1,1,0,19.943466,0.73462472,-1.3442455,-3.6094392,-1.3442455,-0.82654047,-1.3442455,-1.3442455,-1.5259393,-2.2026567,-1.6398344,-1.4503568,2,5,1,7,6,2,5,4,5,4,2,8,1,7,1,3,7,5,5,1,0.15675367,0.47625852
-19.793928,0.99998741,0.27489069,3,7,0,19.903604,0.78120078,-1.2763484,-3.7203529,-1.2763484,-0.73242213,-1.2763484,-1.2763484,-1.524622,-2.1205314,-1.6126182,-1.44494,3,3,2,5,1,4,2,8,5,3,2,5,1,7,3,4,7,7,2,2,0.025235617,0.03074999
-21.228009,0.90569284,0.48263069,2,7,0,21.245214,0.53732447,-1.6397518,-3.1862541,-1.6397518,-1.2404945,-1.6397518,-1.6397518,-1.5538494,-2.6311163,-1.7761163,-1.497406,1,7,2,7,2,4,5,7,3,6,6,8,1,8,2,2,6,6,5,7,0.39987706,0.35585088
-19.797856,1,0.65337513,3,7,0,21.338906,0.7780299,-1.2809491,-3.7126537,-1.2809491,-0.7387882,-1.2809491,-1.2809491,-1.524647,-2.1259174,-1.6144108,-1.4452366,1,5,6,7,3,4,5,7,5,1,7,6,1,8,5,2,6,5,5,3,0.03555656,0.61991059
-19.797856,0.25380628,1.2126181,2,3,0,21.272473,0.7780299,-1.2809491,-3.7126537,-1.2809491,-0.7387882,-1.2809491,-1.2809491,-1.524647,-2.1259174,-1.6144108,-1.4452366,6,4,1,7,2,5,5,8,6,5,2,8,2,6,1,2,4,8,3,1,0.03555656,0.30460305
