# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:24:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c704a21b6.json
# init = 2 (Default)
# random
#   seed = 1117928934
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111024-1-38af09.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111024-1-7fe2ff.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-21.333098,0.41072017,2,2,3,0,21.3627,0.73909398,-1.4760337,-1.6371405,-1.5296847,-1.4414241,-3.619883,-2.4709617,-1.5746732,-1.4414241,-1.305849,-1.5441736,4,6,3,7,8,5,7,6,8,2,7,6,2,8,6,6,8,8,6,2,0.14583426,0.54228718
-21.333098,3.0700223e-17,4.9273611,1,3,0,21.549796,0.73909398,-1.4760337,-1.6371405,-1.5296847,-1.4414241,-3.619883,-2.4709617,-1.5746732,-1.4414241,-1.305849,-1.5441736,2,3,3,3,8,2,5,8,4,3,3,4,4,7,7,3,6,5,7,1,0.14583426,0.5056772
-21.119083,1,0.60618239,1,1,0,21.388364,0.71626791,-1.4856929,-1.651082,-1.5185142,-1.4431211,-3.5669725,-2.4236707,-1.5643811,-1.4431211,-1.272678,-1.5629975,5,3,2,6,8,1,7,5,8,6,3,3,5,8,7,6,8,7,6,7,0.19833363,0.56514596
-20.253942,0.93462732,0.71638145,2,3,0,21.944577,0.39662018,-1.7328165,-1.8941578,-1.4415962,-1.6393404,-2.9240447,-1.8865726,-1.54199,-1.6393404,-0.82458353,-1.8695301,3,4,4,7,8,7,5,4,8,3,6,4,2,8,8,5,2,6,8,4,0.36177489,0.54301517
-20.449812,0.92911475,0.86998506,1,1,0,20.482986,0.34800257,-1.7881212,-1.9390511,-1.4412063,-1.7057937,-2.8401141,-1.8237526,-1.557517,-1.7057937,-0.75896797,-1.9229736,6,6,2,7,6,2,2,7,7,4,2,6,1,5,6,4,4,8,8,2,0.3084994,0.27047006
-20.86204,0.59281919,1.1496406,2,3,0,21.280843,0.6845904,-1.5009362,-1.6711829,-1.5044154,-1.4477859,-3.4952766,-2.360165,-1.5521232,-1.4477859,-1.226914,-1.5898191,5,5,4,4,7,7,3,3,5,1,3,4,2,3,6,3,4,4,7,3,0.25894172,0.81049918
-20.353177,0.91231729,0.5750659,1,3,0,22.357369,0.3690555,-1.7636013,-1.9193489,-1.4410467,-1.6754721,-2.8760602,-1.8503752,-1.5501932,-1.6754721,-0.78730323,-1.8996129,3,6,1,7,3,5,6,6,7,2,7,5,4,8,6,4,3,7,8,7,0.33441385,0.71280018
-20.618351,0.97748533,0.77799449,2,3,0,20.620005,0.64809981,-1.5210981,-1.6954218,-1.4901166,-1.4566279,-3.4150848,-2.2899878,-1.5408593,-1.4566279,-1.1745804,-1.6217097,4,7,1,6,7,5,4,7,3,5,5,6,5,5,8,1,7,4,8,4,0.31364121,0.62743173
-20.305272,1,1.3259049,1,1,0,20.608313,0.5816832,-1.5647913,-1.742517,-1.4691366,-1.4829204,-3.2753551,-2.1701435,-1.5279935,-1.4829204,-1.0803617,-1.6824416,4,3,2,6,7,2,7,6,8,4,4,2,2,7,6,2,2,8,8,5,0.37841392,0.69842893
-20.305272,0.00057728683,2.469222,1,1,0,20.476733,0.5816832,-1.5647913,-1.742517,-1.4691366,-1.4829204,-3.2753551,-2.1701435,-1.5279935,-1.4829204,-1.0803617,-1.6824416,7,5,5,8,7,5,6,6,7,4,2,8,3,7,6,1,7,3,6,4,0.37841392,0.5963526
