# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:25:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c491786b0.json
# init = 2 (Default)
# random
#   seed = 1625513065
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111025-1-8a590c.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111025-1-7fc52b.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-22.136985,0.24417033,2,1,3,0,22.173541,0.17439353,-2.0241638,-2.117113,-1.4606645,-2.0723507,-2.5654887,-1.6375518,-1.65308,-2.0723507,-0.5297305,-2.1283356,2,6,2,6,7,6,7,8,7,1,5,3,1,7,4,6,6,8,8,1,-0.14631845,0.78808569
-22.136985,3.0586875e-05,3.6400073,2,7,0,24.474841,0.17439353,-2.0241638,-2.117113,-1.4606645,-2.0723507,-2.5654887,-1.6375518,-1.65308,-2.0723507,-0.5297305,-2.1283356,3,4,3,6,4,6,6,5,8,6,5,8,4,6,6,3,2,8,8,4,-0.14631845,0.594461
-22.46223,0.99258715,0.40939944,1,1,0,22.472787,0.15524793,-2.0539827,-2.1384941,-1.4647024,-2.1296273,-2.537452,-1.6206411,-1.6675154,-2.1296273,-0.50491957,-2.1523799,7,3,3,6,7,6,4,8,7,6,4,5,5,8,7,5,3,8,7,2,-0.23968455,0.27649653
-22.065191,1,0.45067075,1,1,0,22.462878,0.17895784,-2.0171688,-2.1120681,-1.4597555,-2.0593217,-2.5722358,-1.6416898,-1.6497548,-2.0593217,-0.53565888,-2.1226447,2,5,1,6,8,2,3,8,4,7,5,5,4,8,7,6,6,6,8,6,-0.12602639,0.43813898
-20.141626,1,0.63797958,2,3,0,21.737732,0.45251438,-1.6749704,-1.8451658,-1.4454279,-1.5773582,-3.0246537,-1.9646894,-1.5301894,-1.5773582,-0.90081715,-1.8102859,3,1,5,6,7,3,8,6,8,4,4,5,4,8,7,3,4,7,8,2,0.39640465,0.34878472
-20.528064,0.81042521,1.027498,1,1,0,20.540743,0.33338684,-1.8056587,-1.9529658,-1.4416075,-1.7283221,-2.8155103,-1.8057887,-1.5631407,-1.7283221,-0.73936628,-1.9393874,3,1,4,4,7,3,4,8,7,4,7,6,4,4,3,3,5,8,8,4,0.28776231,0.72181494
-20.149717,0.39127742,0.99765864,2,3,0,22.603408,0.51595792,-1.6167377,-1.7929154,-1.4543819,-1.523202,-3.1444838,-2.061166,-1.5246934,-1.523202,-0.98840534,-1.7459022,4,6,3,6,6,4,7,7,5,3,6,5,2,8,7,5,3,6,7,4,0.40444597,0.7407153
-20.135815,0.99966399,0.2690696,1,3,0,20.163317,0.50186839,-1.6289865,-1.8042125,-1.4519565,-1.5338599,-3.1173361,-2.0390116,-1.5251832,-1.5338599,-0.96885514,-1.7599364,1,2,4,7,4,6,6,6,8,1,5,4,1,6,5,2,5,7,6,5,0.40545114,0.33004787
-20.159992,0.98911652,0.48665342,1,3,0,20.255961,0.43783947,-1.6895648,-1.857759,-1.4440627,-1.5922549,-2.9978006,-1.9435631,-1.5326594,-1.5922549,-0.88071856,-1.8256123,3,6,3,8,8,2,5,7,8,4,3,5,3,6,5,3,5,6,8,7,0.3898887,0.42911372
-20.159992,0.29738681,0.87143754,2,3,0,22.709011,0.43783947,-1.6895648,-1.857759,-1.4440627,-1.5922549,-2.9978006,-1.9435631,-1.5326594,-1.5922549,-0.88071856,-1.8256123,3,4,3,7,8,2,6,6,7,3,3,4,2,1,8,5,5,6,7,4,0.3898887,0.84286985
