# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:25:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c6dec3310.json
# init = 2 (Default)
# random
#   seed = 1691744057
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111025-2-2d033a.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111025-2-0b13a4.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-22.273896,0.33548497,2,1,3,0,22.527102,0.1660417,-2.0370766,-2.1263964,-1.4623813,-2.0968035,-2.5532059,-1.6300862,-1.6592801,-2.0968035,-0.51889611,-2.13879,3,4,2,8,6,6,6,7,8,1,3,5,5,8,1,6,2,8,7,5,-0.18532873,0.42887806
-22.273896,5.7433609e-16,4.2974091,1,1,0,22.316028,0.1660417,-2.0370766,-2.1263964,-1.4623813,-2.0968035,-2.5532059,-1.6300862,-1.6592801,-2.0968035,-0.51889611,-2.13879,5,6,4,7,6,3,7,8,5,4,3,6,5,8,6,5,2,7,6,2,-0.18532873,0.41607439
-20.130551,0.96123175,0.50767925,1,3,0,24.496046,0.46809291,-1.6599392,-1.8320064,-1.4471631,-1.5625546,-3.05351,-1.9876019,-1.5280584,-1.5625546,-0.92221913,-1.7941938,2,2,7,6,6,2,5,5,8,2,2,4,3,7,6,4,2,5,8,1,0.40138454,0.75310709
-20.147101,0.99352192,0.52870389,2,3,0,20.190615,0.44743869,-1.6799705,-1.8494999,-1.4449263,-1.5824044,-3.01533,-1.9573323,-1.530993,-1.5824044,-0.89385876,-1.8155685,4,3,4,7,6,5,5,7,8,5,6,5,3,8,6,6,5,7,8,1,0.39435283,0.57315002
-20.131703,0.99508218,0.74324236,2,3,0,20.177102,0.49534321,-1.6347916,-1.8095036,-1.450919,-1.5390524,-3.1048686,-2.0288934,-1.5255519,-1.5390524,-0.95982019,-1.7664872,7,3,1,6,6,2,5,6,5,4,4,7,2,5,7,3,4,8,5,2,0.40537836,0.46516744
-20.131703,0.37144957,1.1874681,1,1,0,20.79663,0.49534321,-1.6347916,-1.8095036,-1.450919,-1.5390524,-3.1048686,-2.0288934,-1.5255519,-1.5390524,-0.95982019,-1.7664872,5,7,5,8,7,7,6,8,6,2,6,5,1,5,3,2,8,7,7,1,0.40537836,0.55983686
-20.725213,0.97161108,0.30184959,2,7,0,21.046842,0.66510043,-1.5113614,-1.6839848,-1.4965252,-1.4520351,-3.452133,-2.3222919,-1.5457308,-1.4520351,-1.1989114,-1.6067207,5,3,1,5,8,5,4,3,7,2,5,3,5,7,8,3,5,4,8,5,0.29001766,0.76947344
-21.894428,0.96441087,0.4859148,3,7,0,21.965617,0.78870643,-1.4589564,-1.6084102,-1.5570311,-1.4423397,-3.738666,-2.5783202,-1.6013755,-1.4423397,-1.3785172,-1.504736,3,6,1,5,8,4,6,7,7,5,3,2,2,6,7,6,4,6,4,4,-0.00010843812,0.50795973
-21.117034,1,0.79118468,1,1,0,21.843025,0.71603571,-1.4857969,-1.6512262,-1.5184049,-1.4431455,-3.5664397,-2.4231963,-1.5642827,-1.4431455,-1.2723414,-1.5631912,3,4,1,6,4,3,6,6,8,5,5,4,2,6,6,3,4,4,3,2,0.19882745,0.3490045
-20.249723,1,1.4697425,1,1,0,20.322624,0.39801185,-1.7313019,-1.8929041,-1.4416471,-1.6376185,-2.9264954,-1.8884406,-1.5416176,-1.6376185,-0.82647119,-1.8680265,3,4,1,8,8,5,2,8,8,3,2,1,5,5,4,4,5,4,6,1,0.36296845,0.25393485
