# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:25:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c2f2f719d.json
# init = 2 (Default)
# random
#   seed = 195440096
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111025-2-2e0a37.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111025-2-8afcb3.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-19.921132,0.33333334,4,1,3,0,20.21834,0.75189215,-1.53633,-1.5368573,-1.6597588,-1.53633,-1.6315417,-1.4485562,-1.6295229,-2.7322649,-1.2470704,-1.604792,5,7,3,5,6,1,4,8,2,6,7,4,5,1,5,1,3,7,2,2,0.11270534,0.40237428
-19.921132,0.0019394254,4.2806303,2,5,0,20.114986,0.75189215,-1.53633,-1.5368573,-1.6597588,-1.53633,-1.6315417,-1.4485562,-1.6295229,-2.7322649,-1.2470704,-1.604792,3,6,6,3,7,1,6,4,3,6,3,7,7,2,7,3,1,2,3,4,0.11270534,0.16900992
-19.924844,0.99981308,0.5074254,1,1,0,20.027529,0.75227635,-1.5365338,-1.5371678,-1.6599516,-1.5365338,-1.6317253,-1.4486049,-1.6292965,-2.732877,-1.2469537,-1.605014,5,8,4,2,5,2,6,5,7,6,7,6,7,1,8,2,3,5,2,3,0.11166648,0.46602365
-20.007685,0.99463096,0.58561964,1,1,0,20.113507,0.76066283,-1.5410461,-1.5439753,-1.6641968,-1.5410461,-1.6357752,-1.4497061,-1.6243852,-2.7462697,-1.2444545,-1.6099361,6,7,2,2,6,2,4,3,1,4,6,7,3,4,3,6,3,4,2,4,0.088312418,0.24154772
-20.982703,0.90645329,0.83198712,2,3,0,22.059325,0.83880775,-1.589179,-1.6101462,-1.7070143,-1.589179,-1.6775278,-1.4634099,-1.5815909,-2.8740702,-1.2257739,-1.662949,6,6,4,1,6,2,6,4,2,6,8,7,6,1,6,3,3,4,4,3,-0.20917181,0.62787851
-19.182529,1,1.0256067,1,1,0,20.554878,0.65480696,-1.4925929,-1.4623502,-1.6155108,-1.4925929,-1.5905288,-1.4412651,-1.6908796,-2.5816793,-1.2824332,-1.5585637,7,8,3,1,5,2,3,3,5,4,8,7,2,4,7,5,5,2,2,6,0.30469318,0.34991059
-19.182529,0.13931601,1.7792922,1,1,0,19.293208,0.65480696,-1.4925929,-1.4623502,-1.6155108,-1.4925929,-1.5905288,-1.4412651,-1.6908796,-2.5816793,-1.2824332,-1.5585637,7,6,3,1,3,4,1,4,6,4,5,2,6,4,6,7,4,4,5,1,0.30469318,0.65807237
-18.932962,0.9976059,0.22115391,3,11,0,19.634813,0.30844849,-1.4428331,-1.2677095,-1.5289612,-1.4428331,-1.5247977,-1.5073767,-1.9771582,-2.1070247,-1.4896138,-1.5546173,7,8,4,3,6,5,7,1,2,5,5,6,3,5,5,4,2,8,1,5,0.24674141,0.41649157
-18.961049,0.99952368,0.39666016,2,3,0,18.969118,0.30239776,-1.4432322,-1.2654377,-1.5284325,-1.4432322,-1.5246981,-1.5100129,-1.9831139,-2.0995629,-1.4942137,-1.5568762,5,8,4,5,7,2,3,3,6,6,6,6,4,4,5,1,3,1,2,5,0.23564124,0.54246919
-19.081596,0.98027253,0.73329479,1,1,0,19.116697,0.2792337,-1.4451227,-1.2571512,-1.5267231,-1.4451227,-1.5246364,-1.5206474,-2.0062262,-2.0712532,-1.5121082,-1.5663118,8,7,7,2,3,2,4,4,3,2,4,7,3,2,7,4,4,6,5,5,0.18861294,0.69550188
