# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:26:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c65fd19b6.json
# init = 2 (Default)
# random
#   seed = 863255442
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111026-1-11b5db.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111026-1-2db5e7.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-21.206452,0.17993536,4,2,5,0,21.576675,0.095765401,-1.4795346,-1.2170852,-1.5310352,-1.4795346,-1.5418405,-1.6386504,-2.2072076,-1.8613209,-1.6692776,-1.6879246,8,6,4,3,3,1,5,5,4,5,7,6,2,4,5,2,6,1,6,4,-0.65476079,0.27623623
-21.206452,6.0277716e-10,3.2387739,2,3,0,22.049425,0.095765401,-1.4795346,-1.2170852,-1.5310352,-1.4795346,-1.5418405,-1.6386504,-2.2072076,-1.8613209,-1.6692776,-1.6879246,7,6,6,5,3,3,7,7,1,5,8,7,4,3,8,3,7,4,3,8,-0.65476079,0.49430787
-21.417169,0.99880512,0.35185386,1,1,0,21.417678,0.086733097,-1.4820852,-1.2164291,-1.5320805,-1.4820852,-1.5434914,-1.6461952,-2.217948,-1.8516395,-1.6777033,-1.6962176,4,8,2,4,7,1,6,2,4,7,4,8,3,7,6,2,3,6,4,2,-0.74388737,0.095200034
-18.755709,0.99722466,0.38608517,2,7,0,22.05616,0.55410746,-1.4622435,-1.3937127,-1.5789387,-1.4622435,-1.5588602,-1.4447797,-1.7632016,-2.433834,-1.3304991,-1.5312484,4,5,3,2,5,1,6,4,2,8,7,8,6,5,7,2,1,4,6,8,0.39368553,0.42148019
-18.912735,0.95318649,0.53621031,2,3,0,19.324716,0.60006616,-1.4743134,-1.4239109,-1.5944621,-1.4743134,-1.5719795,-1.441721,-1.7290969,-2.500277,-1.3072079,-1.5411097,5,6,8,2,5,2,3,6,2,5,8,7,5,5,5,6,4,6,3,3,0.36458796,0.65846817
-19.219708,0.9409888,0.74543812,1,1,0,19.231001,0.66109807,-1.4949772,-1.4669358,-1.618109,-1.4949772,-1.5928682,-1.4414284,-1.6866547,-2.5911943,-1.279801,-1.5609667,7,4,5,4,4,5,2,6,4,6,3,8,5,2,4,2,5,5,5,7,0.29586188,0.43055222
-19.219708,0.36874313,1.0702108,1,3,0,22.001684,0.66109807,-1.4949772,-1.4669358,-1.618109,-1.4949772,-1.5928682,-1.4414284,-1.6866547,-2.5911943,-1.279801,-1.5609667,3,7,7,3,6,2,6,4,4,7,8,4,6,2,5,6,6,5,5,5,0.29586188,0.23685764
-19.678047,0.98874525,0.26939881,4,15,0,20.653282,0.20010949,-1.4558152,-1.2340114,-1.5246669,-1.4558152,-1.5282234,-1.5638002,-2.0889499,-1.9776101,-1.5765781,-1.6082343,7,8,6,4,3,2,8,5,2,4,8,7,5,5,7,1,6,4,3,4,-0.040411554,0.31811015
-18.868019,0.98889856,0.47081841,1,3,0,20.121521,0.32371789,-1.4420022,-1.2736363,-1.5304462,-1.4420022,-1.5252037,-1.5009801,-1.962278,-2.1259789,-1.4781439,-1.5492921,8,8,4,4,3,6,5,5,1,8,3,3,5,4,4,1,7,7,1,2,0.27273165,0.56558548
-18.998071,0.97010529,0.84236738,1,1,0,19.037577,0.29484,-1.4437861,-1.262662,-1.5278199,-1.4437861,-1.5246222,-1.5133875,-1.9906003,-2.0902815,-1.5000026,-1.559817,5,8,3,5,4,2,5,2,6,4,5,7,3,2,6,2,4,6,5,5,0.22110648,0.27952706
