# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:26:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c6497a103.json
# init = 2 (Default)
# random
#   seed = 876850995
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111026-1-2611b4.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111026-1-91b75f.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-21.148686,1.0003646e-20,4,1,3,0,21.149023,0.24437089,-1.9023686,-1.5398824,-2.6893009,-1.9023686,-1.9065217,-1.2459436,-1.3299809,-1.4490364,-1.9023686,-1.9023686,2,6,4,6,6,7,3,7,2,4,3,8,6,6,6,1,7,6,5,4,0.10248668,0.90082221
-21.148686,0.0017437922,2.3350648,1,1,0,21.193339,0.24437089,-1.9023686,-1.5398824,-2.6893009,-1.9023686,-1.9065217,-1.2459436,-1.3299809,-1.4490364,-1.9023686,-1.9023686,2,6,6,8,6,2,7,7,3,2,6,8,2,4,3,3,3,7,2,5,0.10248668,0.82788823
-21.492001,1,0.2311841,2,3,0,21.645514,0.22600877,-1.93305,-1.5549127,-2.7184076,-1.93305,-1.9505679,-1.2406733,-1.3568813,-1.4516055,-1.93305,-1.93305,5,7,4,7,5,2,6,8,1,1,3,6,7,5,6,2,6,8,5,5,0.048383267,0.34619808
-20.567423,1,0.24090823,2,3,0,21.832517,0.27767945,-1.8481686,-1.513325,-2.6375694,-1.8481686,-1.8273594,-1.2566188,-1.2814578,-1.44527,-1.8481686,-1.8481686,2,6,3,6,8,6,5,8,1,3,5,8,6,4,7,1,6,8,4,1,0.18518531,0.84025079
-20.74552,0.99921637,0.32595235,1,1,0,20.819633,0.26716517,-1.8650747,-1.521609,-2.653752,-1.8650747,-1.8522464,-1.2530968,-1.2967368,-1.4463334,-1.8650747,-1.8650747,1,6,4,4,5,3,7,5,3,4,7,7,4,8,4,1,7,8,3,1,0.16103633,0.37150259
-18.763018,0.99784594,0.50865962,2,3,0,22.748444,0.40282275,-1.6614351,-1.4219561,-2.4549832,-1.6614351,-1.5380681,-1.3086064,-1.1022237,-1.4418402,-1.6614351,-1.6614351,2,3,5,6,5,4,7,5,7,3,2,7,7,6,8,1,7,6,3,6,0.36695952,0.27028424
-18.159555,1,0.86022596,2,3,0,19.142888,0.45489052,-1.5917588,-1.388028,-2.3842333,-1.5917588,-1.4212993,-1.3353151,-1.0290363,-1.4456735,-1.5917588,-1.5917588,3,6,2,7,6,2,6,7,1,4,6,4,5,8,8,3,7,7,5,2,0.39729234,0.66951803
-16.611483,1,1.5392261,1,1,0,16.78166,0.85833721,-1.2370826,-1.22248,-1.9293294,-1.2370826,-0.57937782,-1.6274447,-0.4873695,-1.603023,-1.2370826,-1.2370826,1,8,6,6,8,7,7,6,2,4,2,7,6,6,5,3,8,4,5,1,-0.31530454,0.59446902
-16.611483,4.5870257e-07,2.8341848,1,1,0,17.35938,0.85833721,-1.2370826,-1.22248,-1.9293294,-1.2370826,-0.57937782,-1.6274447,-0.4873695,-1.603023,-1.2370826,-1.2370826,6,4,6,8,7,3,5,7,7,4,4,7,7,8,7,4,8,5,4,2,-0.31530454,0.24632321
-16.308737,0.99953819,0.22522456,3,11,0,16.719509,0.74949553,-1.2958577,-1.2478026,-2.0366278,-1.2958577,-0.79634744,-1.5349232,-0.62927328,-1.5350643,-1.2958577,-1.2958577,6,3,3,4,6,5,6,8,7,5,5,7,6,7,6,3,8,7,2,5,0.11912602,0.50321053
