# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:26:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c7eaf2781.json
# init = 2 (Default)
# random
#   seed = 380424775
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111026-1-2b3ba2.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111026-1-776c72.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-21.833041,0.40258139,2,1,1,0,22.442552,0.99259272,-1.2166345,-1.2169225,-1.8117452,-1.2166345,-0.32099417,-1.7544012,-0.31633333,-1.7206539,-1.2166345,-1.2166345,7,3,4,7,6,3,8,8,6,4,4,6,5,6,8,2,8,7,2,2,-3.1209671,0.31420409
-21.833041,3.4086564e-10,4.854984,2,7,0,23.21372,0.99259272,-1.2166345,-1.2169225,-1.8117452,-1.2166345,-0.32099417,-1.7544012,-0.31633333,-1.7206539,-1.2166345,-1.2166345,2,8,2,7,6,2,6,6,3,2,2,7,2,8,6,3,8,5,3,3,-3.1209671,0.4895361
-21.654915,1,0.59466466,1,1,0,21.924734,0.99189302,-1.2165579,-1.216866,-1.8123165,-1.2165579,-0.32231555,-1.7537037,-0.31721361,-1.719929,-1.2165579,-1.2165579,1,1,8,2,7,4,7,7,7,4,2,7,1,7,8,5,8,7,1,6,-3.0314103,0.19677648
-22.394113,0.99645573,0.70101231,1,1,0,22.405901,0.99442203,-1.2168452,-1.2170749,-1.8102536,-1.2168452,-0.31754071,-1.7562267,-0.31403241,-1.7225552,-1.2168452,-1.2168452,3,7,7,4,6,2,6,6,5,2,1,8,6,6,8,2,8,8,2,1,-3.4027646,0.38324287
-16.794055,0.76473144,1.0142199,2,7,0,20.031755,0.61560034,-1.4082506,-1.2998422,-2.1839068,-1.4082506,-1.073204,-1.43455,-0.80803026,-1.4790592,-1.4082506,-1.4082506,5,4,6,5,7,2,7,4,2,2,5,4,8,7,8,1,8,7,4,3,0.35052966,0.62465802
-17.107546,0.62655967,0.82648347,1,3,0,18.378591,0.90375403,-1.2229018,-1.217124,-1.8877495,-1.2229018,-0.49086185,-1.6688311,-0.42902557,-1.638254,-1.2229018,-1.2229018,3,7,4,5,7,5,6,8,6,3,2,2,5,7,8,7,8,7,5,5,-0.65028678,0.84414664
-17.683557,0.98479444,0.45434853,2,3,0,17.71914,0.93322113,-1.2174546,-1.2154753,-1.8617618,-1.2174546,-0.43404454,-1.6965413,-0.39143829,-1.6635139,-1.2174546,-1.2174546,1,6,7,4,8,2,8,5,4,7,1,4,5,7,6,7,5,8,2,1,-0.98372226,0.27039282
-16.370571,0.97112773,0.76723037,2,3,0,18.350354,0.81119035,-1.2585284,-1.2313959,-1.9744705,-1.2585284,-0.67250804,-1.5862001,-0.54847269,-1.5708737,-1.2585284,-1.2585284,6,5,6,7,7,3,5,5,4,3,5,4,7,7,7,3,4,8,2,4,-0.084508984,0.37319864
-16.471155,0.9435309,1.2815218,1,1,0,16.52179,0.83602129,-1.2464229,-1.2262905,-1.9504433,-1.2464229,-0.62329903,-1.6077026,-0.51622258,-1.5872653,-1.2464229,-1.2464229,3,6,6,4,8,2,7,8,1,1,5,4,5,7,8,1,6,6,6,2,-0.1953604,0.73181062
-16.521025,0.31436929,1.9964451,1,3,0,16.635134,0.66824946,-1.359297,-1.2768642,-2.1239359,-1.359297,-0.96297936,-1.47219,-0.73717532,-1.4977604,-1.359297,-1.359297,3,7,6,8,8,2,7,6,3,3,1,6,5,5,6,5,8,7,2,4,0.28529375,0.90155627
-17.069067,0.96006616,0.42888466,2,5,0,17.246213,0.90116768,-1.2235262,-1.2173391,-1.8900675,-1.2235262,-0.49587159,-1.666431,-0.43233461,-1.6361295,-1.2235262,-1.2235262,6,6,7,7,6,3,6,7,3,3,1,8,2,4,8,4,8,6,1,1,-0.62663511,0.5725141
-17.554439,0.9592923,0.71362667,1,1,0,17.556282,0.92779926,-1.2182214,-1.2156659,-1.8664853,-1.2182214,-0.44446305,-1.6913923,-0.39833862,-1.6587182,-1.2182214,-1.2182214,3,5,4,7,7,3,7,5,6,1,1,7,3,7,5,5,7,7,1,2,-0.91148539,0.46215599
-16.581502,1,1.1879048,2,3,0,17.057259,0.65482407,-1.3712189,-1.2824259,-2.1389715,-1.3712189,-0.99091537,-1.4623626,-0.75517261,-1.4925993,-1.3712189,-1.3712189,4,4,8,7,8,4,7,8,3,4,3,6,7,4,8,2,8,8,3,2,0.30466974,0.31567651
-16.581502,0.0010584415,2.2449003,1,1,0,20.697219,0.65482407,-1.3712189,-1.2824259,-2.1389715,-1.3712189,-0.99091537,-1.4623626,-0.75517261,-1.4925993,-1.3712189,-1.3712189,6,8,2,6,8,2,8,8,4,2,8,4,4,6,7,2,7,7,3,3,0.30466974,0.55117546
-16.655719,0.99891926,0.18744413,2,3,0,16.657051,0.63999642,-1.3848369,-1.2888076,-2.1557811,-1.3848369,-1.0219045,-1.4516903,-0.77510561,-1.4872143,-1.3848369,-1.3848369,3,5,2,7,8,7,7,7,2,4,3,7,4,4,5,7,8,8,2,1,0.32382546,0.6787319
-16.788616,0.97801681,0.3559841,2,3,0,17.114837,0.61649825,-1.407367,-1.2994245,-2.1828613,-1.407367,-1.071309,-1.4351715,-0.8068156,-1.4793441,-1.407367,-1.407367,3,6,4,8,3,5,5,5,5,2,2,7,8,7,8,3,8,8,2,3,0.34964858,0.2008008
-16.437337,0.90840625,0.63001016,1,3,0,17.640493,0.82900127,-1.2496663,-1.227643,-1.957179,-1.2496663,-0.63717474,-1.6015738,-0.52532451,-1.5825112,-1.2496663,-1.2496663,3,7,5,6,7,7,5,7,5,1,2,7,5,7,6,3,5,6,3,4,-0.16187327,0.78309185
-16.303899,0.98605613,0.89541259,2,3,0,16.475736,0.76990167,-1.282414,-1.2418084,-2.0156778,-1.282414,-0.75513444,-1.5515414,-0.60244071,-1.5461585,-1.282414,-1.282414,5,6,5,2,8,5,3,3,6,6,1,7,5,8,8,5,6,7,3,3,0.061018452,0.2149736
-16.590287,0.76386836,1.6033344,1,1,0,16.653914,0.85545627,-1.2382038,-1.2229295,-1.9320297,-1.2382038,-0.58503195,-1.6248739,-0.49108747,-1.6009327,-1.2382038,-1.2382038,4,5,7,6,8,4,6,8,3,5,1,7,1,8,8,4,8,4,2,4,-0.29853401,0.6208272
-16.303344,1,1.4595953,1,1,0,16.38334,0.76046238,-1.288502,-1.2445132,-2.0253204,-1.288502,-0.7741671,-1.5438119,-0.61483945,-1.5409368,-1.288502,-1.288502,3,7,2,7,3,2,8,8,2,2,1,6,5,7,7,4,8,8,2,2,0.088886034,0.16904979
-16.303344,0.064234923,2.6919465,1,1,0,16.46184,0.76046238,-1.288502,-1.2445132,-2.0253204,-1.288502,-0.7741671,-1.5438119,-0.61483945,-1.5409368,-1.288502,-1.288502,1,8,6,7,6,6,6,6,6,4,3,6,4,5,6,1,8,8,5,1,0.088886034,0.66570383
-16.303354,0.99620154,0.30911103,3,7,0,16.47128,0.7604115,-1.2885355,-1.2445281,-2.0253726,-1.2885355,-0.77426985,-1.5437705,-0.61490635,-1.5409091,-1.2885355,-1.2885355,5,7,4,4,8,4,8,8,3,2,4,7,4,6,8,1,6,5,3,4,0.089031525,0.43726872
-16.314197,0.99708282,0.56580783,1,3,0,16.330517,0.78390856,-1.2738029,-1.2380141,-2.0015219,-1.2738029,-0.72699056,-1.5631447,-0.58408414,-1.5541968,-1.2738029,-1.2738029,1,8,6,6,8,1,8,7,3,3,1,4,6,7,8,4,7,6,1,2,0.016242959,0.94451428
-16.399708,0.97281454,1.028162,2,3,0,16.409441,0.81982978,-1.2541175,-1.2295184,-1.9660467,-1.2541175,-0.65534607,-1.5936257,-0.53723446,-1.5764432,-1.2541175,-1.2541175,5,7,5,6,4,2,8,7,3,4,2,6,3,6,8,4,8,8,1,4,-0.12075227,0.21643987
-17.415199,0.47211773,1.7249542,1,1,0,17.671799,0.92129307,-1.2192839,-1.2159625,-1.872188,-1.2192839,-0.45698635,-1.6852435,-0.40662822,-1.6530524,-1.2192839,-1.2192839,3,8,5,8,8,1,7,8,3,3,1,8,5,4,8,5,7,7,3,3,-0.83224172,0.66401255
-16.741516,0.96517078,0.68619176,2,3,0,18.324163,0.87361349,-1.2315684,-1.2203113,-1.9151361,-1.2315684,-0.54947537,-1.6411852,-0.46768892,-1.6143898,-1.2315684,-1.2315684,2,6,7,7,7,5,4,7,1,2,4,7,3,6,8,2,8,8,4,1,-0.41176831,0.70290597
-16.975118,0.93512342,1.1209012,1,1,0,17.107155,0.89437861,-1.2252735,-1.2179567,-1.8961808,-1.2252735,-0.50903965,-1.6601558,-0.44102844,-1.6306221,-1.2252735,-1.2252735,2,6,8,7,7,2,8,8,3,1,2,8,6,8,6,6,8,7,6,3,-0.56776096,0.58133543
-17.266711,0.65976953,1.6690322,1,1,0,17.399055,0.54911139,-1.4781818,-1.333163,-2.2635686,-1.4781818,-1.2150356,-1.390547,-0.89858755,-1.4611045,-1.4781818,-1.4781818,2,6,5,6,8,5,8,8,2,3,2,6,6,6,8,3,8,4,5,4,0.39577055,0.23111882
-16.388113,1,1.1466305,1,1,0,16.81437,0.70578769,-1.3280826,-1.2624346,-2.0828166,-1.3280826,-0.88547794,-1.5004856,-0.6871069,-1.5136719,-1.3280826,-1.3280826,2,4,3,2,6,3,8,8,2,1,1,8,4,7,8,5,6,6,4,1,0.21986503,0.66254766
-16.388113,0.16001374,2.0285727,1,1,0,16.465911,0.70578769,-1.3280826,-1.2624346,-2.0828166,-1.3280826,-0.88547794,-1.5004856,-0.6871069,-1.5136719,-1.3280826,-1.3280826,5,7,5,6,7,5,7,6,3,2,2,4,7,6,6,2,8,7,3,6,0.21986503,0.72504007
-16.580825,0.98424187,0.35627574,1,3,0,16.689469,0.65496696,-1.37109,-1.2823657,-2.1388105,-1.37109,-0.99061742,-1.4624664,-0.7549808,-1.4926528,-1.37109,-1.37109,4,7,8,8,8,2,6,7,3,3,2,7,2,6,6,4,8,4,2,1,0.30447388,0.24464409
