# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:26:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c1c3aa795.json
# init = 2 (Default)
# random
#   seed = 1113138138
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111026-2-0e29f8.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111026-2-23c6be.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-21.351224,9.1999233e-13,4,1,3,1,21.387259,0.86110709,-1.6050485,-1.6299225,-1.7203252,-1.6050485,-1.6908089,-1.4684377,-1.5703672,-2.9115547,-1.2220598,-1.6804736,5,5,7,3,4,4,8,4,5,6,5,6,5,4,6,3,4,6,3,4,-0.33182901,0.051380608
-20.139658,1,2.3350648,1,1,0,23.159823,0.77332885,-1.5480931,-1.5543657,-1.670736,-1.5480931,-1.6420477,-1.4515068,-1.6170846,-2.7666138,-1.2408556,-1.61765,7,7,2,3,7,3,6,3,1,2,3,5,5,2,7,3,5,6,1,6,0.050453585,0.60258888
-20.139658,0.15867788,2.4311673,2,7,0,20.212019,0.77332885,-1.5480931,-1.5543657,-1.670736,-1.5480931,-1.6420477,-1.4515068,-1.6170846,-2.7666138,-1.2408556,-1.61765,8,2,2,3,7,4,3,6,5,5,8,8,4,1,5,3,7,3,3,5,0.050453585,0.95070398
-19.538236,1,0.36598683,2,3,0,20.14358,0.70763528,-1.5145126,-1.501909,-1.638483,-1.5145126,-1.6115304,-1.4439807,-1.6564731,-2.6626183,-1.261768,-1.5812886,4,5,7,2,4,4,6,2,2,3,7,7,5,2,7,3,7,5,2,5,0.21617979,0.52701414
-19.106771,1,0.51036917,3,7,0,19.54394,0.27486144,-1.4455436,-1.2556613,-1.5264565,-1.4455436,-1.5246815,-1.5227527,-2.0106444,-2.0659553,-1.5155362,-1.5682341,8,4,4,5,6,3,2,5,3,6,7,7,3,1,7,4,4,4,2,8,0.17887878,0.9140193
-19.192643,0.98431731,0.81403426,1,1,0,19.280495,0.26089628,-1.4470227,-1.2510632,-1.5257243,-1.4470227,-1.5249461,-1.5296896,-2.0248753,-2.0491305,-1.5265918,-1.5746779,3,7,2,6,6,1,5,3,4,7,3,7,3,5,3,3,6,5,2,5,0.14581011,0.0074837166
-20.131568,0.71290645,1.3376668,1,1,0,20.370711,0.15961748,-1.4637489,-1.225487,-1.5258999,-1.4637489,-1.5323134,-1.5902672,-2.1335831,-1.9315111,-1.6115299,-1.6357318,8,6,6,5,5,6,2,7,1,8,5,8,3,7,6,3,5,2,3,6,-0.21711374,0.91413579
-19.123358,1,0.98655954,1,1,0,19.92863,0.27205407,-1.4458244,-1.2547172,-1.5262947,-1.4458244,-1.52472,-1.5241212,-2.0134906,-2.0625612,-1.5177457,-1.5694923,6,7,5,4,6,2,2,4,2,3,6,7,7,4,7,3,7,4,1,8,0.17247652,0.4279647
-19.123358,0.042556776,1.8087734,1,1,0,19.447572,0.27205407,-1.4458244,-1.2547172,-1.5262947,-1.4458244,-1.52472,-1.5241212,-2.0134906,-2.0625612,-1.5177457,-1.5694923,6,7,7,3,5,1,6,4,5,4,5,7,1,2,5,2,2,4,1,4,0.17247652,0.069863606
-19.105939,1,0.16405621,1,1,0,19.123245,0.27500372,-1.4455296,-1.2557094,-1.5264649,-1.4455296,-1.5246798,-1.5226837,-2.0105004,-2.0661275,-1.5154244,-1.5681709,5,7,1,2,5,1,3,3,2,8,3,7,4,3,6,2,4,3,5,7,0.17920006,0.13744952
-18.669462,0.9872847,0.30703448,2,5,0,20.094296,0.51521785,-1.4542481,-1.3696901,-1.5673267,-1.4542481,-1.5494679,-1.4493534,-1.7935044,-2.3789429,-1.3518993,-1.5263385,7,7,5,2,4,4,4,5,1,5,5,6,7,6,6,2,6,8,4,3,0.40453835,0.6278277
-18.619122,0.99825971,0.5569559,3,7,0,18.703712,0.46254197,-1.4465108,-1.339475,-1.5538184,-1.4465108,-1.5391926,-1.4585771,-1.8366707,-2.3065114,-1.3832535,-1.5247564,7,8,4,5,5,2,6,7,1,7,4,6,3,2,5,3,6,4,1,4,0.39983688,0.30802446
-19.354512,0.68707399,1.0489386,2,3,0,19.669887,0.68222091,-1.5034247,-1.4825814,-1.627104,-1.5034247,-1.6010408,-1.4422953,-1.6727217,-2.6233853,-1.2712984,-1.5696343,7,6,6,1,7,3,4,6,1,4,6,7,4,4,6,2,3,6,1,3,0.26295889,0.80876509
