# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:26:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c7eaf2781.json
# init = 2 (Default)
# random
#   seed = 380424775
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111026-2-2b3ba2.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111026-2-776c72.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-16.474501,0.19394268,2,1,1,0,16.49284,0.67974725,-1.3494006,-1.2722671,-2.1111975,-1.3494006,-0.93914617,-1.4807294,-0.72180011,-1.5023998,-1.3494006,-1.3494006,6,5,7,6,8,1,4,8,3,1,5,6,4,6,6,5,8,6,3,1,0.26708048,0.27136424
-16.474501,0.00022746546,3.3223179,1,3,0,16.486049,0.67974725,-1.3494006,-1.2722671,-2.1111975,-1.3494006,-0.93914617,-1.4807294,-0.72180011,-1.5023998,-1.3494006,-1.3494006,1,5,5,5,6,2,8,5,3,2,3,7,5,4,7,6,6,7,1,2,0.26708048,0.63129081
-16.453788,1,0.36385944,1,1,0,16.476347,0.68531129,-1.3447169,-1.2700982,-2.1050789,-1.3447169,-0.92764295,-1.4849024,-0.71437225,-1.5047185,-1.3447169,-1.3447169,4,8,7,5,7,3,4,6,4,3,2,7,3,6,7,2,6,2,2,2,0.25770601,0.46702103
-16.407983,0.98702607,0.40229005,2,7,0,16.751337,0.82200353,-1.2530408,-1.2290629,-1.963938,-1.2530408,-0.65103482,-1.5955035,-0.53440976,-1.5778668,-1.2530408,-1.2530408,3,7,4,6,5,3,8,5,7,2,3,4,5,7,8,4,8,4,4,5,-0.1302427,0.20210955
-16.802298,0.97937501,0.54428467,3,7,0,16.847731,0.61424763,-1.409585,-1.3004732,-2.1854835,-1.409585,-1.0760599,-1.433615,-0.80986057,-1.4786323,-1.409585,-1.409585,1,5,5,8,5,2,8,7,2,2,5,7,7,7,7,2,5,5,1,2,0.3518427,0.84630974
-16.425417,1,0.81864234,1,1,0,16.681489,0.6935253,-1.3379296,-1.2669636,-2.0961003,-1.3379296,-0.91069695,-1.4911109,-0.70342166,-1.5082303,-1.3379296,-1.3379296,3,7,5,5,8,5,7,4,2,2,7,8,5,7,8,4,8,4,8,5,0.24317184,0.65770503
-16.731395,0.45852972,1.4116261,2,3,0,16.99987,0.62622272,-1.3979036,-1.2949567,-2.1715886,-1.3979036,-1.0508194,-1.4419486,-0.79367468,-1.4825035,-1.3979036,-1.3979036,4,7,3,6,8,3,8,6,3,1,4,8,7,8,8,3,5,7,5,2,0.33961511,0.70367515
-16.851485,0.98853257,0.47207897,2,5,0,17.048717,0.88420904,-1.2281799,-1.2190231,-1.9054156,-1.2281799,-0.52881255,-1.650823,-0.4540721,-1.6225582,-1.2281799,-1.2281799,4,5,7,8,8,4,7,8,4,1,3,7,2,8,8,5,8,8,4,4,-0.48727111,0.86913569
-16.59915,1,0.82896069,1,1,0,16.822621,0.8566772,-1.2377255,-1.2227374,-1.9308844,-1.2377255,-0.58263517,-1.6259626,-0.48951156,-1.6018165,-1.2377255,-1.2377255,5,5,6,7,5,4,8,6,3,7,2,8,2,7,8,4,8,6,4,4,-0.30559049,0.64604734
-17.029355,0.62142311,1.5402644,1,1,0,17.108111,0.58013096,-1.4444652,-1.317039,-2.2258505,-1.4444652,-1.1484932,-1.4105754,-0.8561878,-1.468721,-1.4444652,-1.4444652,3,6,2,5,6,3,7,7,4,1,1,6,5,7,8,5,6,5,1,2,0.37944563,0.75141816
