# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:26:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c4c608ecd.json
# init = 2 (Default)
# random
#   seed = 160071689
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111026-2-4998fb.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111026-2-8aa0fa.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-19.811861,0.73555404,1,1,1,0,19.829691,0.74023597,-1.5302663,-1.5274953,-1.6539745,-1.5302663,-1.6260535,-1.4471516,-1.636455,-2.7137568,-1.2507012,-1.5982051,7,6,2,2,7,2,6,6,4,7,7,4,5,1,8,4,3,6,3,5,0.14299157,0.087331834
-19.811861,7.7895829e-65,8.8943,1,1,0,20.150592,0.74023597,-1.5302663,-1.5274953,-1.6539745,-1.5302663,-1.6260535,-1.4471516,-1.636455,-2.7137568,-1.2507012,-1.5982051,6,5,3,6,3,4,4,3,3,7,4,5,2,7,6,7,5,6,4,4,0.14299157,0.50294207
-19.559818,0.51064489,1.3035176,2,3,0,20.593975,0.71041205,-1.5157866,-1.5040538,-1.6397633,-1.5157866,-1.6127203,-1.4442069,-1.6547319,-2.6669384,-1.2607741,-1.5826432,3,6,5,3,4,2,3,3,1,4,5,5,6,3,7,1,6,5,1,3,0.21055312,0.16743493
-19.559818,0.87835867,0.46211515,1,3,0,22.74591,0.71041205,-1.5157866,-1.5040538,-1.6397633,-1.5157866,-1.6127203,-1.4442069,-1.6547319,-2.6669384,-1.2607741,-1.5826432,7,7,5,2,5,3,7,6,2,2,7,8,4,1,6,1,4,6,2,2,0.21055312,0.31195042
-20.349148,0.97307482,0.4629633,2,3,0,20.440829,0.79188388,-1.558931,-1.5698225,-1.6805942,-1.558931,-1.6515782,-1.4544411,-1.6066436,-2.7966734,-1.2359727,-1.6295612,8,7,4,5,4,1,7,4,5,6,8,4,3,3,7,6,7,4,3,5,-0.011240139,0.076581473
-18.820531,1,0.6785784,2,3,0,20.242679,0.57529244,-1.4674467,-1.4073931,-1.5858515,-1.4674467,-1.5646332,-1.4430596,-1.7472515,-2.464248,-1.3194884,-1.5352494,7,6,1,3,4,3,4,8,2,4,6,4,5,3,6,4,4,7,3,6,0.38252825,0.59120861
-19.064319,0.88309183,1.1641979,1,1,0,19.180232,0.63311108,-1.4848247,-1.4467997,-1.6068344,-1.4848247,-1.5827915,-1.4410401,-1.7057142,-2.5491191,-1.2918551,-1.5509046,7,7,5,3,5,2,4,4,3,3,6,7,5,4,4,4,2,7,1,7,0.33195393,0.514952
-18.903971,1,1.4549874,1,1,0,19.22855,0.59790435,-1.4736801,-1.4224474,-1.5936881,-1.4736801,-1.5713127,-1.4418093,-1.7306598,-2.497113,-1.3082536,-1.5405477,8,8,5,5,6,1,6,3,2,4,8,3,4,1,5,5,3,3,2,4,0.3663697,0.65315692
-18.903971,0.12277144,2.6776205,2,3,0,19.154721,0.59790435,-1.4736801,-1.4224474,-1.5936881,-1.4736801,-1.5713127,-1.4418093,-1.7306598,-2.497113,-1.3082536,-1.5405477,8,5,7,1,4,4,4,5,2,4,8,4,5,5,8,5,2,3,2,5,0.3663697,0.80574427
-18.951509,0.9982364,0.31346734,1,1,0,18.951575,0.60924716,-1.4770767,-1.4301728,-1.5977977,-1.4770767,-1.5748666,-1.4414064,-1.7225049,-2.5137567,-1.3028231,-1.5436044,6,5,4,3,7,3,3,5,3,5,5,7,4,1,6,2,3,1,6,4,0.35654818,0.77428957
