# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:26:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c30ef2161.json
# init = 2 (Default)
# random
#   seed = 126449834
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111026-2-69f96c.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111026-2-18c6f9.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-19.107615,0.14199712,2,2,3,0,19.111137,0.27471716,-1.4455578,-1.2556125,-1.526448,-1.4455578,-1.5246833,-1.5228227,-2.0107905,-2.0657807,-1.5156496,-1.5682983,8,5,4,2,5,5,5,5,2,4,4,7,4,2,6,2,3,2,4,8,0.17855268,0.792779
-19.107615,1.7926034e-05,3.0228987,1,1,0,19.243333,0.27471716,-1.4455578,-1.2556125,-1.526448,-1.4455578,-1.5246833,-1.5228227,-2.0107905,-2.0657807,-1.5156496,-1.5682983,8,6,1,4,8,3,5,4,2,8,3,7,3,3,4,1,6,8,5,3,0.17855268,0.66858814
-18.667017,0.99768268,0.32176996,2,7,0,19.314266,0.51374448,-1.453984,-1.3688082,-1.5669142,-1.453984,-1.5491425,-1.4495634,-1.7946786,-2.3768871,-1.3527397,-1.5262147,6,7,4,4,6,2,7,3,5,4,7,6,3,2,7,2,4,3,3,3,0.40470918,0.28405623
-18.781255,0.99525339,0.34793686,3,7,0,18.882897,0.56296308,-1.4643445,-1.399381,-1.5817779,-1.4643445,-1.5612166,-1.4439955,-1.7564865,-2.4465033,-1.3258401,-1.5328074,7,6,5,6,4,1,4,6,5,4,6,7,4,1,5,3,4,7,3,5,0.38948064,0.3102504
-18.730327,1,0.47691752,2,3,0,18.776665,0.5444348,-1.4600686,-1.3876048,-1.5759203,-1.4600686,-1.5563791,-1.4457444,-1.7706147,-2.4200681,-1.3356795,-1.5297322,5,6,3,1,5,4,3,6,1,5,6,7,7,6,6,3,5,4,3,2,0.39753595,0.92257182
-19.777028,0.8544347,0.7584394,2,7,0,19.777297,0.1902589,-1.4575944,-1.2317213,-1.5248235,-1.4575944,-1.5290785,-1.5699532,-2.099663,-1.966282,-1.5849603,-1.6145366,7,6,3,2,4,2,5,5,2,5,8,6,2,5,7,4,5,6,1,7,-0.07865076,0.53529921
-18.622615,1,0.83576835,2,3,0,19.629263,0.43641405,-1.4439438,-1.3255154,-1.5480646,-1.4439438,-1.5351235,-1.4644963,-1.8589924,-2.271394,-1.3997824,-1.5261603,6,8,3,1,8,2,3,7,2,8,6,6,4,4,6,1,7,7,3,8,0.38916021,0.62975025
-20.856114,0.24452918,1.4947481,1,1,0,20.875594,0.11293878,-1.4749005,-1.2187071,-1.5292669,-1.4749005,-1.5389088,-1.6247975,-2.1870108,-1.8798976,-1.6534324,-1.6727902,3,4,7,3,7,2,6,5,1,5,4,6,4,5,5,4,3,4,3,8,-0.50899122,0.38815073
-20.637712,0.99999137,0.25613094,2,3,0,20.886921,0.12522665,-1.4717593,-1.2201616,-1.5281771,-1.4717593,-1.5369777,-1.6152725,-2.1727389,-1.8933257,-1.6422359,-1.6624631,6,7,7,1,6,3,4,3,7,6,2,7,7,2,2,3,8,5,3,6,-0.41966096,0.44094961
-19.129358,0.99310731,0.47320012,3,7,0,21.770235,0.27105217,-1.4459267,-1.2543827,-1.5262387,-1.4459267,-1.5247355,-1.5246127,-2.0145082,-2.0613514,-1.5185358,-1.5699458,8,5,4,1,8,6,3,3,5,6,6,5,2,4,4,3,5,1,3,7,0.1701624,0.65865703
