# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:27:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c4dc1f137.json
# init = 2 (Default)
# random
#   seed = 413729430
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111027-1-67b660.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111027-1-0985d9.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-16.305445,0.99953223,0.5,2,3,0,16.311809,0.75459476,-1.2924001,-1.2462536,-2.0313563,-1.2924001,-0.78602524,-1.5390439,-0.62255819,-1.5377691,-1.2924001,-1.2924001,7,7,7,4,7,4,7,6,4,4,4,8,7,5,8,4,5,8,3,3,0.10534067,0.19220131
-16.305445,2.8408641e-33,14.373281,2,3,0,16.459891,0.75459476,-1.2924001,-1.2462536,-2.0313563,-1.2924001,-0.78602524,-1.5390439,-0.62255819,-1.5377691,-1.2924001,-1.2924001,3,3,7,7,6,3,4,8,2,4,2,4,4,6,6,5,5,7,3,3,0.10534067,0.55801501
-16.305445,0.00020309085,2.4284883,1,1,0,16.716582,0.75459476,-1.2924001,-1.2462536,-2.0313563,-1.2924001,-0.78602524,-1.5390439,-0.62255819,-1.5377691,-1.2924001,-1.2924001,1,3,7,3,8,1,7,5,7,4,2,8,7,7,7,7,7,7,2,3,0.10534067,0.22193689
-16.313788,0.99980769,0.23962234,4,15,0,16.323993,0.78355248,-1.2740155,-1.2381073,-2.0018795,-1.2740155,-0.72770456,-1.5628478,-0.58455017,-1.5539882,-1.2740155,-1.2740155,2,2,6,6,6,2,7,5,3,5,4,7,6,6,5,7,6,8,3,3,0.017435054,0.18872016
-16.372778,0.99550125,0.32390921,2,5,0,16.48176,0.81191067,-1.2581526,-1.2312353,-1.9737655,-1.2581526,-0.67107549,-1.586817,-0.54753499,-1.5713327,-1.2581526,-1.2581526,3,8,8,2,8,1,8,4,1,2,2,6,1,8,8,3,8,7,2,5,-0.087443738,0.37256224
-16.303297,0.99511584,0.49976662,1,3,0,16.45157,0.7675561,-1.2839056,-1.2424695,-2.0180661,-1.2839056,-0.75985886,-1.5496139,-0.60551955,-1.5448464,-1.2839056,-1.2839056,5,6,5,3,5,3,7,3,4,3,2,5,5,6,6,5,8,3,3,2,0.068109391,0.018347157
-16.306058,0.99934758,0.83775208,1,3,0,16.306066,0.77460463,-1.2794659,-1.240505,-2.0109045,-1.2794659,-0.74567175,-1.5554195,-0.59627174,-1.5488186,-1.2794659,-1.2794659,5,7,7,3,6,2,8,5,5,3,2,2,5,6,7,2,8,6,4,2,0.046457729,0.49329574
-16.357274,0.95427835,1.4953152,1,1,0,16.374282,0.8065427,-1.2609873,-1.2324499,-1.9790304,-1.2609873,-0.68175852,-1.5822302,-0.55452612,-1.5679356,-1.2609873,-1.2609873,2,6,6,5,4,1,5,8,6,5,2,5,6,8,8,3,8,6,4,5,-0.065937446,0.2952839
-16.357274,0.00017994993,2.3841506,1,1,0,16.486115,0.8065427,-1.2609873,-1.2324499,-1.9790304,-1.2609873,-0.68175852,-1.5822302,-0.55452612,-1.5679356,-1.2609873,-1.2609873,3,6,3,5,6,1,5,8,3,5,2,7,6,5,6,4,7,8,2,1,-0.065937446,0.2387134
-16.325517,0.99869886,0.1894106,3,11,0,16.570759,0.73480269,-1.3061788,-1.252453,-2.0519536,-1.3061788,-0.82617832,-1.5231697,-0.64865946,-1.5275185,-1.3061788,-1.3061788,3,5,5,5,6,5,8,8,2,1,2,8,6,6,7,1,4,4,3,6,0.15632503,0.64794257
-16.304448,0.99998198,0.3531006,2,7,0,16.327388,0.77140027,-1.2814684,-1.2413899,-2.0141545,-1.2814684,-0.75211771,-1.5527752,-0.60047436,-1.5470019,-1.2814684,-1.2814684,4,4,4,6,8,4,8,3,2,2,1,6,3,7,8,6,7,7,8,1,0.056428885,0.77045875
-16.303775,1,0.66662468,1,1,0,16.304349,0.76950567,-1.2826648,-1.2419195,-2.0160807,-1.2826648,-0.75593183,-1.5512157,-0.60296041,-1.5459363,-1.2826648,-1.2826648,4,6,6,4,7,4,7,5,4,2,1,8,6,6,8,3,7,5,3,1,0.062223503,0.62997731
-17.46635,0.22887342,1.2616992,2,3,0,18.820968,0.92377007,-1.2188612,-1.2158409,-1.8700124,-1.2188612,-0.45221582,-1.6875806,-0.40347106,-1.6551981,-1.2188612,-1.2188612,3,6,3,6,8,2,8,7,4,1,2,7,3,5,7,8,8,8,2,2,-0.86153375,0.62242775
-17.840037,0.99671278,0.2124559,2,5,0,18.306329,0.93912383,-1.2167447,-1.215327,-1.8566492,-1.2167447,-0.42272028,-1.7021727,-0.38393401,-1.6688125,-1.2167447,-1.2167447,6,4,8,5,7,4,7,7,6,5,1,5,2,7,8,3,8,3,2,3,-1.069962,0.087826175
-17.840297,0.9999955,0.40071143,1,1,0,17.891888,0.93913306,-1.2167437,-1.2153268,-1.8566412,-1.2167437,-0.42270259,-1.7021815,-0.38392228,-1.6688209,-1.2167437,-1.2167437,4,5,6,4,7,3,6,6,1,1,2,5,5,4,8,5,8,8,1,4,-1.0701038,0.29548055
-16.374465,0.9723297,0.75990289,2,7,0,17.49085,0.71087599,-1.3240982,-1.2606089,-2.0773465,-1.3240982,-0.8750409,-1.5044127,-0.68034861,-1.5160006,-1.3240982,-1.3240982,1,8,5,8,6,4,8,6,4,3,1,6,5,5,7,5,7,7,5,1,0.20960261,0.71682509
-16.700298,0.8474647,1.3146013,2,3,0,16.708518,0.86915288,-1.2331027,-1.2209069,-1.9192587,-1.2331027,-0.55819311,-1.6371541,-0.47342966,-1.6110211,-1.2331027,-1.2331027,3,5,6,4,7,5,6,4,4,3,2,7,6,7,6,1,8,7,2,1,-0.38220242,0.30984708
-16.66223,1,1.5426687,1,1,0,16.963783,0.86474006,-1.2346824,-1.2215267,-1.9233548,-1.2346824,-0.56682852,-1.6331815,-0.47911369,-1.6077289,-1.2346824,-1.2346824,3,7,5,7,6,2,8,6,2,2,4,6,4,6,8,3,7,7,1,2,-0.3541237,0.94470615
-16.66223,8.8829248e-06,2.8694086,1,1,0,16.669174,0.86474006,-1.2346824,-1.2215267,-1.9233548,-1.2346824,-0.56682852,-1.6331815,-0.47911369,-1.6077289,-1.2346824,-1.2346824,2,6,7,1,4,1,7,3,3,1,1,8,4,7,8,2,8,8,2,3,-0.3541237,0.086544126
-16.762212,0.99864197,0.26164736,2,3,0,16.76657,0.87574296,-1.2308583,-1.220038,-1.9131744,-1.2308583,-0.54531753,-1.6431151,-0.46495004,-1.6160125,-1.2308583,-1.2308583,3,6,4,5,6,1,8,5,2,2,2,8,2,7,7,3,7,6,1,3,-0.42632615,0.59544545
-16.924956,0.91766155,0.48744879,3,7,0,19.742023,0.89044076,-1.2263582,-1.2183497,-1.8997456,-1.2263582,-0.51668923,-1.6565324,-0.4460762,-1.6274734,-1.2263582,-1.2263582,1,8,2,5,8,2,6,6,4,1,2,8,5,7,8,2,5,3,1,5,-0.53556914,0.66698343
-16.989266,0.9936023,0.70790317,2,7,0,16.990174,0.58577857,-1.4385299,-1.3142111,-2.2190879,-1.4385299,-1.1364487,-1.4143168,-0.84849687,-1.4702491,-1.4385299,-1.4385299,2,7,5,5,6,5,6,6,4,4,4,6,5,6,7,7,8,5,6,1,0.37559145,0.7251843
-16.659664,0.95005647,1.27696,1,3,0,16.815853,0.86443133,-1.2347952,-1.2215712,-1.923642,-1.2347952,-0.56743308,-1.6329042,-0.47951153,-1.6075001,-1.2347952,-1.2347952,2,7,7,4,7,2,8,6,1,3,3,8,4,6,6,3,6,4,3,2,-0.3522009,0.39046786
-16.309443,1,2.0100191,1,1,0,16.334393,0.74861179,-1.2964635,-1.2480745,-2.0375439,-1.2964635,-0.79813797,-1.5342113,-0.63043774,-1.5346001,-1.2964635,-1.2964635,1,6,6,7,7,6,6,6,6,5,1,8,5,7,7,4,8,4,3,2,0.12146784,0.60500612
