# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:27:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c3cddc9f5.json
# init = 2 (Default)
# random
#   seed = 2030738757
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111027-2-33e1ca.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111027-2-7309d5.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-26.70386,0.40859105,2,1,1,0,26.75759,0.84253615,-2.0504918,-2.0504918,-2.3031498,-3.0097852,-3.0097852,-1.6797052,-2.11762,-2.1565961,-2.1368564,-2.1495827,3,6,8,6,7,6,7,5,7,5,3,4,7,6,8,3,7,8,3,1,-0.2281386,0.78589055
-26.70386,1.9132184e-40,4.9083236,1,1,0,26.828869,0.84253615,-2.0504918,-2.0504918,-2.3031498,-3.0097852,-3.0097852,-1.6797052,-2.11762,-2.1565961,-2.1368564,-2.1495827,5,8,6,6,2,4,8,7,6,7,2,4,6,8,7,3,3,5,4,4,-0.2281386,0.35172319
-24.294391,0.96906144,0.60314796,1,1,0,26.790741,0.75329865,-1.9184263,-1.9184263,-2.1015032,-2.6687368,-2.6687368,-1.6322146,-1.9009523,-2.0401029,-2.0395126,-2.0400389,8,3,7,7,4,5,8,6,3,2,3,6,8,8,4,1,8,5,4,2,0.10888917,0.22919827
-20.488381,0.9923721,0.65595851,2,5,0,23.671816,0.5350059,-1.6628912,-1.6628912,-1.7670578,-2.1023004,-2.1023004,-1.5540532,-1.3988747,-1.8168665,-1.8413496,-1.7973801,7,2,7,7,8,2,7,6,2,5,4,5,8,8,5,6,8,4,8,1,0.4005514,0.4848578
-19.534972,0.93664118,0.93353836,2,3,0,21.282923,0.068372022,-1.441626,-1.441626,-1.46568,-1.5727543,-1.5727543,-1.5470786,-0.43710424,-1.562696,-1.5835477,-1.4028787,5,2,6,7,8,7,7,4,6,2,6,8,6,5,4,8,8,5,5,3,-0.96185382,0.80297989
-18.710165,1,1.265493,1,1,0,19.352506,0.12477043,-1.442568,-1.442568,-1.482023,-1.6030212,-1.6030212,-1.5370469,-0.5463197,-1.5799523,-1.6036157,-1.4409312,6,7,7,6,7,7,4,7,4,2,3,8,7,6,7,1,8,1,6,3,-0.42278941,0.3271012
-18.710165,0.09693813,2.2079482,1,3,0,22.216593,0.12477043,-1.442568,-1.442568,-1.482023,-1.6030212,-1.6030212,-1.5370469,-0.5463197,-1.5799523,-1.6036157,-1.4409312,5,7,6,6,5,2,8,8,6,5,7,3,8,7,4,6,7,7,4,4,-0.42278941,0.36438405
-18.872515,0.9964526,0.24138175,1,3,0,19.004254,0.10867941,-1.441487,-1.441487,-1.4769024,-1.5935912,-1.5935912,-1.5396106,-0.51497934,-1.5746855,-1.5975892,-1.4297834,6,7,8,8,7,3,8,4,4,4,6,5,7,5,2,4,8,5,4,1,-0.54264457,0.94651159
-18.649456,1,0.43173895,2,3,0,18.886119,0.13209315,-1.4432696,-1.4432696,-1.4844773,-1.6075266,-1.6075266,-1.5359592,-0.56063032,-1.582441,-1.6064381,-1.4460802,4,6,6,7,5,3,7,4,2,5,8,5,8,6,4,2,8,2,1,2,-0.37415937,0.39211844
-19.361587,0.77905232,0.79967309,2,3,0,20.806304,0.076484313,-1.4412648,-1.4412648,-1.4677576,-1.5766324,-1.5766324,-1.5454555,-0.45270559,-1.5649719,-1.5862528,-1.408175,5,5,7,7,6,5,7,7,8,2,6,4,7,6,4,3,6,4,6,2,-0.85847764,0.56037436
