# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:27:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c79648602.json
# init = 2 (Default)
# random
#   seed = 515749107
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111027-2-916e3b.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111027-2-8aa768.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-23.079594,9.1782332e-34,4,2,3,0,23.441395,0.69671612,-1.8431148,-1.8431148,-1.9964613,-2.4914743,-2.4914743,-1.6069351,-1.7671405,-1.97437,-1.9828832,-1.9736995,5,6,6,6,5,5,7,3,5,1,4,5,3,5,7,1,6,4,7,6,0.23729621,0.28063481
-23.079594,5.0789723e-05,2.3350648,1,3,0,23.38383,0.69671612,-1.8431148,-1.8431148,-1.9964613,-2.4914743,-2.4914743,-1.6069351,-1.7671405,-1.97437,-1.9828832,-1.9736995,5,5,6,6,8,5,7,5,6,3,5,2,8,6,7,3,6,6,4,3,0.23729621,0.36845537
-21.52259,0.99612126,0.23026341,1,3,0,23.787104,0.60829791,-1.7381997,-1.7381997,-1.8597253,-2.2600983,-2.2600983,-1.574564,-1.5632741,-1.8830054,-1.9018808,-1.8748556,6,7,6,5,5,5,6,6,3,3,5,7,8,7,7,1,6,8,6,4,0.35741523,0.44026108
-21.551326,0.99935614,0.23735789,1,1,0,21.635306,0.61013634,-1.7402242,-1.7402242,-1.8622727,-2.2644217,-2.2644217,-1.575151,-1.5674502,-1.8847724,-1.9034749,-1.876851,8,7,6,6,8,4,8,7,7,3,7,4,7,7,7,3,7,2,8,4,0.35572844,0.5937767
-21.211932,1,0.3202149,1,1,0,21.583633,0.587812,-1.7160895,-1.7160895,-1.8321102,-2.2131862,-2.2131862,-1.568265,-1.5169144,-1.8636797,-1.8843709,-1.8527927,3,2,6,8,7,1,5,6,6,5,4,4,5,8,5,3,7,6,6,5,0.37413564,0.9567811
-20.000821,1,0.5004882,1,1,0,21.060532,0.49415271,-1.6254878,-1.6254878,-1.7222747,-2.0255774,-2.0255774,-1.5450239,-1.3089601,-1.7834979,-1.8101136,-1.7559578,2,5,8,6,8,3,6,6,6,7,5,4,8,4,6,2,6,5,5,2,0.40532834,0.54921048
-18.450532,1,0.85163544,1,1,0,19.348572,0.28294,-1.485339,-1.485339,-1.5536297,-1.7319652,-1.7319652,-1.5246122,-0.86237809,-1.6469334,-1.6758009,-1.5623372,4,5,7,7,7,3,7,6,7,3,5,5,6,4,5,4,8,7,7,1,0.1966433,0.5405597
-18.437676,1,1.5236012,1,1,0,18.438161,0.16979168,-1.448914,-1.448914,-1.4983709,-1.6328813,-1.6328813,-1.5311429,-0.63478687,-1.5961723,-1.6217604,-1.4733288,5,5,8,5,6,2,8,6,4,1,7,5,8,4,8,6,8,7,3,2,-0.16750215,0.24376884
-18.437676,9.4033093e-08,2.8051382,1,1,0,18.849302,0.16979168,-1.448914,-1.448914,-1.4983709,-1.6328813,-1.6328813,-1.5311429,-0.63478687,-1.5961723,-1.6217604,-1.4733288,7,6,6,7,6,5,8,7,3,5,7,7,4,7,4,3,7,8,6,1,-0.16750215,0.4285418
-18.554511,0.98635605,0.22290495,2,7,0,19.916335,0.31033203,-1.4983505,-1.4983505,-1.570328,-1.7615144,-1.7615144,-1.5248358,-0.91864955,-1.6614615,-1.6907256,-1.5854657,5,5,8,8,8,2,8,8,6,2,4,4,7,6,6,3,8,8,7,3,0.25010198,0.77483542
