# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:28:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c5be1c77c.json
# init = 2 (Default)
# random
#   seed = 279191416
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111028-1-1f8824.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111028-1-034e36.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-19.619787,0.011202478,2,1,1,0,19.623657,0.2851603,-1.5394699,-1.5339216,-2.0375406,-1.5462932,-1.5339216,-1.5339216,-1.5339216,-1.8362541,-1.8362541,-1.507487,6,6,3,2,8,7,1,1,5,7,5,5,2,4,2,6,3,2,4,7,0.20135871,0.66273465
-19.619787,0.001776005,2.3831134,1,3,0,19.749073,0.2851603,-1.5394699,-1.5339216,-2.0375406,-1.5462932,-1.5339216,-1.5339216,-1.5339216,-1.8362541,-1.8362541,-1.507487,4,6,2,3,7,4,2,3,3,5,7,6,4,7,6,8,3,5,4,5,0.20135871,0.73419036
-19.3858,1,0.23738773,2,3,0,19.631978,0.31194438,-1.522772,-1.5401136,-1.9941418,-1.5550798,-1.5401136,-1.5401136,-1.5401136,-1.7943749,-1.7943749,-1.4869703,7,8,1,3,8,4,3,1,2,7,6,4,3,5,7,4,3,3,1,7,0.25294349,0.8662979
-18.588421,0.99467388,0.24822934,2,7,0,19.985443,0.59459893,-1.4414403,-1.7101802,-1.5526159,-1.7395145,-1.7101802,-1.7101802,-1.7101802,-1.4293873,-1.4293873,-1.3098621,7,6,3,3,3,6,4,5,4,7,8,2,2,3,7,6,3,3,1,8,0.3690129,0.24455208
-19.008736,0.96472902,0.33150167,2,7,0,19.527935,0.68961951,-1.4579496,-1.8163785,-1.4105126,-1.8408964,-1.8163785,-1.8163785,-1.8163785,-1.341138,-1.341138,-1.2684441,7,7,1,5,6,6,3,1,5,8,7,3,4,7,8,7,5,3,3,5,0.25018786,0.4734858
-18.904094,1,0.46711412,3,7,0,19.008249,0.38380978,-1.4853019,-1.564753,-1.8790783,-1.5859935,-1.564753,-1.564753,-1.564753,-1.6880674,-1.6880674,-1.4349582,6,5,2,5,5,2,4,3,6,8,6,2,2,5,7,7,4,6,2,4,0.34995169,0.15766701
-18.5184,0.99561406,0.79336725,1,3,0,18.821721,0.54828036,-1.4420629,-1.6681608,-1.6229956,-1.6975438,-1.6681608,-1.6681608,-1.6681608,-1.4791107,-1.4791107,-1.3336085,3,3,2,5,4,6,2,4,6,7,2,6,2,7,4,5,4,1,2,5,0.3960974,0.19053279
-18.5184,0.67183722,1.3984675,1,1,0,18.636159,0.54828036,-1.4420629,-1.6681608,-1.6229956,-1.6975438,-1.6681608,-1.6681608,-1.6681608,-1.4791107,-1.4791107,-1.3336085,4,8,2,3,8,5,3,3,1,6,7,4,1,5,5,3,3,1,1,7,0.3960974,0.6664869
-18.520179,0.99914975,0.91723611,1,1,0,18.522713,0.55089662,-1.4418848,-1.6703739,-1.6190005,-1.6997879,-1.6703739,-1.6703739,-1.6703739,-1.4761906,-1.4761906,-1.3322082,7,8,1,5,7,5,3,3,4,7,5,4,3,8,8,8,1,4,2,6,0.39504919,0.36832148
-18.520179,0.070462248,1.7005481,1,1,0,18.958883,0.55089662,-1.4418848,-1.6703739,-1.6190005,-1.6997879,-1.6703739,-1.6703739,-1.6703739,-1.4761906,-1.4761906,-1.3322082,8,8,1,2,8,6,1,3,3,6,5,7,2,4,8,5,1,4,5,7,0.39504919,0.86620308
