# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:28:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c5cd93de5.json
# init = 2 (Default)
# random
#   seed = 648413838
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111028-1-3a20e3.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111028-1-60b13c.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-20.09293,0.047100495,2,1,1,0,20.232467,0.50227789,-1.6326655,-1.6326655,-1.7308203,-2.0402465,-2.0402465,-1.5466849,-1.3267472,-1.7899424,-1.8161858,-1.7640952,8,8,7,6,6,5,8,8,7,1,7,4,7,6,7,2,7,7,3,3,0.40544435,0.14841978
-20.09293,0.00035755658,2.5438455,1,1,0,20.410572,0.50227789,-1.6326655,-1.6326655,-1.7308203,-2.0402465,-2.0402465,-1.5466849,-1.3267472,-1.7899424,-1.8161858,-1.7640952,8,7,6,4,5,5,8,6,4,3,5,5,8,7,6,3,7,6,5,4,0.40544435,0.047583791
-19.925388,1,0.25748563,1,1,0,20.096014,0.48733644,-1.6195666,-1.6195666,-1.7152394,-2.0134897,-2.0134897,-1.5436818,-1.2940748,-1.778164,-1.8050728,-1.7491701,7,8,6,6,4,5,6,5,3,1,5,7,8,4,5,2,6,6,7,5,0.40482344,0.16749221
-19.822816,1,0.27211658,1,1,0,19.947848,0.47781539,-1.6114493,-1.6114493,-1.7056131,-1.9969335,-1.9969335,-1.5418853,-1.2733378,-1.7708232,-1.7981129,-1.7397481,6,8,5,5,7,1,6,8,6,3,5,2,7,8,5,2,8,5,7,2,0.40349454,0.16461727
-18.358824,1,0.3714311,3,7,0,19.727402,0.20249227,-1.4564986,-1.4564986,-1.5121859,-1.6578821,-1.6578821,-1.5280301,-0.69977769,-1.6093493,-1.6361311,-1.4979537,6,6,6,6,6,7,7,4,6,2,8,6,8,4,5,5,5,4,3,3,-0.031557835,0.37119423
-18.35361,0.99703946,0.58429674,2,3,0,18.391392,0.20752097,-1.4578815,-1.4578815,-1.5144604,-1.6619812,-1.6619812,-1.5276394,-0.70982769,-1.6114816,-1.6384305,-1.5018209,6,1,7,8,8,1,5,5,7,5,7,6,6,6,7,3,8,2,6,4,-0.013352633,0.7868108
-18.356354,0.99887134,0.9893972,1,1,0,18.358643,0.2046741,-1.4570915,-1.4570915,-1.5131678,-1.6596521,-1.6596521,-1.5278577,-0.7041363,-1.6102709,-1.6371258,-1.499629,5,5,7,7,5,2,8,5,6,5,5,7,7,7,5,2,4,4,5,4,-0.023580155,0.51443011
-18.424643,0.92069729,1.7682457,1,1,0,18.474823,0.17344521,-1.4496391,-1.4496391,-1.4998317,-1.6355339,-1.6355339,-1.5307459,-0.64201714,-1.5975857,-1.6233161,-1.4760348,5,4,6,7,5,5,7,6,4,4,6,8,4,8,6,3,8,8,3,4,-0.15062311,0.33820791
-18.424643,0.0014562609,2.5410494,1,3,0,18.425252,0.17344521,-1.4496391,-1.4496391,-1.4998317,-1.6355339,-1.6355339,-1.5307459,-0.64201714,-1.5975857,-1.6233161,-1.4760348,3,4,6,8,7,8,7,7,7,4,7,7,1,6,6,6,8,7,3,5,-0.15062311,0.38675637
-18.388607,0.99982206,0.20275332,3,11,0,18.460016,0.25951673,-1.475482,-1.475482,-1.5404223,-1.7084825,-1.7084825,-1.5249821,-0.8146294,-1.6352169,-1.6636127,-1.5430416,4,5,5,7,7,3,7,7,7,6,5,7,8,5,8,4,8,3,3,5,0.14237313,0.52772628
