# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:28:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c5dbddd61.json
# init = 2 (Default)
# random
#   seed = 387969263
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111028-1-57f05b.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111028-1-339f2a.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-19.04288,0.83588518,1,1,1,0,19.29364,0.39182543,-1.5462924,-1.5462924,-1.6285768,-1.8636112,-1.8636112,-1.5297288,-1.0888967,-1.7101328,-1.7394679,-1.6578051,7,2,5,5,7,4,6,8,3,6,8,4,7,3,8,5,7,7,3,3,0.35752729,0.40456672
-19.04288,1.337232e-18,10.674213,3,7,0,19.102514,0.39182543,-1.5462924,-1.5462924,-1.6285768,-1.8636112,-1.8636112,-1.5297288,-1.0888967,-1.7101328,-1.7394679,-1.6578051,4,8,7,6,7,6,8,7,7,4,4,8,6,6,5,2,8,2,4,3,0.35752729,0.33469614
-19.04288,0.29890915,1.6512774,1,3,0,19.08148,0.39182543,-1.5462924,-1.5462924,-1.6285768,-1.8636112,-1.8636112,-1.5297288,-1.0888967,-1.7101328,-1.7394679,-1.6578051,3,4,6,6,7,5,4,7,6,6,3,7,8,4,6,4,7,5,7,1,0.35752729,0.61802204
-19.045509,0.98692543,0.34342027,3,7,0,19.733394,0.39217433,-1.5465269,-1.5465269,-1.6288554,-1.8640966,-1.8640966,-1.5297635,-1.0896349,-1.7103593,-1.7396907,-1.658126,5,6,6,3,4,1,6,8,8,3,4,8,5,7,7,4,5,5,7,2,0.35784349,0.29184675
-18.671888,0.96734907,0.45922471,2,5,0,19.699091,0.12928103,-1.4429848,-1.4429848,-1.4835255,-1.6057805,-1.6057805,-1.5363711,-0.55513109,-1.5814784,-1.6053483,-1.4440973,5,4,5,4,1,3,8,5,4,2,7,5,8,6,8,6,6,6,6,7,-0.39244324,0.47578516
-18.541403,1,0.66147244,1,1,0,18.657501,0.14799047,-1.4452381,-1.4452381,-1.4900768,-1.6177742,-1.6177742,-1.5337682,-0.59180272,-1.5880429,-1.6127374,-1.4574203,6,7,8,7,7,3,8,7,6,4,5,7,6,7,6,5,8,4,6,5,-0.27900551,0.37442576
-18.785248,0.91719054,1.1340687,1,1,0,18.845608,0.11679836,-1.4419528,-1.4419528,-1.4794395,-1.5982688,-1.5982688,-1.5382872,-0.53077441,-1.5773084,-1.6005999,-1.4353794,6,6,7,5,8,3,6,7,4,5,5,5,5,6,4,2,8,7,5,4,-0.47974856,0.2481142
-18.785248,0.0094205425,1.5753526,1,1,0,19.240366,0.11679836,-1.4419528,-1.4419528,-1.4794395,-1.5982688,-1.5982688,-1.5382872,-0.53077441,-1.5773084,-1.6005999,-1.4353794,7,4,8,8,6,3,6,8,6,5,7,7,6,4,3,4,8,6,5,3,-0.47974856,0.83588491
-18.79257,0.99997083,0.12900382,1,1,0,18.792651,0.11607418,-1.4419046,-1.4419046,-1.4792094,-1.5978449,-1.5978449,-1.5384028,-0.52936406,-1.5770716,-1.6003288,-1.4348779,1,2,8,5,4,1,7,4,7,3,5,7,6,7,5,3,8,7,4,4,-0.48514845,0.61586148
-18.348069,0.99381649,0.23752908,3,11,0,19.72961,0.21776144,-1.4608736,-1.4608736,-1.5192188,-1.6705423,-1.6705423,-1.5269166,-0.73033991,-1.615912,-1.6431869,-1.5097615,5,8,4,4,5,4,8,6,7,2,4,6,5,7,6,5,7,8,1,1,0.021808808,0.20190755
-18.492813,0.97261341,0.43615632,1,3,0,18.786577,0.2951421,-1.4909389,-1.4909389,-1.5608983,-1.7448457,-1.7448457,-1.5246242,-0.88738685,-1.6532941,-1.6823596,-1.5725654,3,5,5,5,6,5,4,4,6,5,6,5,8,7,8,5,6,7,4,4,0.22170207,0.37138001
-18.847416,0.81709795,0.75505186,1,3,0,19.557653,0.11090618,-1.4415985,-1.4415985,-1.4775889,-1.5948579,-1.5948579,-1.5392416,-0.51930775,-1.5753979,-1.5984088,-1.4313123,6,7,8,5,4,6,6,7,3,3,3,6,7,7,6,8,7,8,6,2,-0.52486374,0.31315898
-18.360238,0.92795798,0.80304197,2,3,0,19.329516,0.24219446,-1.4689564,-1.4689564,-1.531269,-1.6921435,-1.6921435,-1.5255869,-0.77953385,-1.6269646,-1.6549373,-1.5290605,4,5,6,8,8,2,7,7,7,5,7,6,8,8,3,6,8,4,5,3,0.096416684,0.89472618
-18.425467,0.95283242,1.2128609,1,1,0,18.445357,0.27458413,-1.4816874,-1.4816874,-1.5488069,-1.7234023,-1.7234023,-1.524685,-0.8453057,-1.6426796,-1.6713924,-1.5554026,6,4,8,8,8,3,7,7,7,1,5,5,3,7,3,4,7,6,7,2,0.17825172,0.8628726
-18.425467,0.31531784,1.9760572,1,3,0,19.373532,0.27458413,-1.4816874,-1.4816874,-1.5488069,-1.7234023,-1.7234023,-1.524685,-0.8453057,-1.6426796,-1.6713924,-1.5554026,2,4,7,8,3,6,7,7,6,3,4,5,6,6,8,1,6,3,5,6,0.17825172,0.66581318
-18.81107,0.94735171,0.44467802,2,5,0,19.186942,0.11428167,-1.441791,-1.441791,-1.478643,-1.5968014,-1.5968014,-1.538691,-0.52587436,-1.5764878,-1.5996601,-1.4336385,4,6,7,8,6,4,5,7,4,2,6,7,6,4,6,3,6,7,7,3,-0.49868592,0.72578618
