# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:28:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c2216fade.json
# init = 2 (Default)
# random
#   seed = 1503122199
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111028-1-642e66.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111028-1-545a0a.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-19.931844,0.059214893,2,1,3,0,19.933532,0.78813769,-1.5034187,-1.9584564,-1.2662946,-1.9689741,-1.9584564,-1.9584564,-1.9584564,-1.271304,-1.271304,-1.2369207,6,8,5,4,8,8,2,2,2,7,7,7,2,5,8,6,2,2,2,8,0.0018583072,0.43949234
-19.846909,0.20035059,2.6004983,2,5,0,19.97121,0.26217252,-1.5549628,-1.5298721,-2.0750158,-1.5399355,-1.5298721,-1.5298721,-1.5298721,-1.873168,-1.873168,-1.5255748,5,7,3,6,5,8,6,4,6,6,6,7,5,7,7,5,3,3,3,7,0.14896171,0.40813532
-18.616585,0.97275466,0.42449742,1,3,0,20.950299,0.45550763,-1.4589175,-1.6014561,-1.7662324,-1.627558,-1.6014561,-1.6014561,-1.6014561,-1.590962,-1.590962,-1.3876409,6,6,3,3,1,6,4,1,3,6,6,7,3,4,6,5,3,4,2,2,0.39751531,0.72966937
-18.90202,0.95568549,0.44533704,2,3,0,19.178885,0.38420053,-1.4851279,-1.5649196,-1.8784581,-1.5861909,-1.5649196,-1.5649196,-1.5649196,-1.6875137,-1.6875137,-1.4346878,6,8,2,4,7,5,4,1,4,7,4,7,1,6,7,3,5,4,6,7,0.35033492,0.84536341
-18.965288,0.99146628,0.55497769,1,1,0,19.005614,0.37273126,-1.490371,-1.5601779,-1.8966868,-1.5805295,-1.5601779,-1.5601779,-1.5601779,-1.7038754,-1.7038754,-1.4426826,8,8,1,3,8,7,5,2,1,7,5,3,6,4,6,5,1,3,2,8,0.33848165,0.83307528
-18.965288,0.45378489,0.8660982,1,3,0,21.28339,0.37273126,-1.490371,-1.5601779,-1.8966868,-1.5805295,-1.5601779,-1.5601779,-1.5601779,-1.7038754,-1.7038754,-1.4426826,7,5,3,4,6,7,2,4,4,4,7,4,3,6,6,6,7,3,2,4,0.33848165,0.77486496
-18.934871,0.99655466,0.28088169,2,3,0,19.136865,0.3781339,-1.4878664,-1.5623731,-1.8880939,-1.5831622,-1.5623731,-1.5623731,-1.5623731,-1.6961397,-1.6961397,-1.4389021,8,5,5,6,7,7,5,3,1,6,6,7,6,5,7,6,2,6,4,7,0.34422207,0.54174337
-18.532084,0.99022244,0.48808247,2,3,0,19.136128,0.49886508,-1.4485322,-1.6298325,-1.6989076,-1.6579612,-1.6298325,-1.6298325,-1.6298325,-1.536704,-1.536704,-1.3613462,8,4,4,4,2,6,3,3,5,7,5,4,2,5,7,5,5,1,2,8,0.40545996,0.19108465
-18.532084,0.78311631,0.86190359,1,3,0,19.062517,0.49886508,-1.4485322,-1.6298325,-1.6989076,-1.6579612,-1.6298325,-1.6298325,-1.6298325,-1.536704,-1.536704,-1.3613462,7,7,2,5,6,8,2,2,2,6,5,5,3,4,8,4,5,5,2,7,0.40545996,0.5548591
-20.351712,0.51017912,0.80752388,1,3,0,20.585594,0.21868279,-1.5871764,-1.5253582,-2.1464982,-1.5309041,-1.5253582,-1.5253582,-1.5253582,-1.9454501,-1.9454501,-1.560986,6,6,2,3,4,7,7,2,3,5,5,2,5,4,4,4,6,6,1,7,0.024852381,0.39199132
