# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:28:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c5017519.json
# init = 2 (Default)
# random
#   seed = 455205316
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111028-1-78d6d1.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111028-1-53dbcc.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-21.369709,0.85941524,2,1,1,0,23.82621,0.15213186,-1.6437389,-1.5262805,-2.2574009,-1.5247238,-1.5262805,-1.5262805,-1.5262805,-2.062257,-2.062257,-1.6181341,5,6,5,2,4,2,4,5,3,6,5,3,5,5,5,5,4,7,4,5,-0.25627834,0.17153041
-21.369709,0,11.140786,0,1,1,21.517968,0.15213186,-1.6437389,-1.5262805,-2.2574009,-1.5247238,-1.5262805,-1.5262805,-1.5262805,-2.062257,-2.062257,-1.6181341,6,7,2,3,7,5,2,1,1,8,5,5,3,7,4,4,5,4,5,8,-0.25627834,0.88281017
-20.374216,0.7952355,1.7454459,1,3,0,20.381177,0.81998375,-1.5251186,-2.0122841,-1.2203315,-2.0157046,-2.0122841,-2.0122841,-2.0122841,-1.2540408,-1.2540408,-1.2294859,6,8,1,4,3,7,2,1,2,5,6,7,1,5,6,7,2,2,1,8,-0.12141944,0.56989672
-19.28511,1,1.3722582,1,1,0,20.498138,0.72627109,-1.4712542,-1.8651602,-1.3564962,-1.8857173,-1.8651602,-1.8651602,-1.8651602,-1.3124122,-1.3124122,-1.2552792,5,7,3,7,6,3,5,4,6,6,7,6,2,3,4,5,2,4,1,7,0.17631049,0.10167201
-20.136121,0.16556841,2.1052713,2,3,0,20.138192,0.80361947,-1.5135094,-1.9841071,-1.2439106,-1.9913546,-1.9841071,-1.9841071,-1.9841071,-1.2625644,-1.2625644,-1.2331284,7,6,2,7,7,6,2,2,2,6,2,5,1,5,6,5,1,1,4,7,-0.05457098,0.56417015
-20.784776,0.9965261,0.29675695,3,7,0,20.80783,0.84476717,-1.5446206,-2.0571217,-1.1847783,-2.0539671,-2.0571217,-2.0571217,-2.0571217,-1.2425845,-1.2425845,-1.2247077,7,4,1,4,6,5,1,1,5,6,4,8,5,2,5,8,2,1,1,5,-0.23976392,0.71579052
-18.955936,1,0.49262577,2,3,0,20.635136,0.68135415,-1.455506,-1.8060058,-1.4227543,-1.8312379,-1.8060058,-1.8060058,-1.8060058,-1.3480408,-1.3480408,-1.271637,6,7,2,6,6,4,3,1,5,2,3,7,5,5,8,7,2,3,4,5,0.26441143,0.5615075
-19.484308,0.91970064,0.87335624,2,3,0,19.622529,0.30022266,-1.5298994,-1.5372073,-2.0130998,-1.5510519,-1.5372073,-1.5372073,-1.5372073,-1.8125528,-1.8125528,-1.4958748,6,4,4,7,4,3,4,2,8,6,6,3,2,4,3,8,5,4,2,8,0.23153551,0.14603526
-19.18153,1,1.2426369,1,3,0,19.270221,0.71360708,-1.4661936,-1.847782,-1.375111,-1.8698598,-1.847782,-1.847782,-1.847782,-1.3219845,-1.3219845,-1.2596421,8,6,3,5,6,3,3,1,3,5,3,5,3,6,8,7,3,3,5,8,0.20394614,0.50812852
-19.18153,0.0012137846,2.313427,1,3,0,19.189491,0.71360708,-1.4661936,-1.847782,-1.375111,-1.8698598,-1.847782,-1.847782,-1.847782,-1.3219845,-1.3219845,-1.2596421,5,8,2,4,6,7,5,3,3,5,7,6,2,6,4,8,3,2,2,5,0.20394614,0.67488066
-19.100787,0.99774887,0.1846514,3,11,0,19.697399,0.35070493,-1.5012207,-1.5519301,-1.9318351,-1.5704232,-1.5519301,-1.5519301,-1.5519301,-1.7359354,-1.7359354,-1.4583607,6,6,5,2,6,6,1,3,1,6,7,6,5,4,6,1,3,3,3,8,0.3120814,0.53625966
-18.513781,0.99641769,0.34641091,2,5,0,19.298023,0.53761284,-1.4429626,-1.659331,-1.6393102,-1.6885492,-1.659331,-1.659331,-1.659331,-1.491153,-1.491153,-1.3393903,8,7,1,6,5,8,3,2,4,8,5,6,5,5,8,5,1,7,1,3,0.39979013,0.72654812
-20.5711,0.50767228,0.64956442,2,5,0,21.873183,0.20229878,-1.6002893,-1.5247129,-2.1736292,-1.5285218,-1.5247129,-1.5247129,-1.5247129,-1.9735104,-1.9735104,-1.5747258,5,3,2,5,6,3,3,2,5,5,4,7,1,4,4,8,4,7,5,6,-0.032271269,0.29511763
-20.668426,0.99925524,0.26292377,1,1,0,20.677441,0.19543457,-1.6059412,-1.5246127,-2.185029,-1.5276904,-1.5246127,-1.5246127,-1.5246127,-1.9854015,-1.9854015,-1.5805465,5,5,2,5,6,7,4,4,1,4,4,8,4,4,8,5,3,6,6,5,-0.05822316,0.77545998
-20.764053,0.99766484,0.49926077,1,1,0,20.882216,0.18891364,-1.6113967,-1.5246103,-2.195877,-1.5269917,-1.5246103,-1.5246103,-1.5246103,-1.9967718,-1.9967718,-1.5861111,8,6,1,1,8,7,1,2,1,8,6,6,5,6,7,4,4,6,5,5,-0.084086577,0.98026764
-20.764053,0.77824318,0.93867553,1,3,0,24.32533,0.18891364,-1.6113967,-1.5246103,-2.195877,-1.5269917,-1.5246103,-1.5246103,-1.5246103,-1.9967718,-1.9967718,-1.5861111,7,6,1,7,8,8,1,3,1,7,5,3,3,4,6,8,2,4,4,6,-0.084086577,0.82018507
