# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:28:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c5da79c68.json
# init = 2 (Default)
# random
#   seed = 1101161636
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111028-2-276800.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111028-2-98d56a.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-18.522957,1,1,1,1,0,18.736873,0.50788984,-1.4469169,-1.6363477,-1.6849791,-1.6647954,-1.6363477,-1.6363477,-1.6363477,-1.5258438,-1.5258438,-1.3561003,6,5,2,3,8,7,2,7,6,8,6,6,3,6,7,7,1,1,4,5,0.40521608,0.60683068
-18.522957,3.1720194e-51,14.38551,1,3,0,18.773521,0.50788984,-1.4469169,-1.6363477,-1.6849791,-1.6647954,-1.6363477,-1.6363477,-1.6363477,-1.5258438,-1.5258438,-1.3561003,4,6,3,1,6,4,1,2,2,8,7,6,3,3,7,4,1,4,2,6,0.40521608,0.684946
-18.522957,0.26355735,2.4311673,2,3,0,18.523727,0.50788984,-1.4469169,-1.6363477,-1.6849791,-1.6647954,-1.6363477,-1.6363477,-1.6363477,-1.5258438,-1.5258438,-1.3561003,6,4,4,7,4,5,6,5,3,8,8,5,4,3,6,6,2,1,3,6,0.40521608,0.47455599
-18.573106,0.97234905,0.48399229,3,7,0,18.881182,0.58787518,-1.4411931,-1.7037017,-1.5627865,-1.7331251,-1.7037017,-1.7037017,-1.7037017,-1.4363426,-1.4363426,-1.3131699,7,7,1,2,5,6,5,1,1,7,7,7,3,4,8,7,1,3,4,6,0.37408982,0.94506473
-18.51307,0.93134456,0.63637451,2,3,0,19.044995,0.52973731,-1.4438042,-1.6530108,-1.6513804,-1.6820684,-1.6530108,-1.6530108,-1.6530108,-1.5001826,-1.5001826,-1.3437323,4,8,3,5,6,4,3,4,4,8,7,5,1,2,7,6,6,7,7,6,0.40192161,0.72960286
-18.531804,0.99461151,0.83510915,1,3,0,18.532567,0.56304093,-1.4412795,-1.6808952,-1.6004868,-1.7104019,-1.6808952,-1.6808952,-1.6808952,-1.4628091,-1.4628091,-1.3257995,6,7,4,6,7,7,4,3,2,6,4,4,2,5,4,6,1,7,2,1,0.38944077,0.77109297
-20.962,0.14425026,1.4172182,1,1,0,21.03076,0.176073,-1.6223847,-1.524869,-2.2172903,-1.5258766,-1.524869,-1.524869,-1.524869,-2.0193721,-2.0193721,-1.5971681,6,3,4,3,6,8,2,2,8,7,5,3,4,3,6,6,5,2,3,6,-0.13877046,0.58498151
-20.955971,1,0.17820311,1,1,0,20.980305,0.17645161,-1.6220561,-1.5248564,-2.2166579,-1.5259046,-1.5248564,-1.5248564,-1.5248564,-2.0187017,-2.0187017,-1.5968402,7,1,1,5,8,7,2,6,1,5,4,7,8,3,5,5,5,6,2,6,-0.13708212,0.50430644
-20.017709,0.99838985,0.32136719,1,3,0,21.3815,0.24642261,-1.5661921,-1.5277645,-2.1008144,-1.5362113,-1.5277645,-1.5277645,-1.5277645,-1.8989758,-1.8989758,-1.5382201,4,6,4,3,5,5,7,3,4,7,5,1,4,6,5,5,3,2,2,7,0.10812862,0.26219684
-20.503339,0.97194294,0.59137706,1,1,0,20.543102,0.20722002,-1.5962947,-1.5248465,-2.1654682,-1.5291785,-1.5248465,-1.5248465,-1.5248465,-1.9650343,-1.9650343,-1.570576,6,6,2,7,4,8,2,3,4,8,7,7,6,4,4,6,3,3,5,5,-0.014424247,0.27617957
