# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:29:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c623b1bab.json
# init = 2 (Default)
# random
#   seed = 1124694038
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111029-1-1c94f4.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111029-1-86f47a.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-19.821482,1,1,1,1,0,20.565757,0.77912212,-1.4979318,-1.9439582,-1.279364,-1.9562311,-1.9439582,-1.9439582,-1.9439582,-1.276688,-1.276688,-1.239281,4,5,5,2,8,8,6,4,2,8,4,6,1,3,7,4,3,3,1,6,0.032026665,0.61594639
-19.821482,7.8250715e-174,14.38551,1,3,0,20.130182,0.77912212,-1.4979318,-1.9439582,-1.279364,-1.9562311,-1.9439582,-1.9439582,-1.9439582,-1.276688,-1.276688,-1.239281,7,5,6,3,5,6,4,4,1,7,8,8,1,2,5,5,4,2,2,7,0.032026665,0.41460773
-19.821482,0.33461955,2.4311673,1,3,0,19.950485,0.77912212,-1.4979318,-1.9439582,-1.279364,-1.9562311,-1.9439582,-1.9439582,-1.9439582,-1.276688,-1.276688,-1.239281,6,5,4,4,3,5,5,5,1,5,5,7,3,7,8,8,2,2,1,7,0.032026665,0.33047624
-19.393391,1,0.58489243,2,3,0,19.800521,0.73846175,-1.4766004,-1.8824248,-1.338626,-1.9013568,-1.8824248,-1.8824248,-1.8824248,-1.3035591,-1.3035591,-1.2512691,2,6,2,4,5,4,3,4,5,6,8,7,3,5,7,8,2,2,2,7,0.14739876,0.57652164
-19.309737,1,0.84372347,1,1,0,19.614727,0.72913046,-1.472466,-1.8691621,-1.3523004,-1.8893524,-1.8691621,-1.8691621,-1.8691621,-1.3103036,-1.3103036,-1.2543218,8,7,1,2,7,7,1,1,4,7,8,5,2,2,5,7,3,3,2,5,0.16973888,0.65893382
-18.97016,1,1.3754815,1,1,0,18.985483,0.37188354,-1.4907697,-1.5598396,-1.8980361,-1.5801219,-1.5598396,-1.5598396,-1.5598396,-1.7050938,-1.7050938,-1.4432781,7,8,1,1,6,4,1,4,1,5,7,6,5,4,6,6,3,5,3,8,0.33755524,0.93328631
-18.97016,0.00060832144,2.4052511,1,3,0,18.970371,0.37188354,-1.4907697,-1.5598396,-1.8980361,-1.5801219,-1.5598396,-1.5598396,-1.5598396,-1.7050938,-1.7050938,-1.4432781,7,7,2,4,8,8,1,3,3,7,7,4,3,5,5,6,4,2,4,6,0.33755524,0.87425269
-18.54477,0.98517342,0.1951072,3,11,0,20.770719,0.57252413,-1.4410625,-1.6893976,-1.5860654,-1.718917,-1.6893976,-1.6893976,-1.6893976,-1.4525593,-1.4525593,-1.3209008,5,3,1,5,4,8,3,3,3,5,7,6,6,2,8,5,1,1,4,5,0.38420164,0.35389745
-18.54246,1,0.33612696,1,1,0,18.545646,0.57100353,-1.4410821,-1.6880172,-1.5883758,-1.7175382,-1.6880172,-1.6880172,-1.6880172,-1.4541909,-1.4541909,-1.32168,2,5,2,5,5,4,3,3,5,6,6,6,2,4,6,6,3,3,5,6,0.38509299,0.44134093
-18.518947,0.99861342,0.62182595,2,3,0,18.554879,0.54912583,-1.4420035,-1.6688739,-1.6217043,-1.6982673,-1.6688739,-1.6688739,-1.6688739,-1.4781656,-1.4781656,-1.3331552,6,6,3,1,8,8,1,4,6,3,3,7,1,4,4,3,2,3,2,8,0.39576482,0.39934526
-18.593554,0.94491905,1.1608129,1,1,0,18.595032,0.46449758,-1.4564116,-1.6069476,-1.752217,-1.6335331,-1.6069476,-1.6069476,-1.6069476,-1.5794312,-1.5794312,-1.3820421,5,7,1,8,8,6,3,3,2,7,7,8,3,5,8,8,3,2,3,3,0.40041067,0.27506654
-18.593554,0.26371867,1.8391764,2,3,0,18.606411,0.46449758,-1.4564116,-1.6069476,-1.752217,-1.6335331,-1.6069476,-1.6069476,-1.6069476,-1.5794312,-1.5794312,-1.3820421,6,4,6,4,6,4,2,4,5,2,8,6,3,5,5,8,1,7,1,6,0.40041067,0.45676875
-19.115745,0.95969983,0.341491,2,5,0,19.738412,0.70495265,-1.4630191,-1.8362262,-1.3878619,-1.8592492,-1.8362262,-1.8362262,-1.8362262,-1.3287422,-1.3287422,-1.2627373,3,4,1,5,6,6,3,5,3,7,6,8,4,2,7,8,4,2,6,6,0.2215154,0.24436811
-18.513032,0.98385878,0.57189226,1,3,0,19.366023,0.53081807,-1.4436798,-1.6538683,-1.6497227,-1.6829498,-1.6538683,-1.6538683,-1.6538683,-1.4989365,-1.4989365,-1.3431327,6,8,4,6,6,3,1,6,5,5,5,6,3,6,6,4,3,2,4,1,0.40165886,0.25181916
