# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:29:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c27fed6f7.json
# init = 2 (Default)
# random
#   seed = 170204203
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111029-1-41608b.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111029-1-0370f7.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-17.868309,0.49001889,1,1,1,0,18.114413,0.39894248,-1.5468523,-1.8551011,-1.4746061,-1.5307439,-1.1077099,-1.8670218,-1.5511234,-1.4245834,-1.5468523,-1.1077099,8,1,5,1,5,4,2,5,8,8,8,3,2,3,4,2,3,6,5,4,0.3637568,0.39447365
-17.868309,0,5.6915526,0,1,1,17.892333,0.39894248,-1.5468523,-1.8551011,-1.4746061,-1.5307439,-1.1077099,-1.8670218,-1.5511234,-1.4245834,-1.5468523,-1.1077099,5,5,4,1,8,4,2,6,7,8,5,2,3,6,8,1,3,3,8,7,0.3637568,0.54153406
-18.251606,0.99205665,0.73076346,3,7,0,18.573285,0.97851804,-0.34762393,-0.99608585,-1.5028035,-1.7908767,-0.33406266,-1.3734627,-2.2845163,-1.2159726,-0.34762393,-0.33406266,7,2,2,3,7,2,5,6,4,7,8,1,2,1,8,2,6,5,8,7,-2.0704982,0.62772425
-16.44246,0.98339938,0.86640546,1,3,0,18.21926,0.93867001,-0.42359026,-1.0517509,-1.4896747,-1.7499294,-0.38451068,-1.3983302,-2.2116811,-1.2153362,-0.42359026,-0.38451068,8,3,3,6,7,3,7,6,7,7,8,1,5,8,8,1,4,6,7,7,-1.0630182,0.80953202
-15.502102,1,1.2262271,1,1,0,16.174267,0.87254851,-0.55155573,-1.1451469,-1.4712061,-1.6898844,-0.4690591,-1.4428109,-2.0986603,-1.2204506,-0.55155573,-0.4690591,8,1,2,7,8,2,6,8,6,7,8,4,2,5,8,2,6,7,8,8,-0.404597,0.72803078
-15.502102,0.18440606,2.0318348,1,1,0,15.502535,0.87254851,-0.55155573,-1.1451469,-1.4712061,-1.6898844,-0.4690591,-1.4428109,-2.0986603,-1.2204506,-0.55155573,-0.4690591,7,2,2,4,6,5,6,7,6,8,8,1,2,5,8,3,6,8,8,8,-0.404597,0.69520061
-15.380603,0.99863121,0.29554894,1,3,0,15.5969,0.85282101,-0.59020803,-1.173265,-1.4665124,-1.673836,-0.49449016,-1.4568361,-2.0667822,-1.2233518,-0.59020803,-0.49449016,5,3,6,7,8,4,6,7,8,8,6,3,3,5,8,1,4,8,7,7,-0.28355196,0.76141882
-15.558151,0.9034617,0.51733631,1,3,0,17.129493,0.66647414,-0.96666686,-1.4448495,-1.4416026,-1.5630851,-0.73955246,-1.6055195,-1.8054899,-1.2775877,-0.96666686,-0.73955246,6,2,4,5,8,5,3,4,8,6,5,2,2,5,6,3,5,6,7,5,0.28797065,0.34773175
-15.400461,1,0.69593163,1,1,0,15.5319,0.70262038,-0.89198283,-1.3913023,-1.4435931,-1.5788827,-0.69131714,-1.574454,-1.850673,-1.263587,-0.89198283,-0.69131714,8,1,1,4,8,3,3,4,7,8,7,2,1,6,7,2,6,6,8,8,0.22607516,0.40233739
-15.400461,0.067787867,1.2919941,2,3,0,18.965807,0.70262038,-0.89198283,-1.3913023,-1.4435931,-1.5788827,-0.69131714,-1.574454,-1.850673,-1.263587,-0.89198283,-0.69131714,8,3,5,3,6,5,3,6,5,8,8,3,1,3,7,6,8,6,7,7,0.22607516,0.50663875
