# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:29:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8ccaec872.json
# init = 2 (Default)
# random
#   seed = 1095936549
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111029-1-69ebfe.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111029-1-8773e7.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-16.820544,0.0036751523,2,2,3,0,16.936847,0.49532651,-1.3320005,-1.7043768,-1.4524192,-1.5250523,-0.97274289,-1.766504,-1.6265167,-1.3634247,-1.3320005,-0.97274289,5,2,1,5,6,3,3,1,6,5,5,5,3,2,7,4,1,7,3,3,0.40537774,0.062970986
-16.820544,0.19321125,2.3507202,2,3,0,17.601852,0.49532651,-1.3320005,-1.7043768,-1.4524192,-1.5250523,-0.97274289,-1.766504,-1.6265167,-1.3634247,-1.3320005,-0.97274289,8,1,3,3,5,2,3,8,8,7,8,1,2,3,8,3,4,6,8,7,0.40537774,0.75898143
-16.855692,0.99938802,0.36619644,2,3,0,16.937641,0.49169108,-1.3399804,-1.7100004,-1.4530337,-1.5249073,-0.97778477,-1.7701678,-1.6233389,-1.3655728,-1.3399804,-0.97778477,6,3,3,7,7,2,3,6,8,6,6,3,1,7,8,4,2,8,7,6,0.40518892,0.4114063
-15.589428,1,0.40455213,2,3,0,16.759218,0.66028848,-0.97953084,-1.454056,-1.4414049,-1.5606529,-0.74784155,-1.61094,-1.7980178,-1.2801372,-0.97953084,-0.74784155,7,5,4,3,5,4,3,6,7,7,7,1,1,5,7,5,7,8,8,4,0.29702253,0.48374427
-15.479084,0.99248364,0.5682452,3,7,0,15.843241,0.86933741,-0.55783224,-1.1497158,-1.4704163,-1.6872144,-0.47319208,-1.4450706,-2.0934146,-1.2208816,-0.55783224,-0.47319208,8,1,2,4,6,1,3,5,8,6,7,1,2,3,7,2,2,7,7,6,-0.38340139,0.26359634
-15.256399,1,0.89041195,1,3,0,15.425487,0.81547531,-0.66399064,-1.2268194,-1.458675,-1.6457595,-0.54289645,-1.4843108,-2.0086964,-1.2304514,-0.66399064,-0.54289645,5,3,2,5,6,3,5,5,5,8,7,4,5,5,7,5,6,6,7,8,-0.10219668,0.58647147
-15.791117,0.69362976,1.5388671,1,1,0,15.85984,0.9022303,-0.49381286,-1.1030611,-1.4789791,-1.7156366,-0.43097488,-1.4223564,-2.1482065,-1.2172494,-0.49381286,-0.43097488,7,1,6,8,8,5,4,8,6,7,8,2,4,6,8,3,5,7,8,8,-0.63626657,0.89947173
-15.824332,0.99278681,1.0713404,2,3,0,16.200452,0.61955051,-1.0648711,-1.5150076,-1.4411686,-1.5466118,-0.80268825,-1.6473932,-1.7506951,-1.298011,-1.0648711,-0.80268825,8,3,2,2,8,6,2,7,6,8,5,2,2,6,7,4,7,8,8,8,0.34659656,0.56134643
-15.824332,0.1017084,1.9217151,1,1,0,15.858671,0.61955051,-1.0648711,-1.5150076,-1.4411686,-1.5466118,-0.80268825,-1.6473932,-1.7506951,-1.298011,-1.0648711,-0.80268825,4,2,1,4,8,4,4,6,8,8,7,1,3,5,8,6,3,8,7,7,0.34659656,0.58100631
-15.458688,0.98858296,0.21015928,4,15,0,17.39433,0.68805591,-0.9219759,-1.4128267,-1.4426206,-1.5721915,-0.71071126,-1.5868456,-1.8321545,-1.2690419,-0.9219759,-0.71071126,8,5,3,7,6,3,3,8,6,7,7,2,4,4,7,4,4,5,6,6,0.25294299,0.68321391
-15.262112,0.93940006,0.37950075,2,5,0,16.929271,0.81843822,-0.65810742,-1.2225549,-1.4592462,-1.6478777,-0.53904335,-1.4820874,-2.0131977,-1.2298136,-0.65810742,-0.53904335,5,4,1,6,7,7,2,8,6,6,8,3,4,4,6,4,6,7,6,8,-0.11475718,0.17478384
-15.231715,0.9999524,0.59163474,3,7,0,15.259213,0.79090303,-0.71298045,-1.2622909,-1.4542772,-1.6289134,-0.57493623,-1.5030372,-1.9720697,-1.2362191,-0.71298045,-0.57493623,6,1,3,4,8,4,2,6,8,8,7,2,4,3,8,2,6,7,5,8,-0.0077775979,0.79168598
-15.252379,0.99013785,1.1200026,1,1,0,15.252505,0.81316533,-0.66858095,-1.230146,-1.4582357,-1.6441211,-0.54590198,-1.4860495,-2.0051998,-1.2309573,-0.66858095,-0.54590198,7,4,4,2,8,3,3,6,7,8,7,1,1,2,8,3,3,8,7,6,-0.092592531,0.56640279
-15.261977,0.98556774,2.0526688,1,1,0,15.304883,0.81837186,-0.65823913,-1.2226504,-1.4592333,-1.64783,-0.53912963,-1.4821371,-2.0130967,-1.2298277,-0.65823913,-0.53912963,7,5,1,4,8,5,2,7,6,5,7,5,1,5,8,2,5,8,8,8,-0.11447284,0.21927649
-15.261977,9.413642e-09,3.6930172,1,1,0,15.303719,0.81837186,-0.65823913,-1.2226504,-1.4592333,-1.64783,-0.53912963,-1.4821371,-2.0130967,-1.2298277,-0.65823913,-0.53912963,8,2,6,3,8,2,6,5,8,5,5,2,5,6,8,2,7,8,7,7,-0.11447284,0.7065217
-15.378691,0.99035463,0.3116158,2,5,0,15.736619,0.70861345,-0.87967978,-1.3824653,-1.4440595,-1.581764,-0.68335288,-1.5694046,-1.8584161,-1.2614168,-0.87967978,-0.68335288,8,6,2,7,8,2,6,5,8,4,7,2,5,4,8,1,4,8,6,6,0.21420981,0.50138129
-15.309377,1,0.57335528,2,3,0,15.368344,0.7309889,-0.83394309,-1.3495748,-1.4461382,-1.5931817,-0.65370061,-1.550809,-1.887962,-1.2537051,-0.83394309,-0.65370061,8,1,2,5,5,7,6,7,6,8,8,3,3,3,8,1,4,6,8,7,0.16539984,0.6387634
-15.409526,0.94746461,1.0786794,1,1,0,15.452447,0.70022462,-0.89690734,-1.3948382,-1.4434175,-1.5777518,-0.69450353,-1.5764806,-1.8475977,-1.2644668,-0.89690734,-0.69450353,8,2,4,2,4,2,6,7,8,8,7,4,4,5,8,7,5,7,8,8,0.23068355,0.84635012
-15.409526,0.19425022,1.7158337,1,1,0,15.675783,0.70022462,-0.89690734,-1.3948382,-1.4434175,-1.5777518,-0.69450353,-1.5764806,-1.8475977,-1.2644668,-0.89690734,-0.69450353,7,2,4,6,7,4,7,8,7,8,7,2,6,5,8,5,1,7,6,5,0.23068355,0.66446715
-15.707018,0.98164455,0.28169744,1,3,0,16.025808,0.63883519,-1.0243375,-1.4860849,-1.4410482,-1.5528308,-0.77666916,-1.6299742,-1.772689,-1.2893179,-1.0243375,-0.77666916,8,5,1,3,6,4,4,6,6,4,8,4,3,2,8,6,5,5,7,6,0.3252298,0.12176778
-16.308166,0.94595156,0.49856683,2,3,0,16.543316,0.55297703,-1.2067071,-1.6158253,-1.4448866,-1.5310612,-0.89328916,-1.7097507,-1.6803822,-1.3310996,-1.2067071,-0.89328916,6,1,4,3,6,4,4,4,6,7,5,5,3,4,8,5,5,8,8,8,0.39417536,0.4830699
-15.872804,1,0.78706483,2,3,0,16.29875,0.61205308,-1.0806958,-1.5262859,-1.4413296,-1.5444017,-0.812831,-1.6542439,-1.742342,-1.3015012,-1.0806958,-0.812831,8,2,3,4,6,3,6,6,6,7,6,2,3,7,8,3,4,8,8,8,0.35393644,0.62656431
-15.317463,1,1.4453399,1,1,0,15.608764,0.72801441,-0.84000527,-1.3539378,-1.4458314,-1.5916037,-0.65763496,-1.5532576,-1.8839763,-1.2546943,-0.84000527,-0.65763496,4,4,4,3,6,4,2,7,8,7,6,4,4,7,8,2,7,7,6,4,0.17231885,0.27757766
-15.317463,0.05427052,2.62772,1,1,0,15.813769,0.72801441,-0.84000527,-1.3539378,-1.4458314,-1.5916037,-0.65763496,-1.5532576,-1.8839763,-1.2546943,-0.84000527,-0.65763496,5,3,2,3,6,4,3,8,7,4,7,2,6,3,5,6,6,6,6,6,0.17231885,0.42268963
-15.231388,0.99102492,0.30990714,2,7,0,15.722915,0.78426897,-0.72626794,-1.2718998,-1.4531944,-1.6245849,-0.58361246,-1.5081802,-1.9623954,-1.23792,-0.72626794,-0.58361246,6,3,1,1,5,5,4,5,6,6,8,4,1,5,8,5,3,6,8,8,0.015033361,0.5077176
-15.660561,0.9489115,0.55099531,3,7,0,16.0603,0.89069868,-0.51618795,-1.1193805,-1.4758584,-1.705401,-0.44574548,-1.4302099,-2.1287298,-1.2183232,-0.51618795,-0.44574548,8,4,3,2,5,2,6,7,8,7,8,2,1,6,8,1,3,5,7,8,-0.53763639,0.62607404
-15.899572,0.9626588,0.86115012,1,1,0,15.931671,0.91029165,-0.47821505,-1.0916763,-1.4812364,-1.722967,-0.42066838,-1.4169373,-2.1619951,-1.21663,-0.47821505,-0.42066838,8,4,2,1,7,1,4,5,7,8,8,1,4,5,8,3,3,7,8,7,-0.71342216,0.61173734
-15.234159,1,1.3884704,1,1,0,15.51637,0.79680117,-0.70118885,-1.2537594,-1.4552773,-1.63284,-0.56723179,-1.4984958,-1.9807471,-1.2347576,-0.70118885,-0.56723179,3,1,1,4,6,3,7,6,8,6,7,1,2,2,8,1,7,4,7,8,-0.028960966,0.37402262
-15.234159,0.0026551245,2.4642404,1,1,0,17.73807,0.79680117,-0.70118885,-1.2537594,-1.4552773,-1.63284,-0.56723179,-1.4984958,-1.9807471,-1.2347576,-0.70118885,-0.56723179,6,2,6,4,8,6,5,4,5,7,8,2,5,7,8,2,4,7,7,5,-0.028960966,0.59162024
-15.84552,0.94174007,0.27573245,4,15,0,19.070865,0.90641889,-0.48570391,-1.0971432,-1.4801442,-1.7194274,-0.42561777,-1.4195334,-2.1553531,-1.216914,-0.48570391,-0.42561777,7,1,2,5,5,3,2,8,8,8,8,2,3,6,7,4,5,8,8,6,-0.67542103,0.7958088
-15.97174,0.99570061,0.41885386,1,1,0,15.971742,0.9150728,-0.46898101,-1.0849331,-1.4826045,-1.7273831,-0.41456304,-1.4137509,-2.1702408,-1.2163145,-0.46898101,-0.41456304,7,5,3,1,4,2,6,3,3,5,7,3,2,6,8,3,8,6,8,8,-0.762953,0.28956827
-15.341294,0.94078819,0.73161886,1,3,0,16.838611,0.71990519,-0.85656004,-1.365847,-1.4450422,-1.5873956,-0.66837263,-1.5599696,-1.8732007,-1.2574474,-0.85656004,-0.66837263,5,5,3,2,5,3,3,4,7,8,4,2,4,5,7,4,6,7,7,7,0.19049658,0.26393155
-15.381614,0.89771987,1.0921709,2,3,0,15.585882,0.85302135,-0.5898144,-1.1729789,-1.4665582,-1.6739948,-0.49423142,-1.456692,-2.0671017,-1.2233193,-0.5898144,-0.49423142,8,3,1,4,8,5,3,7,8,7,8,3,5,5,8,2,6,8,6,8,-0.28467917,0.71265362
-15.381614,0.96296241,1.4437249,1,1,0,15.517013,0.85302135,-0.5898144,-1.1729789,-1.4665582,-1.6739948,-0.49423142,-1.456692,-2.0671017,-1.2233193,-0.5898144,-0.49423142,8,2,3,5,8,4,4,8,7,8,7,1,4,7,8,2,4,8,3,7,-0.28467917,0.66008588
-15.381614,0.069111271,2.2584744,1,1,0,15.381713,0.85302135,-0.5898144,-1.1729789,-1.4665582,-1.6739948,-0.49423142,-1.456692,-2.0671017,-1.2233193,-0.5898144,-0.49423142,8,7,5,3,8,3,4,5,8,8,8,2,3,6,7,5,4,4,4,8,-0.28467917,0.68069809
-15.535249,0.97859194,0.33445208,2,5,0,16.465655,0.67116323,-0.95693158,-1.4378789,-1.4417805,-1.5649816,-0.73327562,-1.6014307,-1.8112047,-1.2756846,-0.95693158,-0.73327562,5,5,6,4,8,6,8,7,8,7,5,2,3,2,8,3,1,8,7,8,0.28082277,0.32886694
-16.248314,0.87155035,0.54735679,2,5,0,16.934458,0.93023057,-0.43978913,-1.0635996,-1.4870855,-1.7417218,-0.39524346,-1.4037867,-2.1967174,-1.2155741,-0.43978913,-0.39524346,4,3,3,2,8,5,5,6,8,8,8,1,2,3,8,3,4,8,7,8,-0.94312269,0.45361591
-16.068813,1,0.67377388,1,1,0,16.268726,0.92090442,-0.45773516,-1.0767174,-1.4843026,-1.7328386,-0.40712373,-1.4098926,-2.1803666,-1.2159826,-0.45773516,-0.40712373,5,1,3,2,8,6,6,7,7,8,7,2,3,3,8,4,5,7,8,8,-0.82773789,0.3290357
-16.702536,0.8860658,1.1497938,1,1,0,16.823087,0.94798193,-0.40576158,-1.0387015,-1.4926095,-1.7591727,-0.37268801,-1.392386,-2.2283779,-1.2152217,-0.40576158,-0.37268801,5,3,5,6,8,4,4,3,6,8,8,1,5,4,8,1,4,8,8,8,-1.2178245,0.23192824
-16.700994,1,1.4555834,1,1,0,17.322912,0.94793226,-0.40585656,-1.038771,-1.4925936,-1.7591229,-0.37275102,-1.3924174,-2.2282883,-1.2152219,-0.40585656,-0.37275102,8,1,1,2,7,2,5,8,5,8,8,3,2,5,5,4,7,8,8,6,-1.2169225,0.91163482
-16.700994,0.0036593593,2.4494285,1,3,0,16.794927,0.94793226,-0.40585656,-1.038771,-1.4925936,-1.7591229,-0.37275102,-1.3924174,-2.2282883,-1.2152219,-0.40585656,-0.37275102,6,2,2,4,6,6,3,5,7,8,8,2,1,1,8,2,4,8,7,8,-1.2169225,0.15145106
-18.363171,0.98344247,0.33509883,3,7,0,18.817483,0.97977252,-0.34524615,-0.99434088,-1.5032409,-1.7922252,-0.33248055,-1.3727042,-2.2868685,-1.2160414,-0.34524615,-0.33248055,7,3,4,3,6,1,7,6,6,8,7,2,4,6,8,2,4,8,7,7,-2.1293887,0.57581547
