# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:29:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c4bc4610e.json
# init = 2 (Default)
# random
#   seed = 1700143546
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111029-1-8076c5.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111029-1-954ae3.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-16.073373,0.91413821,0.5,2,5,0,16.499904,0.92116334,-0.4572363,-1.0763529,-1.4843788,-1.7330826,-0.40679362,-1.409722,-2.1808179,-1.2159692,-0.4572363,-0.40679362,6,2,6,5,8,1,3,7,7,8,8,3,4,5,7,1,5,6,5,8,-0.83073557,0.50229665
-16.073373,5.3108094e-86,12.306273,1,2,1,16.139233,0.92116334,-0.4572363,-1.0763529,-1.4843788,-1.7330826,-0.40679362,-1.409722,-2.1808179,-1.2159692,-0.4572363,-0.40679362,5,2,2,6,7,8,3,5,3,7,7,1,5,8,8,1,3,8,8,7,-0.83073557,0.2123792
-16.073373,0.014350564,1.9857434,1,1,0,16.151525,0.92116334,-0.4572363,-1.0763529,-1.4843788,-1.7330826,-0.40679362,-1.409722,-2.1808179,-1.2159692,-0.4572363,-0.40679362,7,2,1,1,8,2,4,5,6,8,7,2,4,5,7,3,5,5,8,8,-0.83073557,0.37195073
-15.600982,0.99893725,0.19818757,2,7,0,16.408459,0.88454194,-0.52816438,-1.1281097,-1.4742446,-1.7000565,-0.45364473,-1.4344516,-2.1184499,-1.2189855,-0.52816438,-0.45364473,6,1,1,3,8,3,6,8,7,7,7,1,5,6,8,4,4,7,5,5,-0.48977379,0.68905605
-15.352387,0.99410379,0.26359524,2,7,0,16.285648,0.71639974,-0.86372895,-1.3710016,-1.4447226,-1.5856189,-0.67301961,-1.5628876,-1.8685835,-1.2586629,-0.86372895,-0.67301961,6,3,1,3,7,3,4,8,8,6,8,2,5,1,8,2,6,8,8,7,0.19805294,0.19926358
-15.373305,0.99843331,0.40140205,1,1,0,15.375557,0.71015467,-0.87651948,-1.3801947,-1.4441856,-1.582517,-0.68130626,-1.5681107,-1.860419,-1.2608658,-0.87651948,-0.68130626,7,1,4,2,6,3,4,3,7,6,8,2,3,1,8,5,7,6,7,7,0.21107914,0.29279419
-15.271563,0.97098662,0.67572675,2,7,0,15.615501,0.82274325,-0.64956835,-1.2163635,-1.4600918,-1.6509888,-0.5334488,-1.4788701,-2.0197707,-1.2289094,-0.64956835,-0.5334488,7,2,1,2,8,5,5,1,6,8,8,2,3,2,7,5,5,6,8,7,-0.13350767,0.33479661
-15.977222,0.74744026,1.1002758,2,3,0,16.613118,0.91541949,-0.46831191,-1.0844444,-1.4827045,-1.7277053,-0.41412054,-1.4135207,-2.1708407,-1.2162932,-0.46831191,-0.41412054,7,4,1,3,3,6,1,6,8,7,8,1,2,5,7,6,8,8,8,8,-0.76666485,0.27096069
-15.268762,0.99279222,0.91308695,2,3,0,16.010643,0.82153126,-0.65197125,-1.218106,-1.4598519,-1.6501089,-0.53502336,-1.4797743,-2.0179163,-1.2291613,-0.65197125,-0.53502336,7,4,2,3,7,6,4,7,2,3,6,2,4,4,7,2,6,8,8,6,-0.12816764,0.36919885
-15.268762,0.16940474,1.6591716,1,1,0,16.857763,0.82153126,-0.65197125,-1.218106,-1.4598519,-1.6501089,-0.53502336,-1.4797743,-2.0179163,-1.2291613,-0.65197125,-0.53502336,6,3,2,5,8,1,2,7,6,6,8,1,2,5,7,2,4,6,8,8,-0.12816764,0.17539669
