# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:29:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c616b8988.json
# init = 2 (Default)
# random
#   seed = 798404414
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111029-2-7290f4.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111029-2-0314e7.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-19.814127,1,2,1,1,0,20.540071,0.99056716,-0.32482014,-0.97934428,-1.5070647,-1.8039805,-0.31888198,-1.3662394,-2.3072599,-1.2167616,-0.32482014,-0.31888198,6,3,4,3,6,2,3,8,7,8,8,6,4,3,8,2,7,8,7,8,-2.8812767,0.86465889
-19.814127,2.9653875e-19,14.38551,2,4,1,19.821083,0.99056716,-0.32482014,-0.97934428,-1.5070647,-1.8039805,-0.31888198,-1.3662394,-2.3072599,-1.2167616,-0.32482014,-0.31888198,5,5,2,3,8,1,7,8,8,8,8,3,3,1,8,3,5,6,7,8,-2.8812767,0.8451659
-19.814127,0.055871536,2.4311673,1,1,0,19.863722,0.99056716,-0.32482014,-0.97934428,-1.5070647,-1.8039805,-0.31888198,-1.3662394,-2.3072599,-1.2167616,-0.32482014,-0.31888198,8,1,4,5,8,2,4,7,7,8,7,1,5,2,8,4,4,6,8,8,-2.8812767,0.93808725
-19.932265,0.99981514,0.27828616,1,1,0,19.933336,0.9911252,-0.32376587,-0.97856992,-1.5072653,-1.8045957,-0.31817973,-1.3659083,-2.3083214,-1.2168051,-0.32376587,-0.31817973,7,1,3,5,8,1,8,7,7,5,8,1,7,6,7,3,5,7,7,8,-2.9416947,0.41857009
-18.992337,1,0.38026704,2,3,0,19.931428,0.9855245,-0.3343544,-0.98634571,-1.505265,-1.7984552,-0.3252311,-1.3692455,-2.2977003,-1.2163965,-0.3343544,-0.3252311,8,1,1,5,7,2,5,8,7,8,8,2,1,5,8,1,5,6,7,7,-2.4581193,0.90661001
-15.817255,1,0.59880859,3,7,0,18.690582,0.6206661,-1.0625196,-1.513331,-1.4411502,-1.5469506,-0.80118034,-1.6463776,-1.7519475,-1.2974969,-1.0625196,-0.80118034,5,2,1,5,5,6,5,7,6,7,8,3,3,4,7,3,6,7,5,8,0.34545899,0.36339218
-15.256744,1,1.023881,1,1,0,15.554668,0.75564015,-0.78391104,-1.3135248,-1.4490379,-1.6069705,-0.62118235,-1.5307947,-1.9216821,-1.2459402,-0.78391104,-0.62118235,8,3,2,5,7,5,1,6,6,8,6,3,5,1,6,4,5,6,8,8,0.10245612,0.22689233
-15.284335,0.56107989,1.8373586,1,3,0,15.291525,0.8277508,-0.6396494,-1.209169,-1.4610987,-1.6546576,-0.52694711,-1.4751477,-2.0274652,-1.2278915,-0.6396494,-0.52694711,8,5,2,1,8,3,3,3,7,7,6,2,2,3,4,1,2,5,8,8,-0.1560967,0.33379705
-15.462394,0.95830522,0.85309861,2,3,0,15.621614,0.86688319,-0.56263327,-1.1532098,-1.4698194,-1.6851889,-0.47635259,-1.4468037,-2.0894202,-1.2212219,-0.56263327,-0.47635259,7,4,3,3,8,3,7,6,7,7,7,3,2,4,7,2,2,6,7,7,-0.36761981,0.4098099
-15.600589,0.87909028,1.3897551,1,3,0,15.602435,0.65813659,-0.98401179,-1.4572618,-1.441346,-1.5598253,-0.75072758,-1.6128329,-1.7954361,-1.2810344,-0.98401179,-0.75072758,7,3,1,2,4,5,4,7,7,7,8,2,2,6,8,2,5,7,7,6,0.30007268,0.33476229
-15.82972,0.70343421,1.7797875,1,1,0,16.603574,0.61870488,-1.0666541,-1.5162787,-1.4411836,-1.5463567,-0.80383148,-1.6481637,-1.7497474,-1.2984016,-1.0666541,-0.80383148,5,1,2,3,8,4,3,5,3,6,7,7,1,8,6,4,5,8,8,8,0.34745097,0.33320773
-16.722427,0.61908907,1.3144663,2,3,0,16.998558,0.94861729,-0.40454683,-1.037812,-1.4928127,-1.7598106,-0.3718821,-1.3919833,-2.2295243,-1.2152197,-0.40454683,-0.3718821,3,4,1,3,7,5,3,1,4,8,7,3,5,4,8,6,6,6,8,8,-1.2294439,0.22898994
-16.929844,0.97616296,0.74812616,2,7,0,16.940886,0.48413297,-1.3566014,-1.7217072,-1.4543654,-1.5246952,-0.98827904,-1.777817,-1.6168155,-1.3700793,-1.3566014,-0.98827904,8,4,2,7,8,4,5,8,8,7,8,6,1,3,8,3,3,8,5,7,0.40445755,0.67154604
-15.489102,1,1.3146822,1,1,0,15.960453,0.87075845,-0.55505392,-1.1476935,-1.4707646,-1.6883932,-0.47136276,-1.4440695,-2.0957333,-1.2206889,-0.55505392,-0.47136276,7,7,1,2,5,6,3,8,7,5,8,3,5,2,8,3,6,7,8,6,-0.39270332,0.43848642
