# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:29:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c64107134.json
# init = 2 (Default)
# random
#   seed = 764843922
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111029-2-8bdde7.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111029-2-644bbb.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-18.922573,1,1,1,1,0,19.862414,0.3803754,-1.4868455,-1.5633039,-1.884532,-1.5842723,-1.5633039,-1.5633039,-1.5633039,-1.6929451,-1.6929451,-1.4373412,8,4,2,6,6,4,3,4,6,7,4,4,3,6,7,4,1,1,1,6,0.34652138,0.53479419
-18.922573,0,14.38551,0,1,1,19.230803,0.3803754,-1.4868455,-1.5633039,-1.884532,-1.5842723,-1.5633039,-1.5633039,-1.5633039,-1.6929451,-1.6929451,-1.4373412,7,5,3,2,6,5,4,4,4,6,6,8,3,7,4,6,2,4,3,7,0.34652138,0.18143819
-18.922573,0.0013673774,2.4311673,1,3,0,18.954475,0.3803754,-1.4868455,-1.5633039,-1.884532,-1.5842723,-1.5633039,-1.5633039,-1.5633039,-1.6929451,-1.6929451,-1.4373412,4,2,1,5,4,4,1,2,2,8,5,7,7,3,8,4,2,4,5,7,0.34652138,0.42139047
-18.935169,0.99896435,0.24066671,3,9,0,19.050029,0.67795205,-1.4545582,-1.8018017,-1.4277996,-1.8273098,-1.8018017,-1.8018017,-1.8018017,-1.3509265,-1.3509265,-1.2729747,5,7,3,1,6,7,1,2,1,8,7,8,4,3,5,5,2,3,3,4,0.27002593,0.96275747
-19.325692,0.98092828,0.32463995,3,7,0,19.903551,0.73095453,-1.4732525,-1.8717301,-1.3496252,-1.891682,-1.8717301,-1.8717301,-1.8717301,-1.3089687,-1.3089687,-1.2537164,8,1,1,5,5,7,2,5,6,8,6,5,4,2,5,6,1,3,2,7,0.16548056,0.47019643
-18.542624,0.97624558,0.47964418,2,5,0,19.7821,0.57111391,-1.4410804,-1.6881172,-1.588208,-1.7176381,-1.6881172,-1.6881172,-1.6881172,-1.4540723,-1.4540723,-1.3216233,6,4,4,6,3,4,4,4,3,7,6,6,3,1,6,3,5,4,2,7,0.38502895,0.23595235
-18.720011,0.96756258,0.75804184,2,3,0,18.757133,0.42401693,-1.4691195,-1.5838012,-1.8155606,-1.6079743,-1.5838012,-1.5838012,-1.5838012,-1.632494,-1.632494,-1.407846,3,3,6,5,8,2,7,2,2,5,5,3,5,6,6,4,7,3,3,7,0.38210056,0.057208171
-18.54555,1,1.2235536,1,1,0,18.645935,0.48890759,-1.4505351,-1.62289,-1.7143094,-1.6506238,-1.62289,-1.62289,-1.62289,-1.5488612,-1.5488612,-1.367226,4,4,5,8,7,6,4,4,5,7,7,5,3,7,6,4,6,4,4,6,0.40497282,0.42552509
-18.54555,0.093842319,2.2479492,1,1,0,18.550403,0.48890759,-1.4505351,-1.62289,-1.7143094,-1.6506238,-1.62289,-1.62289,-1.62289,-1.5488612,-1.5488612,-1.367226,7,7,2,6,6,3,4,5,3,6,7,4,5,3,4,5,3,3,1,8,0.40497282,0.44736211
-18.549166,0.9999614,0.23998682,2,3,0,18.549216,0.48660692,-1.4510306,-1.6213224,-1.7178731,-1.6489587,-1.6213224,-1.6213224,-1.6213224,-1.551696,-1.551696,-1.3685982,7,7,4,4,4,4,1,2,1,7,4,8,5,1,3,8,5,2,1,7,0.40474735,0.63338949
-18.549166,0.82618283,0.44932247,1,3,0,20.54991,0.48660692,-1.4510306,-1.6213224,-1.7178731,-1.6489587,-1.6213224,-1.6213224,-1.6213224,-1.551696,-1.551696,-1.3685982,6,8,3,2,8,6,2,1,3,7,8,7,2,2,5,4,3,1,3,8,0.40474735,0.38211948
-18.521763,0.99992966,0.48978375,2,3,0,18.551139,0.50934154,-1.4466749,-1.6374157,-1.6827413,-1.6659111,-1.6374157,-1.6374157,-1.6374157,-1.524111,-1.524111,-1.3552639,4,8,5,4,5,3,4,3,2,7,5,5,3,1,3,5,1,2,6,7,0.40511599,0.84014754
-19.130766,0.79230547,0.92765301,2,3,0,19.21625,0.34620669,-1.5035617,-1.5503834,-1.939036,-1.568483,-1.5503834,-1.5503834,-1.5503834,-1.7425855,-1.7425855,-1.4616145,6,8,3,2,6,7,1,4,1,6,6,5,5,5,6,7,5,4,2,5,0.30607614,0.9034811
-18.514002,0.99914076,0.91510992,1,3,0,18.86083,0.53849106,-1.442878,-1.6600462,-1.6379656,-1.6892803,-1.6600462,-1.6600462,-1.6600462,-1.4901534,-1.4901534,-1.3389099,5,2,4,3,6,6,1,5,3,1,3,7,6,3,7,5,6,3,7,8,0.39952123,0.31727958
-18.523271,0.24102949,1.7252099,2,3,0,20.61662,0.50752228,-1.4469789,-1.6360782,-1.6855458,-1.6645136,-1.6360782,-1.6360782,-1.6360782,-1.5262832,-1.5262832,-1.3563124,5,7,3,7,4,5,6,5,2,5,6,7,5,3,7,7,3,4,4,4,0.40523874,0.10924193
-18.797919,0.96724903,0.30867152,2,7,0,19.4825,0.40539898,-1.476178,-1.5745005,-1.8448972,-1.5973761,-1.5745005,-1.5745005,-1.5745005,-1.6578751,-1.6578751,-1.4202193,5,7,2,5,6,4,3,8,2,4,7,8,2,5,6,4,2,2,5,7,0.36901126,0.40635597
-18.864955,0.99123836,0.52899756,1,1,0,18.886309,0.391371,-1.4819925,-1.5680412,-1.867087,-1.5898695,-1.5680412,-1.5680412,-1.5680412,-1.6774006,-1.6774006,-1.4297488,8,7,1,6,7,4,5,4,3,6,7,5,1,6,6,5,6,5,4,8,0.35711376,0.59374028
-19.059858,0.92366185,0.96952628,1,1,0,19.212873,0.35704732,-1.4979919,-1.55419,-1.9216952,-1.57323,-1.55419,-1.55419,-1.55419,-1.7266181,-1.7266181,-1.4538028,3,5,2,3,6,7,3,2,4,5,5,3,2,3,4,3,1,5,4,4,0.32018837,0.49845254
-19.969307,0.19720839,1.4360672,2,3,0,21.570951,0.25076665,-1.5630452,-1.528292,-2.0936887,-1.5371871,-1.528292,-1.528292,-1.528292,-1.8918157,-1.8918157,-1.5347119,6,5,1,2,7,8,2,3,1,6,5,7,3,5,3,5,5,8,3,7,0.11982222,0.90079516
-19.181259,1,0.23821268,4,15,0,19.96201,0.33888654,-1.5074615,-1.5479654,-1.9507711,-1.5654153,-1.5479654,-1.5479654,-1.5479654,-1.7534816,-1.7534816,-1.4669471,8,8,6,4,4,6,3,3,1,7,7,3,4,6,6,4,3,2,1,5,0.29583975,0.92663332
-19.200703,0.99856387,0.44593434,1,1,0,19.254634,0.33614726,-1.5089496,-1.5470919,-1.9551678,-1.5642958,-1.5470919,-1.5470919,-1.5470919,-1.7575827,-1.7575827,-1.4689545,5,4,1,5,7,7,1,2,2,5,6,6,4,3,5,6,6,2,7,6,0.29185859,0.63190147
-18.872949,1,0.8232218,1,1,0,19.177934,0.3897929,-1.4826731,-1.5673438,-1.869588,-1.5890507,-1.5673438,-1.5673438,-1.5673438,-1.6796186,-1.6796186,-1.4308318,7,5,2,4,7,4,1,2,3,7,7,7,2,5,5,7,3,5,1,4,0.35566289,0.85038634
-19.352825,0.58168648,1.5111635,1,1,0,19.41616,0.73400751,-1.4745924,-1.8760549,-1.3451499,-1.8955995,-1.8760549,-1.8760549,-1.8760549,-1.3067524,-1.3067524,-1.2527126,5,6,6,4,6,3,2,6,1,7,8,6,4,3,3,8,3,5,1,6,0.15823624,0.39985995
-19.352825,0.76497847,0.8141731,1,1,0,20.709062,0.73400751,-1.4745924,-1.8760549,-1.3451499,-1.8955995,-1.8760549,-1.8760549,-1.8760549,-1.3067524,-1.3067524,-1.2527126,7,4,2,6,4,5,3,1,2,6,6,6,5,2,4,5,5,5,1,5,0.15823624,0.51891885
-20.320039,0.8585339,0.75194306,1,1,0,20.341814,0.816403,-1.5224939,-2.0060233,-1.2254839,-2.0103149,-2.0060233,-2.0060233,-2.0060233,-1.255842,-1.255842,-1.2302503,6,2,5,6,4,6,1,2,7,5,6,6,4,2,4,7,3,3,3,6,-0.10609986,0.60481889
-21.694253,0.89624929,0.90868525,1,1,0,21.803474,0.88820451,-1.5847378,-2.1423912,-1.1229154,-2.1251814,-2.1423912,-2.1423912,-2.1423912,-1.2269971,-1.2269971,-1.2185841,5,8,2,4,8,5,4,2,6,7,6,3,3,4,8,8,3,1,3,7,-0.51787783,0.62811067
-18.804192,0.68687752,1.2181591,2,3,0,19.715303,0.40401962,-1.4767309,-1.5738446,-1.8470758,-1.5966198,-1.5738446,-1.5738446,-1.5738446,-1.6597798,-1.6597798,-1.4211485,6,5,2,4,7,4,5,6,4,6,3,7,3,4,8,6,3,4,4,8,0.3679201,0.42592061
-18.648602,0.97981249,0.90256827,2,3,0,18.925608,0.44453444,-1.4622222,-1.5950265,-1.7833798,-1.6204966,-1.5950265,-1.5950265,-1.5950265,-1.6052333,-1.6052333,-1.3945773,8,8,3,3,4,7,4,5,1,5,7,6,4,4,8,4,5,1,2,6,0.39308305,0.65091541
-18.648602,0.39868644,1.519812,1,1,0,19.193503,0.44453444,-1.4622222,-1.5950265,-1.7833798,-1.6204966,-1.5950265,-1.5950265,-1.5950265,-1.6052333,-1.6052333,-1.3945773,7,4,1,2,8,6,2,1,2,1,5,8,2,5,4,6,6,3,2,8,0.39308305,0.96078223
-18.520307,0.98505325,0.5097295,1,3,0,18.834613,0.55107112,-1.4418735,-1.6705222,-1.6187341,-1.6999381,-1.6705222,-1.6705222,-1.6705222,-1.4759963,-1.4759963,-1.332115,4,5,2,5,4,4,5,3,5,6,4,8,4,4,5,5,7,2,2,3,0.39497727,0.15549726
-18.523537,0.99862128,0.86737345,1,1,0,18.52644,0.55505839,-1.4416362,-1.6739334,-1.6126502,-1.7033886,-1.6739334,-1.6739334,-1.6739334,-1.4715727,-1.4715727,-1.3299949,8,7,3,5,7,8,1,3,5,6,6,4,1,6,8,6,2,4,3,4,0.39326529,0.38357294
-18.673117,0.82717467,1.5179628,1,1,0,18.724038,0.43698692,-1.4646512,-1.5907772,-1.7951997,-1.6157871,-1.5907772,-1.5907772,-1.5907772,-1.6151744,-1.6151744,-1.3994132,4,5,5,6,2,3,2,5,2,5,5,3,2,4,6,3,2,6,2,7,0.38945504,0.28838032
-18.673117,0.017249506,1.6586593,1,1,0,19.308256,0.43698692,-1.4646512,-1.5907772,-1.7951997,-1.6157871,-1.5907772,-1.5907772,-1.5907772,-1.6151744,-1.6151744,-1.3994132,7,7,3,2,8,8,5,1,2,7,5,4,2,2,5,7,1,3,4,8,0.38945504,0.72669192
-18.538507,0.99910957,0.20787045,2,5,0,18.74934,0.49378748,-1.4495247,-1.6262602,-1.7067569,-1.6541931,-1.6262602,-1.6262602,-1.6262602,-1.5428804,-1.5428804,-1.3643325,4,5,3,3,5,3,2,5,3,6,4,6,5,6,6,6,2,5,5,7,0.40531071,0.61915951
-18.53421,0.99791503,0.36348846,2,5,0,18.592292,0.56500651,-1.441216,-1.6826367,-1.5974951,-1.7121505,-1.6826367,-1.6826367,-1.6826367,-1.4606701,-1.4606701,-1.3247765,7,6,1,5,6,8,5,4,2,7,3,5,5,3,5,5,4,2,5,7,0.38841723,0.52308608
-18.82939,0.94426687,0.62796306,1,3,0,18.865886,0.65897989,-1.4498842,-1.7790464,-1.4560053,-1.8059076,-1.7790464,-1.7790464,-1.7790464,-1.3674867,-1.3674867,-1.2806822,4,2,4,5,4,4,3,4,5,5,7,6,2,5,8,6,3,2,6,6,0.29888337,0.24683389
-18.523464,1,0.93504224,1,1,0,18.686039,0.55497503,-1.4416408,-1.6738616,-1.6127773,-1.7033161,-1.6738616,-1.6738616,-1.6738616,-1.4716649,-1.4716649,-1.3300391,2,7,3,2,5,6,2,4,5,4,6,7,5,5,4,8,3,3,7,3,0.39330243,0.30895918
-18.591885,0.34716518,1.5983091,2,3,0,19.710148,0.46519632,-1.4562245,-1.6073829,-1.7511289,-1.6340046,-1.6073829,-1.6073829,-1.6073829,-1.5785411,-1.5785411,-1.3816101,6,5,3,2,6,4,7,6,5,4,7,8,1,5,6,4,2,4,3,7,0.40060815,0.29863122
-18.555919,0.96856749,0.50658522,3,7,0,19.00973,0.48259875,-1.451923,-1.6186239,-1.7240861,-1.6460848,-1.6186239,-1.6186239,-1.6186239,-1.556658,-1.556658,-1.3710008,8,8,1,4,7,7,6,3,1,7,4,3,4,2,3,6,4,5,3,4,0.40425316,0.90428519
-18.83938,0.89502746,0.79635342,2,3,0,19.049636,0.66090824,-1.4503124,-1.7813064,-1.453133,-1.8080442,-1.7813064,-1.7813064,-1.7813064,-1.3657676,-1.3657676,-1.2798798,6,4,3,3,4,6,4,4,4,7,7,1,1,1,3,6,4,2,2,5,0.29613467,0.4410765
-18.525027,0.9890354,1.0322146,2,3,0,18.674321,0.55668541,-1.4415507,-1.675338,-1.6101692,-1.7048067,-1.675338,-1.675338,-1.675338,-1.4697764,-1.4697764,-1.3291345,6,4,2,3,7,8,2,4,1,8,4,5,2,2,7,3,5,3,4,6,0.39252885,0.85222056
-19.772872,0.21067113,1.6875022,1,1,0,20.222482,0.26938795,-1.5499849,-1.5310183,-2.0632302,-1.5418133,-1.5310183,-1.5310183,-1.5310183,-1.861485,-1.861485,-1.5198501,8,6,2,4,5,6,3,4,5,5,4,5,1,3,3,5,6,4,4,7,0.16628405,0.37440426
