# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:29:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c75d06205.json
# init = 2 (Default)
# random
#   seed = 2137342856
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111029-2-9571f8.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111029-2-5fd2d3.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-21.029924,5.7004763e-15,4,1,1,0,21.313074,0.19658534,-2.021762,-2.1831165,-1.5659808,-1.6104608,-1.4002129,-2.100815,-1.4549473,-1.579568,-2.021762,-1.4002129,3,3,2,3,7,4,2,7,4,1,6,6,7,3,5,4,2,5,6,6,-0.053783484,0.033686297
-21.029924,0.041490435,2.3350648,1,3,0,21.078122,0.19658534,-2.021762,-2.1831165,-1.5659808,-1.6104608,-1.4002129,-2.100815,-1.4549473,-1.579568,-2.021762,-1.4002129,7,3,1,1,8,7,2,7,7,8,4,3,1,6,3,7,3,6,6,8,-0.053783484,0.51515008
-20.965618,0.99950407,0.25388924,3,7,0,21.08365,0.19977738,-2.0140014,-2.1778144,-1.5640047,-1.6084428,-1.3954985,-2.0968872,-1.4557758,-1.5768595,-2.0140014,-1.3954985,6,5,1,2,8,6,2,4,6,7,8,4,3,4,5,3,2,6,8,7,-0.041657495,0.20992675
-20.818948,0.99931715,0.26746994,1,1,0,20.999502,0.20718163,-1.9960348,-2.1655318,-1.5594933,-1.6038607,-1.3845756,-2.0878062,-1.4577863,-1.5706083,-1.9960348,-1.3845756,4,4,1,3,7,6,2,6,6,7,6,4,5,3,5,6,1,5,3,6,-0.014561092,0.065170936
-21.376872,0.99967577,0.36392401,2,3,0,21.381371,0.17992548,-2.0624138,-2.2108585,-1.576603,-1.6214135,-1.4248726,-2.1214402,-1.4510014,-1.593837,-2.0624138,-1.4248726,8,2,1,5,6,2,2,6,6,8,8,1,2,3,6,5,4,8,6,6,-0.1218131,0.37818128
-20.653106,0.99767496,0.57142651,3,7,0,21.521959,0.21576368,-1.9752708,-2.151324,-1.5543891,-1.5987217,-1.3719374,-2.0773327,-1.4602714,-1.5634181,-1.9752708,-1.3719374,7,3,5,4,8,2,3,7,7,4,6,2,3,5,7,6,3,7,6,8,0.015143035,0.6113403
-19.742844,0.99059199,0.96890608,1,1,0,21.473885,0.26702261,-1.8525845,-2.0670914,-1.5266064,-1.5717939,-1.2969442,-2.015936,-1.478512,-1.521722,-1.8525845,-1.2969442,8,1,5,7,6,1,8,7,6,8,6,5,1,5,8,3,4,4,5,8,0.1606971,0.69004665
-19.742844,0.69861835,1.6869833,1,3,0,20.10404,0.26702261,-1.8525845,-2.0670914,-1.5266064,-1.5717939,-1.2969442,-2.015936,-1.478512,-1.521722,-1.8525845,-1.2969442,5,3,1,4,8,4,3,6,7,6,7,2,5,6,8,6,2,6,8,7,0.1606971,0.34387325
-15.329399,1,1.2058083,1,1,0,17.312135,0.72384267,-0.84851669,-1.3600618,-1.4454167,-1.5894218,-0.66315675,-1.5567039,-1.8784163,-1.2561004,-0.84851669,-0.66315675,6,1,3,5,7,3,4,2,6,7,8,2,4,3,5,1,6,5,8,7,0.18179371,0.67824095
-15.329399,0.00015849308,2.2445364,2,3,0,18.394112,0.72384267,-0.84851669,-1.3600618,-1.4454167,-1.5894218,-0.66315675,-1.5567039,-1.8784163,-1.2561004,-0.84851669,-0.66315675,8,3,1,5,8,3,1,7,5,8,8,5,3,7,8,2,3,7,5,8,0.18179371,0.44888674
