# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:30:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c752c6852.json
# init = 2 (Default)
# random
#   seed = 268696672
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111030-1-01e984.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111030-1-5d3fae.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-16.070708,0.35247599,2,2,3,0,16.090729,0.92101219,-0.45752753,-1.0765657,-1.4843343,-1.7329401,-0.40698633,-1.4098216,-2.1805544,-1.215977,-0.45752753,-0.40698633,6,2,2,4,7,1,6,5,8,8,8,2,5,6,8,3,5,8,8,8,-0.82898423,0.66558304
-16.070708,5.8996634e-13,4.4322399,1,1,0,16.138307,0.92101219,-0.45752753,-1.0765657,-1.4843343,-1.7329401,-0.40698633,-1.4098216,-2.1805544,-1.215977,-0.45752753,-0.40698633,8,2,2,3,7,5,6,8,5,6,8,6,1,4,8,3,7,8,8,8,-0.82898423,0.13669966
-16.020344,1,0.52842351,1,1,0,16.102897,0.91807177,-0.46319538,-1.0807068,-1.4834737,-1.7301791,-0.41073628,-1.4117629,-2.1754387,-1.2161365,-0.46319538,-0.41073628,5,5,7,5,7,6,3,6,6,6,8,2,7,6,8,3,7,5,8,7,-0.79563191,0.75040266
-15.247849,0.96795879,0.61339548,1,3,0,16.59522,0.81025827,-0.6743622,-1.2343348,-1.4576905,-1.6420754,-0.54968627,-1.488244,-2.0008151,-1.2316048,-0.6743622,-0.54968627,4,4,6,2,8,4,4,4,6,7,7,1,1,5,8,3,7,7,7,8,-0.080734208,0.19482542
-15.472123,0.94067353,0.81021276,1,3,0,15.574502,0.68493386,-0.92842263,-1.4174497,-1.4424419,-1.5708145,-0.71487585,-1.589524,-1.8282399,-1.2702442,-0.92842263,-0.71487585,7,4,2,5,8,1,1,6,7,7,8,4,1,5,8,3,8,7,7,7,0.25835377,0.3577903
-15.566956,0.97637197,1.1047684,2,3,0,15.621699,0.88069916,-0.53565032,-1.1335638,-1.4732559,-1.6967629,-0.45857977,-1.4371161,-2.1120753,-1.21943,-0.53565032,-0.45857977,6,3,3,4,6,2,6,4,5,5,8,3,4,7,8,5,2,8,7,8,-0.46138665,0.056459044
-15.234092,1,1.7864443,1,1,0,15.290348,0.77653228,-0.74179701,-1.2831231,-1.4519883,-1.6196545,-0.59374483,-1.5142244,-1.9512275,-1.2399793,-0.74179701,-0.59374483,7,2,4,4,8,2,3,8,7,8,6,3,4,6,8,2,8,6,8,8,0.040354112,0.70751692
-15.234092,8.7498891e-09,3.2355165,2,3,0,24.649322,0.77653228,-0.74179701,-1.2831231,-1.4519883,-1.6196545,-0.59374483,-1.5142244,-1.9512275,-1.2399793,-0.74179701,-0.59374483,6,6,3,5,8,4,6,5,8,8,5,2,4,2,7,1,7,5,6,8,0.040354112,0.46406865
-16.428101,0.97335266,0.25901692,3,11,0,16.763758,0.93809471,-0.42469328,-1.0525579,-1.489496,-1.7493647,-0.38524177,-1.3987001,-2.210656,-1.2153484,-0.42469328,-0.38524177,8,1,1,2,5,3,6,2,6,8,7,2,4,5,7,1,3,8,8,8,-1.0542946,0.31243054
-17.297237,0.97411583,0.4399473,1,3,0,17.695308,0.96348366,-0.37618551,-1.0170338,-1.4976757,-1.7749992,-0.35305225,-1.3826697,-2.2566096,-1.2153834,-0.37618551,-0.35305225,7,1,3,3,8,2,5,8,2,7,6,2,5,7,8,1,2,5,7,8,-1.5554358,0.58264335
