# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:30:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c310cbd8f.json
# init = 2 (Default)
# random
#   seed = 1703844777
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111030-1-5888f3.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111030-1-31cf42.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-15.328125,0.97625952,0.5,2,7,0,17.548637,0.7242768,-0.84763045,-1.3594242,-1.445459,-1.5896471,-0.66258192,-1.5563446,-1.8789933,-1.2559531,-0.84763045,-0.66258192,6,2,1,6,6,5,5,2,7,8,6,2,2,5,8,5,5,5,4,8,0.18082001,0.49182512
-15.328125,0,13.777777,0,1,1,15.94993,0.7242768,-0.84763045,-1.3594242,-1.445459,-1.5896471,-0.66258192,-1.5563446,-1.8789933,-1.2559531,-0.84763045,-0.66258192,7,4,5,5,8,3,6,7,6,8,8,1,4,3,7,2,5,6,4,8,0.18082001,0.64629667
-15.850852,0.15013506,2.2988631,2,3,0,16.131187,0.90681312,-0.4849412,-1.0965865,-1.4802548,-1.7197862,-0.42511378,-1.4192685,-2.1560277,-1.2168839,-0.4849412,-0.42511378,7,4,4,5,6,2,2,5,8,8,7,3,4,7,8,1,6,8,8,8,-0.67920781,0.50723783
-16.503165,0.97064417,0.33581897,4,15,0,18.696734,0.52989037,-1.2566014,-1.6511456,-1.4474095,-1.5278196,-0.9249947,-1.7321732,-1.6580281,-1.3436473,-1.2566014,-0.9249947,6,3,5,2,8,3,4,5,6,7,7,4,2,4,7,5,7,5,8,6,0.40188497,0.64452665
-15.360507,0.98884464,0.42795691,2,7,0,17.203036,0.84865294,-0.59840294,-1.179221,-1.4655694,-1.6705535,-0.49987555,-1.4598428,-2.0601532,-1.2240413,-0.59840294,-0.49987555,6,2,6,4,8,8,4,7,7,4,8,2,5,5,6,6,7,8,8,6,-0.26052516,0.24186653
-15.359297,0.95883972,0.6552201,1,3,0,15.870774,0.71428769,-0.86805191,-1.3741093,-1.4445364,-1.5845608,-0.67582097,-1.5646505,-1.8658135,-1.2594025,-0.86805191,-0.67582097,7,1,3,5,6,4,1,7,7,8,6,1,2,2,8,2,5,8,7,8,0.20252011,0.30782345
-15.235093,1,0.99008087,2,3,0,15.306746,0.77486616,-0.74514591,-1.2855425,-1.4517366,-1.6186093,-0.59592884,-1.5155325,-1.9488386,-1.2404334,-0.74514591,-0.59592884,6,5,5,7,6,4,6,4,4,4,7,3,5,5,8,1,7,5,8,7,0.045634286,0.27770023
-16.436942,0.3578434,1.7757152,1,1,0,16.535338,0.93844978,-0.42401248,-1.0520598,-1.4896063,-1.7497131,-0.38479053,-1.3984718,-2.2112886,-1.2153408,-0.42401248,-0.38479053,7,2,1,6,8,5,6,7,8,8,6,1,3,4,7,3,5,6,7,5,-1.0596684,0.85695829
-16.454122,0.99956613,0.43515806,1,1,0,16.495654,0.93913206,-0.42270452,-1.0511028,-1.4898184,-1.7503834,-0.38392356,-1.3980334,-2.212505,-1.2153268,-0.42270452,-0.38392356,4,3,1,5,8,3,6,6,8,8,6,1,5,4,6,2,3,6,8,8,-1.0700883,0.69795066
-15.632131,0.92701049,0.80493315,1,3,0,17.890037,0.6521983,-0.99639273,-1.4661163,-1.4412102,-1.5575913,-0.75869818,-1.6180753,-1.7883594,-1.2835379,-0.99639273,-0.75869818,7,3,3,7,8,3,3,8,6,8,7,3,3,6,7,5,5,8,5,6,0.30823005,0.75045017
