# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:30:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c7c915b4e.json
# init = 2 (Default)
# random
#   seed = 1278622718
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111030-2-1bb0c8.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111030-2-571d4e.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-15.535596,0.45291281,2,1,1,0,16.381942,0.87690741,-0.543045,-1.1389499,-1.4722943,-1.6935448,-0.46345282,-1.4397581,-2.1058167,-1.2198917,-0.543045,-0.46345282,7,4,1,3,7,5,5,6,8,8,8,3,6,7,8,5,3,5,7,8,-0.43441284,0.34927929
-15.535596,3.7540092e-11,5.320235,2,3,0,15.989371,0.87690741,-0.543045,-1.1389499,-1.4722943,-1.6935448,-0.46345282,-1.4397581,-2.1058167,-1.2198917,-0.543045,-0.46345282,8,1,4,4,7,3,4,8,7,8,8,2,3,4,8,1,3,8,7,5,-0.43441284,0.47064631
-15.702488,0.98162272,0.66956614,2,7,0,15.859603,0.63961737,-1.0226986,-1.4849144,-1.4410522,-1.5530993,-0.77561594,-1.6292738,-1.7735965,-1.288974,-1.0226986,-0.77561594,6,5,2,2,2,1,3,5,7,8,6,4,3,6,5,1,3,6,8,7,0.32428538,0.24988939
-15.407816,1,0.76331703,2,3,0,15.6307,0.7006724,-0.89598665,-1.3941772,-1.4434498,-1.5779623,-0.69390786,-1.5761015,-1.8481716,-1.2643018,-0.89598665,-0.69390786,7,3,3,7,8,5,4,8,6,6,4,4,4,5,5,4,4,4,6,7,0.22982799,0.65242654
-16.722753,0.47759656,1.1224836,2,3,0,17.199942,0.94862761,-0.40452709,-1.0377976,-1.492816,-1.759821,-0.371869,-1.3919768,-2.2295429,-1.2152196,-0.40452709,-0.371869,7,4,4,5,5,4,5,7,8,8,8,3,1,7,7,4,6,7,8,8,-1.2296339,0.54693769
-16.724971,0.99998736,0.39031142,2,3,0,16.768944,0.94869784,-0.40439284,-1.0376993,-1.4928385,-1.7598915,-0.37177994,-1.3919323,-2.2296697,-1.2152194,-0.40439284,-0.37177994,7,3,3,8,6,4,3,7,6,5,7,3,6,3,8,1,5,5,4,8,-1.2309278,0.44164313
-17.139053,0.9817197,0.65969165,1,1,0,17.149918,0.95997491,-0.38286863,-1.0219321,-1.4965093,-1.7713687,-0.35749173,-1.3848492,-2.2501715,-1.2153077,-0.38286863,-0.35749173,7,3,2,2,8,2,2,7,8,7,7,1,6,7,7,2,2,5,8,8,-1.4673375,0.60631846
-15.859324,1,1.1102159,1,1,0,16.904588,0.90743381,-0.48374053,-1.0957101,-1.4804291,-1.7203518,-0.42432035,-1.4188517,-2.1570906,-1.2168371,-0.48374053,-0.42432035,8,2,1,4,8,6,3,8,8,7,8,1,3,4,8,3,6,8,7,8,-0.68520652,0.7154177
-15.859324,5.7777883e-06,2.0378086,2,3,0,17.964092,0.90743381,-0.48374053,-1.0957101,-1.4804291,-1.7203518,-0.42432035,-1.4188517,-2.1570906,-1.2168371,-0.48374053,-0.42432035,5,5,3,4,8,4,5,6,7,7,8,3,2,6,8,5,6,8,7,8,-0.68520652,0.080327719
-15.845227,1,0.16168341,2,3,0,15.859399,0.90639722,-0.48574586,-1.0971739,-1.4801382,-1.7194076,-0.42564549,-1.4195479,-2.155316,-1.2169156,-0.48574586,-0.42564549,7,1,2,4,8,3,2,3,7,6,7,1,5,3,7,1,6,6,8,8,-0.67521332,0.27843659
