# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:30:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8cb858b7b.json
# init = 2 (Default)
# random
#   seed = 542576433
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111030-2-30714b.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111030-2-7766fe.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-17.66163,0.33399567,2,2,3,0,18.200355,0.41628345,-1.5076848,-1.8277307,-1.4696861,-1.5282438,-1.0832267,-1.8484199,-1.5633214,-1.4129474,-1.5076848,-1.0832267,6,3,3,3,7,3,4,8,8,7,3,4,2,2,6,2,3,5,6,8,0.37703082,0.18343415
-17.66163,1.7233431e-13,4.2857883,1,1,0,18.919797,0.41628345,-1.5076848,-1.8277307,-1.4696861,-1.5282438,-1.0832267,-1.8484199,-1.5633214,-1.4129474,-1.5076848,-1.0832267,7,1,2,6,8,4,6,8,7,7,6,3,1,2,7,7,6,4,6,7,0.37703082,0.54183103
-18.787453,0.93579837,0.50590027,1,1,0,18.789117,0.32919898,-1.70674,-1.9663333,-1.4987724,-1.5475108,-1.2070897,-1.9441201,-1.5082304,-1.4740752,-1.70674,-1.2070897,7,2,2,1,6,6,6,5,6,8,4,4,2,5,8,8,3,8,5,4,0.28138383,0.57965809
-17.889608,1,0.49210291,1,1,0,18.757995,0.39719421,-1.5508138,-1.8578667,-1.4751255,-1.5310324,-1.1101832,-1.8689097,-1.5499273,-1.4257716,-1.5508138,-1.1101832,6,2,4,5,8,4,6,4,8,5,5,1,5,7,5,5,5,4,7,5,0.36226934,0.73176791
-16.919479,1,0.70107094,2,3,0,17.865588,0.48518065,-1.354295,-1.7200832,-1.4541764,-1.5247174,-0.98682339,-1.7767541,-1.617713,-1.3694513,-1.354295,-0.98682339,8,2,3,7,7,6,3,6,8,8,6,2,3,1,7,2,6,4,6,6,0.40458627,0.56979374
-16.919479,0.057510565,1.133751,1,3,0,19.598457,0.48518065,-1.354295,-1.7200832,-1.4541764,-1.5247174,-0.98682339,-1.7767541,-1.617713,-1.3694513,-1.354295,-0.98682339,8,2,3,6,7,2,2,7,6,8,5,3,2,5,7,2,6,5,5,8,0.40458627,0.54184505
-15.347907,0.99868071,0.11007369,3,15,0,17.698912,0.7177977,-0.86086909,-1.3689455,-1.4448485,-1.5863244,-0.67116602,-1.5617227,-1.8704218,-1.2581764,-0.86086909,-0.67116602,4,3,5,4,5,1,6,5,7,7,7,1,2,4,8,2,3,5,8,8,0.19506087,0.43179401
-15.263447,0.9999881,0.18957417,3,15,0,15.356789,0.75165195,-0.79198035,-1.319344,-1.4485258,-1.6046534,-0.62643272,-1.5339989,-1.9161432,-1.2471434,-0.79198035,-0.62643272,8,1,3,6,4,6,2,8,8,8,6,3,1,5,7,4,3,8,8,8,0.11335349,0.54589623
-15.379283,0.99261984,0.34206489,2,7,0,15.513079,0.7084456,-0.88002405,-1.3827127,-1.4440459,-1.5816823,-0.68357581,-1.5695456,-1.8581982,-1.261477,-0.88002405,-0.68357581,5,5,4,3,6,4,2,7,4,6,8,1,3,5,7,5,6,7,8,8,0.21454879,0.18649048
-15.245104,0.97988608,0.61828569,1,3,0,15.587716,0.80828619,-0.67828687,-1.2371779,-1.4573255,-1.6406979,-0.55225464,-1.4897368,-1.9978507,-1.2320509,-0.67828687,-0.55225464,8,4,8,5,8,5,4,8,5,8,7,1,3,6,8,2,3,6,8,8,-0.07283122,0.69610392
