# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-11 08:30:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c2ca643dd.json
# init = 2 (Default)
# random
#   seed = 339663483
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605111030-2-5cd538.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605111030-2-3e7350.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-15.262507,0.26146831,4,2,3,0,15.382369,0.81863126,-0.65772429,-1.2222771,-1.4592838,-1.6480163,-0.53879239,-1.4819428,-2.0134916,-1.2297725,-0.65772429,-0.53879239,7,3,2,1,6,4,2,7,7,7,8,4,2,5,6,3,5,7,8,5,-0.11558513,0.38261024
-15.262507,0.00041165293,3.756308,1,1,0,16.395032,0.81863126,-0.65772429,-1.2222771,-1.4592838,-1.6480163,-0.53879239,-1.4819428,-2.0134916,-1.2297725,-0.65772429,-0.53879239,7,1,6,5,6,2,6,6,8,7,5,2,2,4,8,2,7,6,7,8,-0.11558513,0.9025112
-15.265353,0.9998162,0.42681949,1,1,0,15.266424,0.81998704,-0.65503407,-1.2203267,-1.4595483,-1.6489924,-0.53703007,-1.4809281,-2.015558,-1.2294852,-0.65503407,-0.53703007,5,5,4,5,5,2,7,5,8,7,7,1,6,4,8,3,4,8,7,7,-0.12143371,0.56324684
-15.830197,0.94266319,0.48159787,3,7,0,16.786765,0.61863016,-1.0668117,-1.516391,-1.4411849,-1.5463342,-0.80393251,-1.6482318,-1.7496638,-1.2984361,-1.0668117,-0.80393251,7,4,4,6,8,1,4,6,8,8,7,5,2,6,8,2,3,8,6,6,0.34752614,0.7538143
-15.672141,1,0.58152433,1,1,0,15.833941,0.64494041,-1.011556,-1.4769545,-1.4410975,-1.5549599,-0.7684528,-1.6245204,-1.7798046,-1.2866522,-1.011556,-0.7684528,7,5,6,4,6,3,1,7,3,5,7,3,3,7,8,3,4,6,7,5,0.31769248,0.11663776
-15.287434,1,0.93280696,1,1,0,15.522834,0.73985487,-0.815906,-1.3365868,-1.447108,-1.5979946,-0.6419872,-1.5435534,-1.899948,-1.2508228,-0.815906,-0.6419872,6,2,1,4,6,6,4,7,7,8,8,2,2,7,7,3,5,8,7,8,0.14394263,0.37315206
-15.376768,0.89888616,1.6141613,1,1,0,15.495719,0.7091609,-0.87855707,-1.3816587,-1.444104,-1.5820309,-0.68262585,-1.5689448,-1.859127,-1.2612208,-0.87855707,-0.68262585,7,3,3,6,8,3,1,5,5,6,6,3,5,3,8,6,5,7,7,8,0.21310155,0.35427837
-15.376768,0.075019876,2.1305133,1,1,0,15.510837,0.7091609,-0.87855707,-1.3816587,-1.444104,-1.5820309,-0.68262585,-1.5689448,-1.859127,-1.2612208,-0.87855707,-0.68262585,7,2,1,2,5,2,4,5,6,8,8,1,5,4,8,4,5,7,7,8,0.21310155,0.49920573
-15.373142,1,0.2150346,1,1,0,15.378158,0.71020158,-0.87642331,-1.3801256,-1.4441895,-1.58254,-0.68124398,-1.5680714,-1.86048,-1.2608491,-0.87642331,-0.68124398,8,2,2,4,7,1,5,4,4,7,5,3,4,6,7,1,5,8,7,7,0.21098334,0.54894619
-15.283682,0.94553712,0.39694988,2,7,0,16.587712,0.8275122,-0.64012169,-1.2095116,-1.4610501,-1.6544815,-0.52725677,-1.4753246,-2.0270973,-1.2279392,-0.64012169,-0.52725677,5,7,4,5,6,3,3,5,4,7,8,2,6,2,8,2,6,8,8,7,-0.15500074,0.32941351
