# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:30:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad54bb76eb.json
# init = 2 (Default)
# random
#   seed = 488684317
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201030-1-51d1e6.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201030-1-667218.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-20.336947,0.013868202,2,1,1,0,20.34231,0.54401608,-1.6645938,-1.6645938,-1.3873423,-1.4599773,-2.1068782,-1.5757916,-2.1202499,-1.5041576,-1.5757916,-2.489422,6,8,6,7,2,7,7,4,2,7,4,7,6,5,4,3,8,8,4,5,0.39768526,0.70856728
-20.582824,0.14285724,2.3946918,2,7,0,21.240934,0.12574911,-1.5292292,-1.5292292,-1.2202287,-1.4716289,-1.6299134,-1.528134,-1.6036155,-2.2270026,-1.528134,-1.8999996,7,6,8,5,1,4,5,5,5,7,5,5,5,2,8,6,8,6,4,6,-0.41609495,0.50122057
-19.66919,1,0.33312228,3,7,0,20.56487,0.21575376,-1.5252007,-1.5252007,-1.2379259,-1.4531908,-1.6982342,-1.5246068,-1.6688412,-1.9622601,-1.5246068,-1.9958235,8,8,3,6,2,5,8,4,3,5,5,4,7,6,3,2,5,7,4,7,0.015109711,0.92863485
-19.486376,0.99864129,0.36408767,2,3,0,19.738889,0.25318737,-1.5286036,-1.5286036,-1.2486311,-1.4479267,-1.7318503,-1.5253982,-1.7024124,-1.8764513,-1.5253982,-2.0399677,8,6,6,7,3,5,6,8,3,3,4,6,6,7,3,7,5,8,6,7,0.12619305,0.51512421
-19.99146,0.91777387,0.50556362,3,7,0,21.071827,0.17411697,-1.524939,-1.524939,-1.2282669,-1.4607202,-1.6644585,-1.5252792,-1.6360255,-2.0731476,-1.5252792,-1.9497454,4,7,8,7,5,5,7,7,4,8,6,5,7,7,6,2,4,7,4,8,-0.14757061,0.53172815
-20.215774,0.97799821,0.63079413,1,1,0,20.243271,0.15295653,-1.5262118,-1.5262118,-1.2243146,-1.4652099,-1.6487301,-1.5262524,-1.6211074,-2.1367793,-1.5262524,-1.9274952,4,5,8,7,2,4,5,8,7,7,6,2,8,7,1,5,5,8,3,1,-0.2518453,0.25480956
-19.80606,1,1.0097223,1,1,0,20.213213,0.1957985,-1.5246155,-1.5246155,-1.2329924,-1.4565818,-1.6815757,-1.5247241,-1.6525319,-2.0131974,-1.5247241,-1.9733525,8,6,7,5,2,7,5,4,3,8,4,6,7,5,2,2,6,8,6,6,-0.056815171,0.41332511
-19.80606,0.44318268,1.8115323,1,3,0,20.836538,0.1957985,-1.5246155,-1.5246155,-1.2329924,-1.4565818,-1.6815757,-1.5247241,-1.6525319,-2.0131974,-1.5247241,-1.9733525,3,6,6,3,1,2,6,5,4,4,3,5,7,4,3,5,6,7,4,7,-0.056815171,0.55434096
-19.445763,0.93987623,0.58060311,1,3,0,20.531469,0.39003568,-1.5674507,-1.5674507,-1.3024844,-1.4413859,-1.8820485,-1.5393971,-1.8611281,-1.6476181,-1.5393971,-2.2256588,6,6,6,3,6,3,5,8,5,8,6,5,5,5,3,4,7,6,7,3,0.3558876,0.29193797
-19.445763,0.63433075,0.89070866,1,1,0,19.955206,0.39003568,-1.5674507,-1.5674507,-1.3024844,-1.4413859,-1.8820485,-1.5393971,-1.8611281,-1.6476181,-1.5393971,-2.2256588,5,4,6,7,2,4,8,7,6,7,6,7,6,7,3,1,4,5,5,7,0.3558876,0.63428602
