# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:30:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad491f8cf2.json
# init = 2 (Default)
# random
#   seed = 902813971
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201030-1-97c737.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201030-1-98e027.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-22.615542,0.0086048226,2,1,1,0,22.708615,0.72217529,-1.8594782,-1.8594782,-1.5132112,-1.5213224,-2.4541444,-1.6452676,-2.5680486,-1.4425504,-1.6452676,-2.8942691,7,5,5,6,1,5,5,7,3,8,7,8,7,6,5,2,7,5,4,8,0.18550718,0.52298754
-22.615542,0.00057124924,2.3718845,1,1,0,23.010241,0.72217529,-1.8594782,-1.8594782,-1.5132112,-1.5213224,-2.4541444,-1.6452676,-2.5680486,-1.4425504,-1.6452676,-2.8942691,3,7,5,8,1,5,8,4,7,7,8,7,8,8,3,5,3,4,2,8,0.18550718,0.92800274
-20.249512,0.99984901,0.23526968,4,15,0,22.781324,0.15012452,-1.5264536,-1.5264536,-1.2238363,-1.4658443,-1.6466979,-1.5264151,-1.6191988,-2.1457104,-1.5264151,-1.9245753,3,6,5,3,6,3,5,8,5,7,4,6,7,4,3,5,7,6,3,7,-0.26719618,0.30332345
-19.755483,0.99487651,0.24562807,3,9,0,20.901485,0.46358933,-1.6063836,-1.6063836,-1.340049,-1.446631,-1.981596,-1.5540621,-1.9728934,-1.5667294,-1.5540621,-2.34347,6,3,6,8,3,4,6,7,2,8,6,6,7,7,2,2,5,7,3,7,0.40014805,0.5626983
-19.739615,1,0.3279681,2,3,0,19.773593,0.46075595,-1.6046374,-1.6046374,-1.3384987,-1.446309,-1.9775029,-1.5534051,-1.9682034,-1.5693993,-1.5534051,-2.3386694,5,6,8,7,4,5,6,6,2,8,8,7,4,7,5,5,6,4,7,2,0.39928567,0.78442714
-19.376743,0.95895458,0.51314,1,3,0,20.224648,0.29649009,-1.5363461,-1.5363461,-1.2632621,-1.4436599,-1.7746597,-1.5279491,-1.7462963,-1.7910145,-1.5279491,-2.0944299,3,5,6,7,3,4,8,8,7,7,4,6,8,8,5,4,7,8,7,8,0.22434467,0.58099073
-19.465241,0.97473875,0.77056296,1,3,0,19.51007,0.396795,-1.5704832,-1.5704832,-1.3056986,-1.4416025,-1.8906258,-1.5405371,-1.8705655,-1.6391236,-1.5405371,-2.2359168,8,6,4,5,6,2,8,6,3,8,6,4,5,6,1,5,6,7,4,7,0.36192579,0.30645593
-19.430975,1,1.2722041,1,1,0,19.518903,0.38441141,-1.5650097,-1.5650097,-1.2998477,-1.4412457,-1.8749975,-1.5384806,-1.8533982,-1.6548618,-1.5384806,-2.217207,7,7,3,7,2,8,7,3,2,8,7,8,8,6,2,4,3,6,5,8,0.35054113,0.77916711
-19.430975,7.9215048e-05,2.3382111,1,1,0,20.449176,0.38441141,-1.5650097,-1.5650097,-1.2998477,-1.4412457,-1.8749975,-1.5384806,-1.8533982,-1.6548618,-1.5384806,-2.217207,7,6,7,7,7,2,5,8,3,4,7,8,8,6,2,7,8,6,7,7,0.35054113,0.25601454
-19.434343,0.99975323,0.18568435,2,3,0,19.448561,0.38573654,-1.5655781,-1.5655781,-1.3004658,-1.4412754,-1.8766517,-1.5386939,-1.8552095,-1.6531406,-1.5386939,-2.2191915,6,4,3,5,4,6,7,7,5,8,5,5,7,8,5,6,5,7,7,8,0.35182743,0.34173388
