# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:30:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad6d6439be.json
# init = 2 (Default)
# random
#   seed = 1530396534
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201030-2-01fbe3.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201030-2-0c7c5d.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-22.225634,0.0033274335,2,1,1,0,22.26019,0.69874799,-1.8280991,-1.8280991,-1.4950882,-1.5105186,-2.4023766,-1.6344346,-2.4974062,-1.4453633,-1.6344346,-2.8332674,5,8,5,5,5,7,8,7,2,8,5,5,5,6,3,4,8,6,4,7,0.23348622,0.58188857
-22.225634,0.00067332965,2.3492345,1,3,0,22.609767,0.69874799,-1.8280991,-1.8280991,-1.4950882,-1.5105186,-2.4023766,-1.6344346,-2.4974062,-1.4453633,-1.6344346,-2.8332674,4,8,6,5,5,7,5,8,7,4,7,5,5,8,2,6,6,7,6,8,0.23348622,0.19240984
-20.834018,0.99980761,0.23241721,3,7,0,22.317744,0.59442474,-1.7100107,-1.7100107,-1.4201007,-1.4726745,-2.1948288,-1.5924513,-2.2280792,-1.4768054,-1.5924513,-2.5913858,7,6,8,7,2,6,6,8,6,7,7,7,7,7,2,4,4,5,7,8,0.36914948,0.12465247
-21.975994,0.99078273,0.24223723,3,9,0,22.162562,0.063800542,-1.5418521,-1.5418521,-1.2153927,-1.4889098,-1.5929036,-1.5350929,-1.5706381,-2.4765537,-1.5350929,-1.8418658,7,7,7,5,1,5,6,5,8,8,6,4,6,3,4,6,7,5,8,6,-1.0261609,0.37810967
-20.407246,1,0.31935871,3,7,0,21.952035,0.13784553,-1.5276964,-1.5276964,-1.221904,-1.4686858,-1.6380848,-1.5272096,-1.6111606,-2.1856423,-1.5272096,-1.9120718,3,4,7,5,5,4,7,6,5,7,6,5,8,5,6,2,4,8,6,7,-0.33818295,0.4829039
-22.168289,0.94147505,0.49909187,2,3,0,22.168778,0.05824691,-1.5433725,-1.5433725,-1.215281,-1.4906373,-1.5899784,-1.5359001,-1.5681341,-2.5026139,-1.5359001,-1.8369467,8,5,6,6,2,4,5,8,4,7,3,5,8,7,1,3,3,6,7,8,-1.1113169,0.69149706
-19.365022,0.94117035,0.70987862,2,7,0,21.602901,0.306642,-1.5387609,-1.5387609,-1.2670266,-1.4429481,-1.7853159,-1.5287998,-1.7573998,-1.7728952,-1.5287998,-2.1077489,4,6,6,6,6,3,7,7,2,8,4,1,8,4,5,6,4,4,6,6,0.24347632,0.64372919
-19.396425,0.98237893,1.0542992,1,1,0,19.402986,0.28487691,-1.5338646,-1.5338646,-1.2591093,-1.4446095,-1.7627603,-1.5270935,-1.7339798,-1.8125977,-1.5270935,-2.0794543,6,3,8,8,2,4,1,8,2,7,3,7,7,7,7,4,8,8,2,5,0.20076078,0.27588651
-19.361814,1,1.8300078,1,1,0,19.361814,0.34168734,-1.5488761,-1.5488761,-1.2809608,-1.4413507,-1.8239473,-1.5324704,-1.7982097,-1.7153751,-1.5324704,-2.1554087,6,4,6,8,5,5,5,8,5,3,8,5,7,4,3,4,7,6,3,3,0.299825,0.18119487
-19.361814,1.6525886e-09,3.4133235,1,1,0,19.894485,0.34168734,-1.5488761,-1.5488761,-1.2809608,-1.4413507,-1.8239473,-1.5324704,-1.7982097,-1.7153751,-1.5324704,-2.1554087,4,6,7,3,4,7,6,8,8,7,2,7,5,7,2,3,6,8,5,6,0.299825,0.074108842
-20.269271,0.96615577,0.27154496,2,7,0,20.787515,0.5362066,-1.6581902,-1.6581902,-1.3824779,-1.4583163,-2.0939211,-1.5734205,-2.1046702,-1.5091735,-1.5734205,-2.4743863,5,5,6,6,3,5,5,6,5,6,6,8,5,8,6,6,5,3,3,8,0.40020764,0.49480548
-20.084394,1,0.46084111,2,3,0,20.28735,0.51324446,-1.6403145,-1.6403145,-1.3685094,-1.453895,-2.0568289,-1.5667746,-2.0605028,-1.5251964,-1.5667746,-2.4312904,6,6,8,5,2,3,6,3,6,7,2,8,6,7,3,4,7,7,7,8,0.4047632,0.79973882
-21.818352,0.14735405,0.87318894,2,3,0,27.022911,0.068756257,-1.5405493,-1.5405493,-1.2155389,-1.4873928,-1.5955682,-1.5343982,-1.5729344,-2.453884,-1.5343982,-1.846295,4,8,7,8,5,4,6,6,2,7,4,4,7,7,5,4,8,8,4,6,-0.95666229,0.43004661
