# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:30:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad21ef4220.json
# init = 2 (Default)
# random
#   seed = 1064288988
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201030-2-1e1813.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201030-2-97d16c.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-20.17148,1,2,1,1,0,21.41,0.15679912,-1.5259107,-1.5259107,-1.2249828,-1.4643617,-1.6515149,-1.5260439,-1.6237302,-2.1248228,-1.5260439,-1.9314786,5,6,4,6,4,6,7,6,6,8,2,5,8,4,5,4,8,8,5,6,-0.23158039,0.30337953
-20.17148,0,14.38551,0,1,1,20.218489,0.15679912,-1.5259107,-1.5259107,-1.2249828,-1.4643617,-1.6515149,-1.5260439,-1.6237302,-2.1248228,-1.5260439,-1.9314786,6,5,8,6,4,5,5,7,5,5,7,5,4,4,1,3,6,8,3,6,-0.23158039,0.50935605
-20.17148,3.0118926e-05,2.4311673,1,1,0,20.172102,0.15679912,-1.5259107,-1.5259107,-1.2249828,-1.4643617,-1.6515149,-1.5260439,-1.6237302,-2.1248228,-1.5260439,-1.9314786,7,8,6,4,6,2,8,7,5,5,4,4,8,5,6,5,7,7,2,8,-0.23158039,0.64399026
-20.257871,0.99799384,0.23981065,2,3,0,20.378048,0.1494349,-1.526515,-1.526515,-1.2237217,-1.4659999,-1.6462056,-1.5264559,-1.6187372,-2.1479006,-1.5264559,-1.9238664,4,4,7,5,1,3,7,5,4,8,3,5,4,6,3,7,4,8,3,8,-0.2709893,0.47993302
-19.886903,0.99848539,0.32250644,1,3,0,20.403372,0.18574796,-1.5246416,-1.5246416,-1.2307183,-1.4584417,-1.6735143,-1.5249259,-1.6447248,-2.0403624,-1.5249259,-1.9623061,6,5,8,4,3,7,6,7,2,6,4,3,8,3,5,6,6,8,6,7,-0.097090436,0.4990011
-21.021745,0.91889686,0.50195441,2,5,0,21.477038,0.10088557,-1.5333377,-1.5333377,-1.2175179,-1.4781233,-1.61409,-1.5304781,-1.5892539,-2.318966,-1.5304781,-1.8759358,6,8,4,8,2,4,7,6,3,7,3,5,5,6,6,7,3,6,6,7,-0.60835391,0.69992329
-21.078186,0.97928185,0.66636403,2,7,0,21.140954,0.61586256,-1.7315394,-1.7315394,-1.4347314,-1.4791423,-2.2345753,-1.6002497,-2.2780104,-1.4676849,-1.6002497,-2.6374905,7,6,3,6,2,5,6,4,6,8,5,2,5,7,2,2,8,5,6,5,0.35027314,0.68357952
-19.736221,1,1.1131534,2,3,0,20.169591,0.46014242,-1.604262,-1.604262,-1.3381641,-1.4462405,-1.9766194,-1.5532638,-1.9671921,-1.5699819,-1.5532638,-2.3376329,7,8,7,5,1,2,5,7,6,8,5,8,4,7,3,4,7,7,5,7,0.39909033,0.65532577
-20.039653,0.45610014,2.0432525,1,1,0,21.636678,0.50726195,-1.6358875,-1.6358875,-1.3649528,-1.452855,-2.0474079,-1.5651228,-2.0493868,-1.5296913,-1.5651228,-2.4203281,3,7,6,4,2,3,8,8,8,8,6,5,5,6,3,4,6,8,8,7,0.40525414,0.29741281
-19.961345,1,0.68445226,1,1,0,20.177178,0.49630322,-1.6280218,-1.6280218,-1.3585278,-1.4510682,-2.0304072,-1.5621825,-2.0294322,-1.5382781,-1.5621825,-2.4005246,7,4,8,1,5,2,6,6,5,8,5,4,8,5,6,4,8,7,3,8,0.40541044,0.40261982
-19.464737,0.074347148,1.2835082,2,3,0,23.25499,0.25928828,-1.5294457,-1.5294457,-1.2505496,-1.4472061,-1.737625,-1.5256517,-1.7082614,-1.8635674,-1.5256517,-2.0474158,8,4,4,8,2,4,8,5,3,8,6,6,5,4,5,7,6,6,2,7,0.14180092,0.68178681
