# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:31:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad3a5f3704.json
# init = 2 (Default)
# random
#   seed = 129433699
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201031-1-494a56.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201031-1-034822.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-20.328179,0.99392939,0.5,1,1,0,20.45606,0.54302008,-1.6637679,-1.6637679,-1.3867188,-1.459761,-2.1052159,-1.575486,-2.1182468,-1.5047853,-1.575486,-2.4874935,8,7,7,6,6,2,6,8,4,8,6,7,8,5,4,6,7,8,3,6,0.39803466,0.59958088
-20.328179,1.3163318e-197,14.227603,1,3,1,20.454314,0.54302008,-1.6637679,-1.6637679,-1.3867188,-1.459761,-2.1052159,-1.575486,-2.1182468,-1.5047853,-1.575486,-2.4874935,5,2,6,5,2,6,8,5,6,8,6,6,4,7,2,3,7,7,4,8,0.39803466,0.22630772
-20.328179,0.00042602793,2.3966285,1,1,0,20.339989,0.54302008,-1.6637679,-1.6637679,-1.3867188,-1.459761,-2.1052159,-1.575486,-2.1182468,-1.5047853,-1.575486,-2.4874935,5,7,4,8,2,5,8,5,1,7,6,8,5,6,3,3,7,8,6,5,0.39803466,0.59736515
-20.225084,0.99960659,0.23621167,3,7,0,20.414045,0.53094863,-1.653972,-1.653972,-1.3792351,-1.4572433,-2.0852958,-1.5718558,-2.0943425,-1.5126731,-1.5718558,-2.4643727,8,7,8,7,6,6,6,5,7,6,7,7,5,5,2,5,6,6,6,8,0.40162648,0.22725972
-19.405108,1,0.31878521,3,7,0,20.209849,0.28073603,-1.5330519,-1.5330519,-1.2576686,-1.4449828,-1.758592,-1.5268188,-1.7296864,-1.8205214,-1.5268188,-2.074181,5,6,6,7,2,4,8,7,4,7,7,1,6,6,5,4,7,8,7,3,0.19189217,0.93381469
-19.435368,0.99880981,0.49815665,2,3,0,19.435537,0.26874095,-1.5309108,-1.5309108,-1.2536158,-1.4461666,-1.7467375,-1.5261132,-1.7175373,-1.844173,-1.5261132,-2.0590996,8,6,5,5,6,6,7,3,5,8,4,4,7,8,3,3,4,7,4,8,0.16476459,0.35986553
-20.517381,0.76308049,0.84447821,1,3,0,20.58204,0.13008614,-1.5286445,-1.5286445,-1.220803,-1.4705573,-1.6328075,-1.5277864,-1.6062783,-2.2119336,-1.5277864,-1.9043001,3,4,6,6,4,3,6,8,2,7,3,4,8,3,4,7,6,8,4,8,-0.38716002,0.33762026
-19.359993,0.94203413,0.72256345,1,3,0,20.734551,0.33883669,-1.5479493,-1.5479493,-1.2797739,-1.4414303,-1.820697,-1.5321294,-1.7947435,-1.7197758,-1.5321294,-2.1514323,6,8,7,6,4,6,7,8,4,8,5,1,6,5,2,5,8,7,5,6,0.29576803,0.63782725
-19.927301,0.75520701,1.1008197,1,3,0,19.928047,0.18109042,-1.5247264,-1.5247264,-1.2297133,-1.4593379,-1.6698529,-1.5250519,-1.6411983,-2.0533132,-1.5250519,-1.9572478,5,3,7,5,6,5,4,8,2,6,7,4,8,6,1,2,4,5,6,6,-0.11678096,0.016149502
-19.369535,0.97079736,0.94547562,2,3,0,19.708069,0.30219744,-1.5376754,-1.5376754,-1.2653632,-1.4432461,-1.7806213,-1.5284156,-1.7524997,-1.7807438,-1.5284156,-2.1018914,5,6,8,8,2,6,5,5,6,6,8,7,5,7,4,2,7,7,4,6,0.23526569,0.33051377
-19.363023,1,1.6173158,1,1,0,19.375374,0.30898878,-1.5393518,-1.5393518,-1.2679145,-1.4427994,-1.7878132,-1.52901,-1.7600117,-1.7688032,-1.52901,-2.1108584,3,3,6,7,6,4,5,6,7,6,4,7,7,8,3,5,4,8,6,8,0.24770993,0.28474816
-19.363023,0.0036931733,3.0482652,1,1,0,19.865451,0.30898878,-1.5393518,-1.5393518,-1.2679145,-1.4427994,-1.7878132,-1.52901,-1.7600117,-1.7688032,-1.52901,-2.1108584,7,5,4,4,2,7,5,8,7,8,5,5,5,4,5,7,4,8,4,7,0.24770993,0.21281211
