# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:31:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad2ea79172.json
# init = 2 (Default)
# random
#   seed = 1551492006
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201031-1-6fa934.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201031-1-7da13d.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-19.368015,0.1129758,1,1,1,0,21.181783,0.34889855,-1.5513034,-1.5513034,-1.2840047,-1.4411894,-1.8322558,-1.5333667,-1.8070966,-1.7044529,-1.5333667,-2.165548,5,7,7,7,2,6,7,7,4,7,5,4,8,7,3,5,5,8,5,7,0.30969557,0.50078746
-19.368015,0.00018080067,2.8675276,1,1,0,19.634807,0.34889855,-1.5513034,-1.5513034,-1.2840047,-1.4411894,-1.8322558,-1.5333667,-1.8070966,-1.7044529,-1.5333667,-2.165548,8,6,6,6,1,5,8,7,5,6,3,7,5,7,5,8,3,8,4,8,0.30969557,0.91285391
-19.405782,0.99674261,0.30061094,1,3,0,19.445238,0.37339602,-1.5604443,-1.5604443,-1.2947837,-1.4410757,-1.8614126,-1.5367699,-1.8385776,-1.6695207,-1.5367699,-2.200871,8,5,4,6,1,2,6,4,6,8,4,3,8,6,6,6,8,7,6,8,0.33920322,0.49894382
-19.377041,0.9998372,0.32137772,3,7,0,19.41918,0.35653216,-1.554003,-1.554003,-1.2872913,-1.4410818,-1.8411863,-1.5343678,-1.8166907,-1.6932132,-1.5343678,-2.1764082,3,4,7,6,5,4,5,8,7,7,4,3,5,7,4,4,7,5,5,4,0.31954541,0.08390825
-19.380519,0.99959815,0.44376784,1,1,0,19.38176,0.35901695,-1.5549107,-1.5549107,-1.2883753,-1.4410608,-1.8441234,-1.5347052,-1.8198554,-1.6896248,-1.5347052,-2.1799716,7,3,6,3,4,8,6,7,5,7,4,6,6,4,4,3,6,8,5,8,0.32262153,0.41835987
-19.368062,1,0.70267121,2,3,0,19.378437,0.3489445,-1.5513193,-1.5513193,-1.2840243,-1.4411886,-1.8323092,-1.5333725,-1.8071538,-1.7043842,-1.5333725,-2.165613,7,6,2,7,5,5,7,8,4,7,5,3,6,6,4,6,6,7,6,8,0.30975669,0.69151499
-19.696786,0.78904806,1.2066678,1,1,0,19.699452,0.2113587,-1.5249988,-1.5249988,-1.2367922,-1.453903,-1.6944904,-1.5246004,-1.6651559,-1.9731496,-1.5246004,-1.9908122,6,5,6,5,4,7,7,8,8,8,5,5,6,7,3,6,6,7,6,6,0.00011720034,0.50669584
-19.640549,1,1.1260284,1,1,0,19.825567,0.22056498,-1.5254691,-1.5254691,-1.2391972,-1.4524337,-1.7023811,-1.5246348,-1.6729364,-1.9505451,-1.5246348,-2.0013501,4,8,5,8,2,7,8,8,6,8,5,8,8,7,6,6,4,8,4,7,0.031010575,0.61639299
-19.640549,0.00027445251,2.0671147,1,1,0,19.70845,0.22056498,-1.5254691,-1.5254691,-1.2391972,-1.4524337,-1.7023811,-1.5246348,-1.6729364,-1.9505451,-1.5246348,-2.0013501,4,7,7,3,3,8,5,6,1,7,7,2,3,3,5,6,8,7,6,7,0.031010575,0.509474
-19.630083,1,0.16415915,1,1,0,19.640589,0.22239363,-1.5255842,-1.5255842,-1.2396886,-1.4521521,-1.7039706,-1.5246511,-1.6745097,-1.9461478,-1.5246511,-2.0034619,6,8,8,8,4,6,6,6,5,8,6,5,6,5,3,4,3,7,4,6,0.036918289,0.32250826
