# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:31:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad61f47058.json
# init = 2 (Default)
# random
#   seed = 1597929449
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201031-2-922d66.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201031-2-76d639.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-19.464526,1,0.5,1,1,0,19.540566,0.39655772,-1.5703749,-1.5703749,-1.3055849,-1.441594,-1.8903228,-1.5404964,-1.8702314,-1.6394179,-1.5404964,-2.2355548,6,7,8,7,6,3,8,7,3,8,7,5,8,6,4,6,7,8,5,8,0.36172091,0.2911527
-19.464526,5.0026422e-85,14.38551,1,1,0,19.493054,0.39655772,-1.5703749,-1.5703749,-1.3055849,-1.441594,-1.8903228,-1.5404964,-1.8702314,-1.6394179,-1.5404964,-2.2355548,5,6,8,2,4,3,5,8,3,4,7,6,3,8,4,3,7,7,4,5,0.36172091,0.11398437
-19.464526,0.012868337,2.4311673,1,1,0,19.498848,0.39655772,-1.5703749,-1.5703749,-1.3055849,-1.441594,-1.8903228,-1.5404964,-1.8702314,-1.6394179,-1.5404964,-2.2355548,6,8,7,4,3,2,8,6,5,8,5,3,7,4,4,5,3,3,7,7,0.36172091,0.56410261
-19.359157,0.98057577,0.2481565,2,7,0,20.377339,0.31488444,-1.5408908,-1.5408908,-1.2701739,-1.442452,-1.7941433,-1.5295607,-1.7666491,-1.7586798,-1.5295607,-2.1187214,7,5,5,7,1,4,8,8,4,8,7,7,7,7,3,8,6,8,4,6,0.25804215,0.89098598
-19.374408,0.99518668,0.31831384,2,5,0,19.506341,0.35451193,-1.5532755,-1.5532755,-1.2864151,-1.4411039,-1.8388093,-1.5340976,-1.8141328,-1.6961559,-1.5340976,-2.1735212,2,5,6,3,4,5,5,5,5,8,4,5,7,3,4,7,5,8,4,6,0.31699764,0.37160574
-19.636124,0.9653716,0.49030123,3,7,0,19.818481,0.22133332,-1.5255166,-1.5255166,-1.2394031,-1.452315,-1.703048,-1.5246412,-1.6735963,-1.9486938,-1.5246412,-2.0022366,5,7,8,6,3,5,5,6,2,8,3,5,8,7,3,3,5,7,6,7,0.033501792,0.53809325
-19.356359,0.95342197,0.74995431,2,3,0,20.0504,0.32776726,-1.5445259,-1.5445259,-1.2752541,-1.4418244,-1.8082578,-1.5308763,-1.7815325,-1.7373205,-1.5308763,-2.1361609,6,8,7,8,4,3,7,8,4,5,7,1,5,4,2,6,6,5,7,8,0.27915732,0.40742216
-19.39383,0.97378286,1.1581692,1,1,0,19.395539,0.28620346,-1.534133,-1.534133,-1.2595753,-1.4444937,-1.7641039,-1.5271849,-1.7353661,-1.810085,-1.5271849,-2.081151,3,4,8,8,3,7,6,8,5,6,6,5,3,7,5,6,4,8,7,6,0.20354983,0.15190673
-19.39383,0.00073319752,1.9584957,1,1,0,19.672366,0.28620346,-1.534133,-1.534133,-1.2595753,-1.4444937,-1.7641039,-1.5271849,-1.7353661,-1.810085,-1.5271849,-2.081151,4,7,6,4,1,4,7,8,6,4,7,5,5,7,7,2,5,8,6,8,0.20354983,0.61019161
-19.475689,0.99939128,0.15571804,3,15,0,19.504113,0.40017956,-1.5720425,-1.5720425,-1.3073265,-1.4417308,-1.8949633,-1.5411238,-1.875352,-1.6349554,-1.5411238,-2.2410948,8,5,7,5,2,5,8,8,1,7,2,7,8,5,2,4,6,7,5,6,0.3647926,0.34573068
